Üniversite,Bölüm/Fakülte,Ücret,burs_oranı,Akademik yıl
Acıbadem Üniversitesi ,Moleküler Biyoloji ve Genetik (İngilizce),400000,50,2024
Acıbadem Üniversitesi ,Biyomedikal Mühendisliği (İngilizce),400000,50,2024
Acıbadem Üniversitesi ,Bilgisayar Mühendisliği (İngilizce),450000,50,2024
Acıbadem Üniversitesi ,Beslenme ve Diyetetik,375000,25,2024
Acıbadem Üniversitesi ,Beslenme ve Diyetetik (İngilizce),375000,25,2024
Acıbadem Üniversitesi ,Fizyoterapi ve Rehabilitasyon,300000,50,2024
Acıbadem Üniversitesi ,Hemşirelik,300000,50,2024
Acıbadem Üniversitesi ,Hemşirelik (İngilizce),350000,50,2024
Acıbadem Üniversitesi ,Sağlık Yönetimi,250000,50,2024
Acıbadem Üniversitesi ,Tıp Fakültesi (İngilizce),750000,50,2024
Acıbadem Üniversitesi ,Eczacılık (İngilizce),650000,50,2024
Acıbadem Üniversitesi ,Eczacılık (İngilizce),325000,50,2024
Acıbadem Üniversitesi ,Psikoloji,600000,25,2024
Acıbadem Üniversitesi ,Psikoloji,450000,25,2024
Acıbadem Üniversitesi ,Psikoloji (İngilizce),600000,25,2024
Acıbadem Üniversitesi ,Psikoloji (İngilizce),450000,25,2024
Acıbadem Üniversitesi ,Sosyoloji,250000,50,2024
Acıbadem Üniversitesi ,Lisans Programları için,250000,0,2024
Acıbadem Üniversitesi ,Ön Lisans Programları için,200000,0,2024
Acıbadem Üniversitesi ,Ağız ve Diş Sağlığı,150000,50,2024
Acıbadem Üniversitesi ,Ameliyathane Hizmetleri,150000,50,2024
Acıbadem Üniversitesi ,Anestezi,150000,50,2024
Acıbadem Üniversitesi ,Diyaliz,150000,50,2024
Acıbadem Üniversitesi ,Elektronörofizyoloji,150000,50,2024
Acıbadem Üniversitesi ,Fizyoterapi,150000,50,2024
Acıbadem Üniversitesi ,İlk ve Acil Yardım,150000,50,2024
Acıbadem Üniversitesi ,Odyometri,150000,50,2024
Acıbadem Üniversitesi ,Optisyenlik,150000,50,2024
Acıbadem Üniversitesi ,Ortopedik Ortez ve Protez,150000,50,2024
Acıbadem Üniversitesi ,Patoloji Laboratuvar Teknikleri,150000,50,2024
Acıbadem Üniversitesi ,Podoloji,150000,50,2024
Acıbadem Üniversitesi ,Radyoterapi,150000,50,2024
Acıbadem Üniversitesi ,Tıbbi Dokümantasyon ve Sekreterlik,150000,50,2024
Acıbadem Üniversitesi ,Tıbbi Görüntüleme Teknikleri,150000,50,2024
Acıbadem Üniversitesi ,Tıbbi Laboratuvar Teknikleri,150000,50,2024
Acıbadem Üniversitesi ,Aşçılık,150000,50,2024
Acıbadem Üniversitesi ,Biyomedikal Cihaz Teknolojisi,150000,50,2024
Acıbadem Üniversitesi ,Bilgisayar Programcılığı,150000,50,2024
Ankara Medipol Üniversitesi ,Beslenme ve Diyetetik,68750,50,2024
Ankara Medipol Üniversitesi ,Bilgisayar Mühendisliği (İngilizce),68750,50,2024
Ankara Medipol Üniversitesi ,Diş Hekimliği,137500,50,2024
Ankara Medipol Üniversitesi ,Ebelik,52250,50,2024
Ankara Medipol Üniversitesi ,Eczacılık,247500,50,2024
Ankara Medipol Üniversitesi ,Elektrik-Elektronik Mühendisliği,68750,50,2024
Ankara Medipol Üniversitesi ,Hemşirelik,57200,50,2024
Ankara Medipol Üniversitesi ,Hukuk,97200,0,2024
Ankara Medipol Üniversitesi ,Tıp,137500,50,2024
Ankara Medipol Üniversitesi ,Ön Lisans bölümleri,43450,50,2024
Antalya Bilim Üniversitesi ,Beslenme ve Diyetetik,80000,50,2024
Antalya Bilim Üniversitesi ,Bilgisayar Mühendisliği (İngilizce),80000,50,2024
Antalya Bilim Üniversitesi ,Diş Hekimliği,265000,0,2024
Antalya Bilim Üniversitesi ,Ebelik,80000,50,2024
Antalya Bilim Üniversitesi ,Elektrik-Elektronik Mühendisliği (İngilizce),80000,50,2024
Antalya Bilim Üniversitesi ,Endüstri Mühendisliği (İngilizce),80000,50,2024
Antalya Bilim Üniversitesi ,Fizyoterapi ve Rehabilitasyon,80000,50,2024
Antalya Bilim Üniversitesi ,Hukuk,100000,50,2024
Antalya Bilim Üniversitesi ,Psikoloji (İngilizce),135000,25,2024
Antalya Bilim Üniversitesi ,Ağız ve Diş Sağlığı ve diğer önlisans bölümleri,60000,50,2024
Altınbaş Üniversitesi ,Ağız ve Diş Sağlığı ( İndirimli),132000,50,2024
Altınbaş Üniversitesi ,Ameliyathane Hizmetleri ( İndirimli),132000,50,2024
Altınbaş Üniversitesi ,Anestezi ( İndirimli),198000,25,2024
Altınbaş Üniversitesi ,Bilgisayar Mühendisliği ( İndirimli),269500,50,2024
Altınbaş Üniversitesi ,Diş Hekimliği ( İndirimli),453750,25,2024
Altınbaş Üniversitesi ,Eczacılık ( İndirimli),363000,25,2024
Altınbaş Üniversitesi ,Ekonomi ( İndirimli),220000,50,2024
Altınbaş Üniversitesi ,Elektrik-Elektronik Mühendisliği ( İndirimli),253000,50,2024
Altınbaş Üniversitesi ,Endüstri Mühendisliği ( İndirimli),253000,50,2024
Altınbaş Üniversitesi ,Fizyoterapi ( İndirimli),198000,25,2024
Altınbaş Üniversitesi ,Gastronomi ve Mutfak Sanatları ( İndirimli),220000,50,2024
Altınbaş Üniversitesi ,Hukuk ( İndirimli),269500,50,2024
Altınbaş Üniversitesi ,İç Mimarlık ve Çevre Tasarımı ( İndirimli),253000,50,2024
Altınbaş Üniversitesi ,İlk ve Acil Yardım ( İndirimli),198000,25,2024
Altınbaş Üniversitesi ,İnşaat Mühendisliği ( İndirimli),253000,50,2024
Altınbaş Üniversitesi ,İşletme ( İndirimli),220000,50,2024
Altınbaş Üniversitesi ,Lojistik Yönetimi ( İndirimli),220000,50,2024
Altınbaş Üniversitesi ,Makine Mühendisliği ( İndirimli),253000,50,2024
Altınbaş Üniversitesi ,Mimarlık ( İndirimli),253000,50,2024
Altınbaş Üniversitesi ,Odyometri ( İndirimli),132000,50,2024
Altınbaş Üniversitesi ,Optisyenlik ( İndirimli),132000,50,2024
Altınbaş Üniversitesi ,Psikoloji ( İndirimli),269500,50,2024
Altınbaş Üniversitesi ,"Radyo, Televizyon ve Sinema ( İndirimli)",220000,50,2024
Altınbaş Üniversitesi ,Sağlık Yönetimi ( İndirimli),220000,50,2024
Altınbaş Üniversitesi ,Siyaset Bilimi ve Kamu Yönetimi ( İndirimli),220000,50,2024
Altınbaş Üniversitesi ,Sosyoloji ( İndirimli),220000,50,2024
Altınbaş Üniversitesi ,Tıbbi Dokümantasyon ve Sekreterlik ( İndirimli),132000,50,2024
Altınbaş Üniversitesi ,Tıbbi Görüntüleme Teknikleri ( İndirimli),132000,50,2024
Altınbaş Üniversitesi ,Tıbbi Laboratuvar Teknikleri ( İndirimli),132000,50,2024
Altınbaş Üniversitesi ,Tıp ( İndirimli),357500,50,2024
Altınbaş Üniversitesi ,Uluslararası Ticaret ve Finansman ( İndirimli),220000,50,2024
Altınbaş Üniversitesi ,Yazılım Mühendisliği ( İndirimli),269500,50,2024
Altınbaş Üniversitesi ,Yönetim Bilişim Sistemleri ( İndirimli),220000,50,2024
Ankara Bilim Üniversitesi ,Hukuk,580000,50,2024
Ankara Bilim Üniversitesi ,Hukuk,290000,50,2024
Ankara Bilim Üniversitesi ,Bilgisayar Mühendisliği (Türkçe):,580000,50,2024
Ankara Bilim Üniversitesi ,Bilgisayar Mühendisliği (Türkçe):,290000,50,2024
Ankara Bilim Üniversitesi ,Bilgisayar Mühendisliği (İngilizce):,580000,50,2024
Ankara Bilim Üniversitesi ,Bilgisayar Mühendisliği (İngilizce):,290000,50,2024
Ankara Bilim Üniversitesi ,Bilişim Sistemleri Mühendisliği (İngilizce):,580000,50,2024
Ankara Bilim Üniversitesi ,Bilişim Sistemleri Mühendisliği (İngilizce):,290000,50,2024
Ankara Bilim Üniversitesi ,Elektrik Elektronik Mühendisliği (İngilizce):,580000,50,2024
Ankara Bilim Üniversitesi ,Elektrik Elektronik Mühendisliği (İngilizce):,290000,50,2024
Ankara Bilim Üniversitesi ,Endüstri Mühendisliği (İngilizce):,250000,50,2024
Ankara Bilim Üniversitesi ,Yazılım Mühendisliği (İngilizce):,580000,50,2024
Ankara Bilim Üniversitesi ,Yazılım Mühendisliği (İngilizce):,290000,50,2024
Ankara Bilim Üniversitesi ,İşletme (İngilizce):,250000,50,2024
Ankara Bilim Üniversitesi ,İngilizce Mütercim ve Tercümanlık:,500000,50,2024
Ankara Bilim Üniversitesi ,İngilizce Mütercim ve Tercümanlık:,250000,50,2024
Ankara Bilim Üniversitesi ,Psikoloji (İngilizce):,580000,50,2024
Ankara Bilim Üniversitesi ,Psikoloji (İngilizce):,290000,50,2024
Ankara Bilim Üniversitesi ,Psikoloji (Türkçe):,580000,50,2024
Ankara Bilim Üniversitesi ,Psikoloji (Türkçe):,290000,50,2024
Ankara Bilim Üniversitesi ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce):,250000,50,2024
Ankara Bilim Üniversitesi ,Yönetim Bilişim Sistemleri (İngilizce):,500000,50,2024
Ankara Bilim Üniversitesi ,Yönetim Bilişim Sistemleri (İngilizce):,250000,50,2024
Ankara Bilim Üniversitesi ,Yönetim Bilişim Sistemleri (Türkçe):,500000,50,2024
Ankara Bilim Üniversitesi ,Yönetim Bilişim Sistemleri (Türkçe):,250000,50,2024
Ankara Bilim Üniversitesi ,Film Tasarım ve Yönetimi (İngilizce):,500000,50,2024
Ankara Bilim Üniversitesi ,Film Tasarım ve Yönetimi (İngilizce):,250000,50,2024
Ankara Bilim Üniversitesi ,İç Mimarlık ve Çevre Tasarımı (İngilizce):,500000,50,2024
Ankara Bilim Üniversitesi ,İç Mimarlık ve Çevre Tasarımı (İngilizce):,250000,50,2024
Ankara Bilim Üniversitesi ,Yeni Medya ve İletişim (İngilizce):,500000,50,2024
Ankara Bilim Üniversitesi ,Yeni Medya ve İletişim (İngilizce):,250000,50,2024
Ankara Bilim Üniversitesi ,Bilgisayar Programcılığı (Türkçe):,156000,50,2024
Ankara Bilim Üniversitesi ,Bilgisayar Programcılığı (Türkçe):,140400,50,2024
Ankara Bilim Üniversitesi ,Bilişim Güvenliği Teknolojisi (Türkçe):,156000,0,2024
Ankara Bilim Üniversitesi ,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü (Türkçe):,156000,0,2024
Ankara Bilim Üniversitesi ,Bilgisayar Destekli Tasarım ve Animasyon (Türkçe):,156000,0,2024
Ankara Bilim Üniversitesi ,E-Ticaret ve Pazarlama (Türkçe):,156000,0,2024
Ankara Bilim Üniversitesi ,Web Tasarımı ve Kodlama (Türkçe):,156000,0,2024
Ankara Bilim Üniversitesi ,Hukuk Fakültesi (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,Bilgisayar Mühendisliği (İngilizce) (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,Bilgisayar Mühendisliği (Türkçe) (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,Bilişim Sistemleri Mühendisliği (İngilizce) (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,Elektrik Elektronik Mühendisliği (İngilizce) (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,Endüstri Mühendisliği (İngilizce) (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,Yazılım Mühendisliği (İngilizce) (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,İngilizce Mütercim ve Tercümanlık (Ücretli) :,228000,0,2024
Ankara Bilim Üniversitesi ,Psikoloji (İngilizce) (İngilizce) (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,Psikoloji (Türkçe) (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,İngilizce Mütercim ve Tercümanlık (Ücretli) :,228000,0,2024
Ankara Bilim Üniversitesi ,Yönetim Bilişim Sistemleri (İngilizce) (Ücretli) :,228000,0,2024
Ankara Bilim Üniversitesi ,Yönetim Bilişim Sistemleri (Türkçe) (Ücretli) :,228000,0,2024
Ankara Bilim Üniversitesi ,Film Tasarım ve Yönetimi (İngilizce) (Ücretli) :,114000,0,2024
Ankara Bilim Üniversitesi ,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Ücretli) :,280000,0,2024
Ankara Bilim Üniversitesi ,"Bilgisayar Programcılığı Pr. (Türkçe), Bilişim Güvenliği Teknolojisi Pr (Türkçe), İnsansız Hava Aracı Teknolojisi ve Operatörlüğü Pr.(Türkçe), Bilgisayar Destekli Tasarım ve Animasyon (Türkçe), E-Ticaret ve Pazarlama (Türkçe) ( İndirimli) :",75000,50,2024
Antalya Belek Üniversitesi ,Psikoloji,462000,50,2024
Antalya Belek Üniversitesi ,Psikoloji,231000,50,2024
Antalya Belek Üniversitesi ,Sosyoloji,154000,50,2024
Antalya Belek Üniversitesi ,Gastronomi ve Mutfak Sanatıları,360000,50,2024
Antalya Belek Üniversitesi ,Gastronomi ve Mutfak Sanatıları,180000,50,2024
Antalya Belek Üniversitesi ,İç Mimarlık ve Çevre Tasarımı,360000,50,2024
Antalya Belek Üniversitesi ,İç Mimarlık ve Çevre Tasarımı,180000,50,2024
Antalya Belek Üniversitesi ,İletişim ve Tasarımı,154000,50,2024
Antalya Belek Üniversitesi ,"Radyo, Televizyon ve Sinema",154000,50,2024
Antalya Belek Üniversitesi ,Uluslararası Ticaret ve İşletmecilik,175000,50,2024
Antalya Belek Üniversitesi ,Yönetim Bilişim Sistemleri,175000,50,2024
Antalya Belek Üniversitesi ,Yazılım Mühendisliği,387200,50,2024
Antalya Belek Üniversitesi ,Yazılım Mühendisliği,193600,50,2024
Antalya Belek Üniversitesi ,Eczane Hizmetleri,130000,50,2024
Antalya Belek Üniversitesi ,Optisyenlik,300000,50,2024
Antalya Belek Üniversitesi ,Optisyenlik,150000,0,2024
Antalya Belek Üniversitesi ,Mahkeme Büro Hizmetleri,130000,50,2024
Antalya Belek Üniversitesi ,Aşçılık,130000,50,2024
Antalya Belek Üniversitesi ,Bankacılık ve Sigortacılık,130000,50,2024
Antalya Belek Üniversitesi ,Grafik Tasarımı,130000,50,2024
Antalya Belek Üniversitesi ,İç Mekan Tasarımı,130000,50,2024
Antalya Belek Üniversitesi ,İnşaat Teknoloji,130000,50,2024
Antalya Belek Üniversitesi ,Mimari Restarasyon,130000,50,2024
Antalya Belek Üniversitesi ,Sivil Havacılık Kabin Hizmetleri,130000,50,2024
Antalya Belek Üniversitesi ,Sosyal Hizmetler,130000,50,2024
Antalya Belek Üniversitesi ,Bilişim Güvenliği Teknolojisi,130000,50,2024
Antalya Belek Üniversitesi ,Bilgisayar Destekli Tasarım ve Animasyon,130000,50,2024
Antalya Belek Üniversitesi ,Tıbbi ve Aromatik Bitkiler,130000,50,2024
Antalya Belek Üniversitesi ,Turist Rehberliği,130000,50,2024
Antalya Belek Üniversitesi ,Sivil Hava Ulaştırma İşletmeciliği,130000,50,2024
Ataşehir Adıgüzel Yüksekokulu ,Bilgisayar Programcılığı ( İndirmli),151840,50,2024
Ataşehir Adıgüzel Yüksekokulu ,Mekatronik Programı ( İndirmli),124400,50,2024
Ataşehir Adıgüzel Yüksekokulu ,Optisyenlik ( İndirmli),125640,50,2024
Ataşehir Adıgüzel Yüksekokulu ,Optisyenlik (İ.Ö.) ( İndirmli),156640,50,2024
Ataşehir Adıgüzel Yüksekokulu ,Sivil Havacılık Kabin Hizmetleri ( İndirmli),156640,50,2024
Ataşehir Adıgüzel Yüksekokulu ,İsteğe Bağlı İngilizce Hazırlık ( İndirmli),120000,50,2024
Atılım Üniversitesi ,İngiliz Dili ve Edebiyatı (İngilizce):,287500,50,2024
Atılım Üniversitesi ,İngilizce Mütercim ve Tercümanlık (İngilizce):,431250,25,2024
Atılım Üniversitesi ,Matematik (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Psikoloji (İngilizce):,575000,25,2024
Atılım Üniversitesi ,Psikoloji (İngilizce):,431250,0,2024
Atılım Üniversitesi ,Endüstriyel Tasarım:,287500,50,2024
Atılım Üniversitesi ,Grafik Tasarımı:,287500,50,2024
Atılım Üniversitesi ,İç Mimarlık ve Çevre Tasarımı:,468000,25,2024
Atılım Üniversitesi ,Mimarlık:,287500,50,2024
Atılım Üniversitesi ,Tekstil ve Moda Tasarımı:,287500,50,2024
Atılım Üniversitesi ,Hukuk:,287500,50,2024
Atılım Üniversitesi ,Halkla İlişkiler ve Reklamcılık (İngilizce):,287500,50,2024
Atılım Üniversitesi ,İktisat (İngilizce):,287500,50,2024
Atılım Üniversitesi ,İktisat:,287500,50,2024
Atılım Üniversitesi ,İşletme (İngilizce):,287500,50,2024
Atılım Üniversitesi ,İşletme:,287500,50,2024
Atılım Üniversitesi ,Maliye:,287500,50,2024
Atılım Üniversitesi ,Siyaset Bilimi ve Kamu Yönetimi:,287500,50,2024
Atılım Üniversitesi ,Turizm İşletmeciliği (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Uluslararası İlişkiler (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Uluslararası Ticaret ve Lojistik (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Bilgisayar Mühendisliği (İngilizce):,431250,25,2024
Atılım Üniversitesi ,Bilişim Sistemleri Mühendisliği (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Elektrik-Elektronik Mühendisliği (İngilizce):,431250,25,2024
Atılım Üniversitesi ,Endüstri Mühendisliği (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Enerji Sistemleri Mühendisliği (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Havacılık ve Uzay Mühendisliği (İngilizce):,287500,50,2024
Atılım Üniversitesi ,İnşaat Mühendisliği (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Kimya Mühendisliği (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Makine Mühendisliği (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Mekatronik Mühendisliği (İngilizce):,287500,50,2024
Atılım Üniversitesi ,Metalurji ve Malzeme Mühendisliği (İngilizce),287500,50,2024
Atılım Üniversitesi ,Otomotiv Mühendisliği (İngilizce),287500,50,2024
Atılım Üniversitesi ,Yazılım Mühendisliği (İngilizce),431250,50,2024
Atılım Üniversitesi ,Beslenme ve Diyetetik:,287500,50,2024
Atılım Üniversitesi ,Çocuk Gelişimi:,287500,50,2024
Atılım Üniversitesi ,Fizyoterapi ve Rehabilitasyon:,287500,50,2024
Atılım Üniversitesi ,Hemşirelik:,287500,50,2024
Atılım Üniversitesi ,Odyoloji:,287500,50,2024
Atılım Üniversitesi ,Havacılık Yönetimi (İngilizce),287500,50,2024
Atılım Üniversitesi ,Pilotaj:,575000,0,2024
Atılım Üniversitesi ,Uçak Elektrik ve Elektroniği (İngilizce) :,431250,25,2024
Atılım Üniversitesi ,Uçak Gövde ve Motor Bakımı (İngilizce) ​​​​​​​:,431250,50,2024
Atılım Üniversitesi ,Tıp:,610000,25,2024
Atılım Üniversitesi ,Tıp:,457500,0,2024
Atılım Üniversitesi ,Tıp – İngilizce Hazırlık Programı:,575000,25,2024
Atılım Üniversitesi ,Tıp – İngilizce Hazırlık Programı:,431250,0,2024
Atılım Üniversitesi ,Ameliyathane Hizmetleri:,195000,50,2024
Atılım Üniversitesi ,Anestezi:,195000,50,2024
Atılım Üniversitesi ,Diyaliz:,195000,50,2024
Atılım Üniversitesi ,Elektronörofizyoloji:,195000,50,2024
Atılım Üniversitesi ,İlk ve Acil Yardım:,195000,50,2024
Atılım Üniversitesi ,Optisyenlik:,195000,50,2024
Atılım Üniversitesi ,Patoloji Laboratuvar Teknikleri:,195000,50,2024
Atılım Üniversitesi ,Radyoterapi:,195000,50,2024
Atılım Üniversitesi ,Tıbbi Görüntüleme Teknikleri:,195000,50,2024
Atılım Üniversitesi ,Tıbbi Laboratuvar Teknikleri:,195000,50,2024
Atılım Üniversitesi ,Mahkeme Büro Hizmetleri,195000,50,2024
Atılım Üniversitesi ,E-Ticaret ve Pazarlama,195000,50,2024
Atılım Üniversitesi ,Tıp Fakültesi,386000,25,2024
Atılım Üniversitesi ,Tıp Fakültesi,289500,0,2024
Atılım Üniversitesi ,Tıp Fakültesi (İngilizce),282000,25,2024
Atılım Üniversitesi ,Tıp Fakültesi (İngilizce),211500,0,2024
Atılım Üniversitesi ,Hukuk Fakültesi,141000,50,2024
Atılım Üniversitesi ,İşletme Fakültesi (tüm bölümler),141000,50,2024
Atılım Üniversitesi ,Sağlık Bilimleri Fakültesi,141000,50,2024
Atılım Üniversitesi ,Mühendislik Fakültesi,211500,25,2024
Atılım Üniversitesi ,Mühendislik Fakültesi,141000,50,2024
Atılım Üniversitesi ,Adalet Meslek Yüksekokulu,110000,50,2024
Atılım Üniversitesi ,Sağlık Hizmetleri Meslek Yüksekokulu,110000,50,2024
Atılım Üniversitesi ,İngiliz Dili ve Edebiyatı (İngilizce) ve Matematik (İngilizce),141000,50,2024
Atılım Üniversitesi ,İngilizce Mütercimlik ve Tercümalık (İngilizce),211500,25,2024
Atılım Üniversitesi ,Psikoloji (İngilizce),282000,25,2024
Atılım Üniversitesi ,Psikoloji (İngilizce),211500,0,2024
Atılım Üniversitesi ,"Endüstriyel Tasarım, Grafik Tasarımı, Mimarlık, Tekstil ve Moda",141000,50,2024
Atılım Üniversitesi ,İç Mimarlık ve Çevre Tasarımı,211500,25,2024
Atılım Üniversitesi ,Havacılık Yönetimi (İngilizce),211500,25,2024
Atılım Üniversitesi ,Pilotaj (İngilizce),282000,0,2024
Atılım Üniversitesi ,Uçak Elektrik ve Elektroniği (İngilizce),211500,25,2024
Atılım Üniversitesi ,Uçak Gövde ve Motor Bakımı (İngilizce),211500,25,2024
Başkent Üniversitesi ,Tıp Fakültesi,820000,0,2024
Başkent Üniversitesi ,Diş Hekimliği Fakültesi,820000,0,2024
Başkent Üniversitesi ,Eczacılık Fakültesi,710000,0,2024
Başkent Üniversitesi ,Mühendislik Fakültesi,615000,0,2024
Başkent Üniversitesi ,Hukuk Fakültesi,615000,0,2024
Başkent Üniversitesi ,Mimarlık Bölümü (Güzel Sanatlar Tasarım ve Mimarlık Fakültesi),615000,0,2024
Başkent Üniversitesi ,Eğitim Fakültesi,540000,0,2024
Başkent Üniversitesi ,Fen Edebiyat Fakültesi,540000,0,2024
Başkent Üniversitesi ,Psikoloji Bölümü,575000,0,2024
Başkent Üniversitesi ,İktisadi ve İdari Bilimler Fakültesi,565000,0,2024
Başkent Üniversitesi ,İletişim Fakültesi,540000,0,2024
Başkent Üniversitesi ,Sağlık Bilimleri Fakültesi,565000,0,2024
Başkent Üniversitesi ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,540000,0,2024
Başkent Üniversitesi ,Ticari Bilimler Fakültesi,530000,0,2024
Başkent Üniversitesi ,Devlet Konservatuvarı,475000,0,2024
Başkent Üniversitesi ,İngilizce Hazırlık Programı,475000,0,2024
Başkent Üniversitesi ,Önlisans Programları,365000,0,2024
Beykent Üniversitesi ,"Tıp Fakültesi, Diş Hekimliği Fakültesi ( İndirimli) Ücretleri :",465333,50,2024
Beykent Üniversitesi ,Psikoloji) ( İndirimli) :,384000,50,2024
Beykent Üniversitesi ,İngiliz Dili ve Edebiyatı (İngilizce)( İndirimli) :,291333,50,2024
Beykent Üniversitesi ,İngilizce Mütercim ve Tercümanlık (İngilizce) ( İndirimli) :,291333,50,2024
Beykent Üniversitesi ,Matematik,238000,0,2024
Beykent Üniversitesi ,Rusça Mütercim ve Tercümanlık (Rusça) ( İndirimli) :,384000,50,2024
Beykent Üniversitesi ,Tarih ( İndirimli) :,199333,50,2024
Beykent Üniversitesi ,Türk Dili ve Edebiyatı,222666,0,2024
Beykent Üniversitesi ,Sosyoloji ( İndirimli) :,222666,50,2024
Beykent Üniversitesi ,Gastronomi ve Mutfak Sanatları ( İndirimli) :,304000,50,2024
Beykent Üniversitesi ,Grafik Tasarım,247333,0,2024
Beykent Üniversitesi ,İletişim ve Tasarımı,222666,0,2024
Beykent Üniversitesi ,Oyunculuk,199333,0,2024
