universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,totalPreference,top1PreferenceRatio,avgOrderofPreference,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount,baseScore,topScore,totalForeignStudents,totalStudentNumber,Urap_Rank,Urap_Score,avg_monthly_income_group,Time_for_employment,employment_rate,base_salary_by_year,inflation_by_year,growth_by_year
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,güzelsanatlartasarımvemimarlıkfakültesi,i̇çmimarlıkveçevretasarımı,202110956,EA,İngilizce,100.0,24,24,0.0,ANKARA,İç Anadolu,2,1,2,25977.0,4690.0,107949.0,201921.0,10643.5,0.0,5.42,255.0,3.29,4.7,2.3,0.625,0.792,1.0,250,63,80,307.47797,313.90265,635.0,10625.0,10.0,654.93,-2.0,13.6,70.1,2825,36.0,11.6
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,güzelsanatlartasarımvemimarlıkfakültesi,i̇çmimarlıkveçevretasarımı,202110956,EA,İngilizce,100.0,24,24,0.0,ANKARA,İç Anadolu,2,1,2,25977.0,4690.0,107949.0,201921.0,10643.5,0.0,5.42,255.0,3.29,4.7,2.3,0.625,0.792,1.0,250,63,80,336.77058,366.11693,635.0,10625.0,10.0,654.93,-2.0,13.6,70.1,2825,36.0,11.6
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,güzelsanatlartasarımvemimarlıkfakültesi,i̇çmimarlıkveçevretasarımı,202110629,EA,İngilizce,50.0,43,43,25541.25,ANKARA,İç Anadolu,2,1,2,140402.0,35806.0,270836.0,536419.0,52298.0,1098273.75,4.42,506.0,2.09,5.7,3.5,0.186,0.698,0.953,362,170,169,307.47797,313.90265,635.0,10625.0,10.0,654.93,-2.0,13.6,70.1,2825,36.0,11.6
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,güzelsanatlartasarımvemimarlıkfakültesi,i̇çmimarlıkveçevretasarımı,202110629,EA,İngilizce,50.0,43,43,25541.25,ANKARA,İç Anadolu,2,1,2,140402.0,35806.0,270836.0,536419.0,52298.0,1098273.75,4.42,506.0,2.09,5.7,3.5,0.186,0.698,0.953,362,170,169,336.77058,366.11693,635.0,10625.0,10.0,654.93,-2.0,13.6,70.1,2825,36.0,11.6
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,güzelsanatlartasarımvemimarlıkfakültesi,i̇çmimarlıkveçevretasarımı,202110135,EA,İngilizce,0.0,93,93,51082.5,ANKARA,İç Anadolu,2,1,2,460297.0,151244.0,537044.0,1193746.0,154526.5,4750672.5,4.3,346.0,0.55,7.4,4.0,0.054,0.645,0.957,998,448,365,307.47797,313.90265,635.0,10625.0,10.0,654.93,-2.0,13.6,70.1,2825,36.0,11.6
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,güzelsanatlartasarımvemimarlıkfakültesi,i̇çmimarlıkveçevretasarımı,202110135,EA,İngilizce,0.0,93,93,51082.5,ANKARA,İç Anadolu,2,1,2,460297.0,151244.0,537044.0,1193746.0,154526.5,4750672.5,4.3,346.0,0.55,7.4,4.0,0.054,0.645,0.957,998,448,365,336.77058,366.11693,635.0,10625.0,10.0,654.93,-2.0,13.6,70.1,2825,36.0,11.6
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,i̇şletmefakültesi,i̇şletme,202110383,EA,İngilizce,100.0,27,27,0.0,ANKARA,İç Anadolu,3,7,10,1294.0,588.0,39107.0,83143.0,353.0,0.0,6.67,589.0,1.56,5.3,2.1,0.407,0.815,1.0,253,88,93,220.37021,251.09364,635.0,10625.0,10.0,654.93,0.0,19.8,74.4,2825,36.0,11.6
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,i̇şletmefakültesi,i̇şletme,202110383,EA,İngilizce,100.0,27,27,0.0,ANKARA,İç Anadolu,3,7,10,1294.0,588.0,39107.0,83143.0,353.0,0.0,6.67,589.0,1.56,5.3,2.1,0.407,0.815,1.0,253,88,93,284.40204,313.37024,635.0,10625.0,10.0,654.93,0.0,19.8,74.4,2825,36.0,11.6
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,i̇şletmefakültesi,i̇şletme,202110726,EA,İngilizce,50.0,56,56,18661.25,ANKARA,İç Anadolu,3,7,10,23006.0,1672.0,92337.0,192094.0,10667.0,1045030.0,6.07,665.0,2.41,5.3,4.0,0.161,0.607,1.0,484,235,262,220.37021,251.09364,635.0,10625.0,10.0,654.93,0.0,19.8,74.4,2825,36.0,11.6
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vakıf,i̇şletmefakültesi,i̇şletme,202110726,EA,İngilizce,50.0,56,56,18661.25,ANKARA,İç Anadolu,3,7,10,23006.0,1672.0,92337.0,192094.0,10667.0,1045030.0,6.07,665.0,2.41,5.3,4.0,0.161,0.607,1.0,484,235,262,284.40204,313.37024,635.0,10625.0,10.0,654.93,0.0,19.8,74.4,2825,36.0,11.6
