academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount,totalForeignStudents,totalStudentNumber,Urap_Rank,Urap_Score,avg_monthly_income_group,Time_for_employment,employment_rate,base_salary_by_year,inflation_by_year,growth_by_year,avgAdmissionRanking,baseAdmissionRanking
2021,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Bilgisayar Mühendisliği,106510077,SAY,İngilizce,0.0,70,70,0.0,KAYSERİ,İç Anadolu,1.0,1.0,4.0,45.263,14.439,15.412,0.0,7.22,5.83,997,1.53,3.1,6.57,82.0,71.0,0.20800000000000002,0.306,0.75,946.0,93.0,1044.0,622.0,243.0,235.0,2670.0,40.0,506.88,2.0,11.2,90.1,2825,64,11.6,54.466,112.334
2022,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Bilgisayar Mühendisliği,106510077,SAY,İngilizce,0.0,75,75,0.0,KAYSERİ,İç Anadolu,1.0,1.0,6.0,40.125,9.658,15.2335,0.0,6.49,5.2,1534,1.51,2.95,6.59,81.0,72.0,0.156,0.273,0.74,913.0,104.0,1017.0,696.0,362.0,235.0,2670.0,43.0,716.794001,2.0,11.2,90.1,5500,64,5.4,41.365,114.126
2023,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Bilgisayar Mühendisliği,106510077,SAY,İngilizce,0.0,75,75,0.0,KAYSERİ,İç Anadolu,0.0,1.0,5.0,39.283,13.882,12.7005,0.0,6.75,5.2,1099,2.04,3.54,6.5,81.0,65.0,0.20800000000000002,0.325,0.792,1090.0,66.0,1156.0,602.0,383.0,235.0,2670.0,50.0,705.46,2.0,10.8,90.8,11402,36,3.8,44.487,158.876
2021,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Yaşam ve Doğa Bilimleri Fakültesi,Biyomühendislik,106510087,SAY,İngilizce,0.0,60,62,0.0,KAYSERİ,İç Anadolu,1.0,0.0,4.0,259.785,27.444,116.17050000000002,0.0,5.81,5.65,219,0.64,2.33,5.94,90.0,61.0,0.09699999999999999,0.371,0.823,657.0,60.0,717.0,133.0,151.0,235.0,2670.0,40.0,506.88,0.0,16.6,71.2,2825,64,11.6,275.467,949.204
2022,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Yaşam ve Doğa Bilimleri Fakültesi,Biyomühendislik,106510087,SAY,İngilizce,0.0,65,67,0.0,KAYSERİ,İç Anadolu,1.0,1.0,4.0,242.41,127.19,57.61,0.0,3.73,7.31,284,0.74,2.39,5.56,95.0,53.0,0.149,0.493,0.8809999999999999,771.0,47.0,818.0,115.0,261.0,235.0,2670.0,43.0,716.794001,0.0,16.6,71.2,5500,64,5.4,252.682,622.839
2023,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Yaşam ve Doğa Bilimleri Fakültesi,Biyomühendislik,106510087,SAY,İngilizce,0.0,65,67,0.0,KAYSERİ,İç Anadolu,1.0,2.0,4.0,240.148,108.126,66.011,0.0,2.99,7.61,288,0.87,2.95,6.7,81.0,46.0,0.254,0.5670000000000001,0.91,722.0,57.0,783.0,122.0,295.0,235.0,2670.0,50.0,705.46,0.0,15.4,73.6,11402,36,3.8,237.814,577.817
2021,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Yönetim Bilimleri Fakültesi,Ekonomi,106510088,EA,İngilizce,0.0,50,52,0.0,KAYSERİ,İç Anadolu,0.0,1.0,2.0,338.007,17.335,160.33599999999998,0.0,2.31,8.65,292,1.13,4.66,8.01,62.0,35.0,0.26899999999999996,0.6920000000000001,0.9620000000000001,451.0,61.0,512.0,63.0,108.0,235.0,2670.0,40.0,506.88,2.0,14.2,80.6,2825,64,11.6,401.783,871.457
2022,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Yönetim Bilimleri Fakültesi,Ekonomi,106510088,EA,İngilizce,0.0,50,52,0.0,KAYSERİ,İç Anadolu,0.0,2.0,1.0,285.499,36.365,124.567,0.0,1.35,9.23,610,1.41,4.54,0.13,59.0,39.0,0.25,0.615,0.9229999999999999,328.0,59.0,387.0,57.0,184.0,235.0,2670.0,43.0,716.794001,2.0,14.2,80.6,5500,64,5.4,366.683,708.679
2023,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Yönetim Bilimleri Fakültesi,Ekonomi,106510088,EA,İngilizce,0.0,50,52,0.0,KAYSERİ,İç Anadolu,1.0,1.0,3.0,258.17,80.263,88.9535,0.0,2.89,8.46,536,1.42,5.15,8.34,56.0,43.0,0.231,0.615,0.9229999999999999,476.0,51.0,527.0,70.0,174.0,235.0,2670.0,50.0,705.46,2.0,12.9,82.7,11402,36,3.8,413.405,950.521
2021,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,106510068,SAY,İngilizce,0.0,80,80,0.0,KAYSERİ,İç Anadolu,2.0,4.0,4.0,79.152,39.114,20.019,0.0,5.85,6.1,492,0.75,2.48,5.73,91.0,81.0,0.061,0.256,0.6829999999999999,1143.0,106.0,1251.0,538.0,240.0,235.0,2670.0,40.0,506.88,2.0,11.2,90.1,2825,64,11.6,89.918,183.123
