universityName,Bölüm/Fakülte,Ücret,burs_oranı,Akademik yıl
15 KASIM KIBRIS ÜNİVERSİTESİ ,Siyasal ve Sosyal Bilimler Fakültesi,28000.0,0,2020
15 KASIM KIBRIS ÜNİVERSİTESİ ,İletişim Fakültesi,30000.0,0,2020
15 KASIM KIBRIS ÜNİVERSİTESİ ,İngilizce Hazırlık Programı,26000.0,0,2020
2 Yıllık Özel Üniversite ,Adalet,34000.0,0,2023
2 Yıllık Özel Üniversite ,Adalet meslek yüksekokulu,41000.0,0,2023
2 Yıllık Özel Üniversite ,Ameliyathane Hizmetleri,32000.0,0,2023
2 Yıllık Özel Üniversite ,Anestezi,72889.0,0,2023
2 Yıllık Özel Üniversite ,"Anestezi, Fizyoterapi",32000.0,0,2023
2 Yıllık Özel Üniversite ,Ağız ve Diş Sağlığı,31000.0,0,2023
2 Yıllık Özel Üniversite ,Aşçılık,98000.0,0,2023
2 Yıllık Özel Üniversite ,Bilgisayar Programcılığı,28000.0,0,2023
2 Yıllık Özel Üniversite ,"Fizyoterapi, Adalet, Bilgisayar Programcılığı, Tıbbi Görüntüleme Teknikleri, Sivil Havacılık Kabin Hizmetleri, Grafik Tasarımı, Ameliyathane Hizmetleri, Dış Ticaret, Tıbbi Laboratuvar Teknikleri, Ağız ve Diş Sağlığı",82000.0,0,2023
2 Yıllık Özel Üniversite ,Geri kalan bölümlerin fiyatları genel olarak 24.000 TL'dir.,24000.0,0,2023
2 Yıllık Özel Üniversite ,Geri kalan bölümlerin fiyatları genel olarak 70.000 TL'dir.,70000.0,0,2023
2 Yıllık Özel Üniversite ,Meslek yüksekokulu,52500.0,0,2023
2 Yıllık Özel Üniversite ,Sağlık Hizmetleri Yüksekokulu,72000.0,0,2023
2 Yıllık Özel Üniversite ,Sivil havacılık yüksekokulu,85000.0,0,2023
2 Yıllık Özel Üniversite ,Spor bilimleri ve teknoloji yüksekokulu,85000.0,0,2023
2 Yıllık Özel Üniversite ,Uygulamalı Bilimler Yüksekokulu,850.0,0,2023
2 Yıllık Özel Üniversite ,Uygulamalı bilimler yüksekokulu,85000.0,0,2023
2 Yıllık Özel Üniversite ,Çocuk Gelişimi,28000.0,0,2023
2 Yıllık Özel Üniversite ,İlk ve Acil Yardım,72889.0,0,2023
2 Yıllık Özel Üniversite ,İş Sağlığı ve Güvenliği,28000.0,0,2023
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,Beslenme ve Diyetetik Bölümü,57500.0,0,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,Eczacılık Fakültesi,72680.0,0,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,Fen Edebiyat Fakültesi'nde; Moleküler Biyoloji ve Genetik Bölümü,54740.0,0,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,Hemşirelik Bölümü,45080.0,0,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,Hemşirelik ve Sağlık Yönetimi Bölümü,42320.0,0,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,"Mühendislik Fakültesi'nde Tıp Mühendisliği Bölümü (Hazırlık sınıfı
dahil)",60720.0,0,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,Psikoloji Bölümü,54740.0,0,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,"Sağlık Bilimleri Fakültesi?nde; Fizyoterapi ve Rehabilitasyon
Bölümü",54740.0,0,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,Sosyoloji Bölümü,40480.0,0,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ ,Tıp Fakültesi'nde,128800.0,0,2020
