academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount,baseScore,topScore
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,,,İngilizce,,62,62,,,,KAYSERİ,,,,,86755,21866,206828,438747,,,5.32,,677,,1.85,,,8.2,,2.8,"%45,2","%80,6","%98,4",,,,669,501,,"32,661,222","37,474,734"
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,İnsan ve Toplum Bilimleri Fakültesi,SiyasetBilimiveUluslararasıİlişkiler,,,İngilizce,,62,62,,,,KAYSERİ,,,,,288398,4099,400917,848597,,,3.23,,393,,1.3,,,7.2,,3.5,"%40,3","%77,4","%91,9",,,,587,105,,"2,655,697","41,786,749"
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,Mimarlık Fakültesi,Mimarlık,,,İngilizce,,72,72,,,,KAYSERİ,,,,,140075,74190,149609,374718,,,3.89,,385,,1.35,,,7.6,,3.9,"%33,3","%54,2","%95,8",,,,777,411,,"31,371,951","36,649,548"
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,Mühendislik Fakültesi,MakineMühendisliği,,,İngilizce,,62,62,,,,KAYSERİ,,,,,150248,52940,168909,454023,,,6.29,,319,,0.44,,,9.9,,6.7,"%9,70","%27,4","%79,0",,,,993,375,,"3,075,328","38,879,917"
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,Mühendislik Fakültesi,BilgisayarMühendisliği,,,İngilizce,,72,72,,,,KAYSERİ,,,,,45263,14439,54466,112334,,,7.22,,997,,1.53,,,8.2,,7.1,"%20,8","%30,5","%75,0",,,,1044,622,,"39,793,665","44,440,481"
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,Mühendislik Fakültesi,EndüstriMühendisliği,,,İngilizce,,72,72,,,,KAYSERİ,,,,,88458,45849,93121,199238,,,6.81,,550,,1.22,,,8.5,,6.5,"%18,0","%40,3","%79,2",,,,954,389,,"35,309,513","39,724,826"
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,Mühendislik Fakültesi,İnşaatMühendisliği,,,İngilizce,,72,59,,,,KAYSERİ,,,,,299779,101247,369127,787169,,,5.25,,285,,0.35,,,11.4,,6.1,"%16,9","%35,6","%84,7",,,,906,362,,"2,479,035","34,216,949"
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,,,İngilizce,,82,82,,,,KAYSERİ,,,,,79152,39114,89918,183123,,,5.85,,492,,0.75,,,9.1,,8.1,"%6,1","%25,6","%68,3",,,,1251,538,,"36,166,609","40,542,869"
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,Yaşam ve Doğa Bilimleri Fakültesi,MolekülerBiyolojiveGenetik(KKTCUyruklu),,,İngilizce,,3,0,,,,KAYSERİ,,,,,,,,,,,10,,0,,0,,,,,,"%0,0","%0,0","%0,0",,,,0,0,,0,0
2021,ABDULLAH GÜL ÜNİVERSİTESİ,,Yaşam ve Doğa Bilimleri Fakültesi,Biyomühendislik,,,İngilizce,,62,62,,,,KAYSERİ,,,,,259785,27444,275467,949204,,,5.81,,219,,0.64,,,9,,6.1,"%9,70","%37,1","%82,3",,,,717,133,,"25,967,264","42,148,992"
