academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount,totalForeignStudents,totalStudentNumber,Urap_Rank,Urap_Score,Time for Graduates to Find a Job,employment_rate,avg_monthly_income_group,base_salary_by_year,inflation_by_year,growth_by_year
2023,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,60,60,0.0,,,İSTANBUL,Marmara,3.0,0.0,3.0,1.874,236.0,35.791,69.646,117.063,,7.03,4.53,1212,,5.47,7.67,8.99,33.0,,17.0,"%78,1","%93,8","%98,4",,477.0,80.0,560.0,67.0,274.0,310.0,13063.0,16.0,878.9,,,,11402,36,3.8
2023,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,60,60,0.0,,,İSTANBUL,Marmara,3.0,0.0,3.0,1.874,236.0,35.791,69.646,117.063,,7.03,4.53,1212,,5.47,7.67,8.99,33.0,,17.0,"%78,1","%93,8","%98,4",,477.0,80.0,560.0,67.0,274.0,241.0,12772.0,16.0,878.9,,,,11402,36,3.8
2022,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,65,65,0.0,,,İSTANBUL,Marmara,3.0,0.0,3.0,1.507,146.0,27.312,65.281,72.2465,,6.12,5.97,1793,,5.88,8.03,9.25,30.0,,17.0,"%74,6","%89,6","%100,0",,353.0,57.0,410.0,71.0,212.0,310.0,13063.0,14.0,885.1460971,,,,5500,64,5.4
2022,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,65,65,0.0,,,İSTANBUL,Marmara,3.0,0.0,3.0,1.507,146.0,27.312,65.281,72.2465,,6.12,5.97,1793,,5.88,8.03,9.25,30.0,,17.0,"%74,6","%89,6","%100,0",,353.0,57.0,410.0,71.0,212.0,241.0,12772.0,14.0,885.1460971,,,,5500,64,5.4
2021,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,65,65,0.0,,,İSTANBUL,Marmara,2.0,1.0,3.0,2.037,365.0,42.218,84.409,181.4815,,7.16,4.93,1319,,6.17,8.07,9.19,29.0,,21.0,"%79,1","%88,1","%94,0",,414.0,109.0,525.0,78.0,67.0,310.0,13063.0,13.0,642.25,,,,2825,64,11.6
2021,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,65,65,0.0,,,İSTANBUL,Marmara,2.0,1.0,3.0,2.037,365.0,42.218,84.409,181.4815,,7.16,4.93,1319,,6.17,8.07,9.19,29.0,,21.0,"%79,1","%88,1","%94,0",,414.0,109.0,525.0,78.0,67.0,241.0,12772.0,13.0,642.25,,,,2825,64,11.6
2023,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,60,60,0.0,,,İSTANBUL,Marmara,2.0,5.0,3.0,2.943,405.0,62.257,109.25,201.0285,,6.25,5.31,1369,,3.16,7.25,9.12,37.0,,21.0,"%40,6","%92,2","%98,4",,464.0,86.0,552.0,114.0,364.0,310.0,13063.0,16.0,878.9,10.5,72.5,-1.0,11402,36,3.8
2023,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,60,60,0.0,,,İSTANBUL,Marmara,2.0,5.0,3.0,2.943,405.0,62.257,109.25,201.0285,,6.25,5.31,1369,,3.16,7.25,9.12,37.0,,21.0,"%40,6","%92,2","%98,4",,464.0,86.0,552.0,114.0,364.0,241.0,12772.0,16.0,878.9,10.5,72.5,-1.0,11402,36,3.8
2022,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,65,65,0.0,,,İSTANBUL,Marmara,1.0,3.0,7.0,2.364,238.0,51.549,94.868,117.818,,6.12,4.63,1837,,3.13,7.4,8.99,35.0,,24.0,"%37,3","%86,6","%98,5",,518.0,125.0,643.0,121.0,368.0,310.0,13063.0,14.0,885.1460971,10.8,74.5,-1.0,5500,64,5.4
2022,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,65,65,0.0,,,İSTANBUL,Marmara,1.0,3.0,7.0,2.364,238.0,51.549,94.868,117.818,,6.12,4.63,1837,,3.13,7.4,8.99,35.0,,24.0,"%37,3","%86,6","%98,5",,518.0,125.0,643.0,121.0,368.0,241.0,12772.0,14.0,885.1460971,10.8,74.5,-1.0,5500,64,5.4
2021,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,65,65,0.0,,,İSTANBUL,Marmara,1.0,3.0,5.0,2.528,444.0,66.122,129.05,220.736,,5.82,5.52,1359,,3.36,7.62,9.23,34.0,,19.0,"%46,3","%92,5","%100,0",,429.0,157.0,586.0,167.0,330.0,310.0,13063.0,13.0,642.25,10.8,74.5,-1.0,2825,64,11.6
2021,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,65,65,0.0,,,İSTANBUL,Marmara,1.0,3.0,5.0,2.528,444.0,66.122,129.05,220.736,,5.82,5.52,1359,,3.36,7.62,9.23,34.0,,19.0,"%46,3","%92,5","%100,0",,429.0,157.0,586.0,167.0,330.0,241.0,12772.0,13.0,642.25,10.8,74.5,-1.0,2825,64,11.6
2023,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Dilbilimi,102270026,DİL,İngilizce,,50,50,0.0,,,İSTANBUL,Marmara,1.0,2.0,4.0,3.112,728.0,58.761,111.878,362.444,,5,6.11,918,,1.83,6.66,8.91,44.0,,24.0,"%50,0","%87,0","%98,1",,407.0,68.0,475.0,53.0,232.0,310.0,13063.0,16.0,878.9,10.7,75.0,-1.0,11402,36,3.8
