Program,2022,2023
"Özel eğitim öğretmenliği
Special education teaching",96.1,,96.2
"Tıp
Medicine",95.1,,95.3
"Dil ve konuşma terapisi
Speech and language therapy",95.4,,93.9
"Elektrik öğretmenliği
Electrical teaching",92.8,,93.2
"Ebelik
Midwifery",89.7,,92.4
"Elektronik öğretmenliği
Electronics teaching",92.3,,91.9
"Otomotiv öğretmenliği
Automotive teaching",92.2,,91.7
"Bilgisayar sistemleri öğretmenliği
Computer systems teaching",91.0,,91.5
"Metal öğretmenliği
Metal teaching",91.3,,91.3
"Eczacılık
Pharmacy",92.4,,91.0
"Sınıf öğretmenliği
Classroom teaching",88.3,,90.9
"Hemşirelik
Nursing",89.4,,90.9
"Pilotaj
Flight training",.,,90.8
"Matematik mühendisliği
Mathematical engineering",90.1,,90.8
"Havacılık elektrik ve elektroniği
Avionics",84.8,,90.1
"Elektrik mühendisliği
Electrical engineering",87.9,,89.9
"Kontrol ve otomasyon mühendisliği
Control and automation engineering",87.0,,89.8
"Maden mühendisliği
Mining engineering",88.9,,89.5
"Elektronik ve haberleşme mühendisliği
Electronics and communication engineering",88.0,,88.9
"Uçak bakım ve onarım
Aircraft maintenance and repair",83.5,,88.6
"İmalat mühendisliği
Manufacturing engineering",87.1,,88.5
"Petrol ve doğalgaz mühendisliği
Petroleum and natural gas engineering",85.3,,88.5
"Diş hekimliği
Dentistry",88.2,,88.0
"Makine mühendisliği
Mechanical engineering",86.2,,87.2
"İşletme mühendisliği
Management engineering",85.5,,87.2
"Endüstri mühendisliği
Industrial engineering",84.9,,86.4
"Elektrik-elektronik mühendisliği
Electrical-electronics engineering",84.4,,86.3
"Otomotiv mühendisliği
Automotive engineering",83.3,,86.2
"Matematik öğretmenliği
Mathematics teaching",84.5,,86.1
"Metalurji ve malzeme mühendisliği
Metallurgical and materials engineering",84.8,,85.7
"Uçak mühendisliği
Aircraft engineering",82.7,,85.6
"Havacılık ve uzay mühendisliği
Aerospace engineering",81.3,,85.5
"İngilizce öğretmenliği
English language teaching",86.1,,85.4
"Bilgisayar mühendisliği
Computer engineering",84.9,,85.4
"Arapça öğretmenliği
Arabic language teaching",82.3,,85.1
"Türk halk oyunları
Turkish folk dances",85.1,,85.1
"Elektronik mühendisliği
Electronics engineering",82.5,,85.0
"Din kültürü ve ahlak bilgisi öğretmenliği
Religion and ethics teaching",84.2,,84.9
"Mekatronik mühendisliği
Mechatronics engineering",82.8,,84.6
"Bilişim sistemleri mühendisliği
Information systems engineering",84.3,,84.4
"İnşaat mühendisliği
Civil engineering",81.0,,84.2
"Geomatik mühendisliği
Geomatics engineering",81.3,,84.1
"Kimya mühendisliği
Chemical engineering",83.1,,83.9
"Yazılım mühendisliği
Software engineering",84.5,,83.4
"Ziraat mühendisliği
Agricultural engineering",84.4,,83.3
"Aktüerya bilimleri
Actuarial sciences",82.7,,83.3
"Malzeme bilimi ve mühendisliği
Materials science and engineering",82.5,,83.3
"Denizcilik işletmeleri yönetimi
Maritime management",83.3,,83.1
"Lojistik yönetimi
Logistics management",82.2,,83.0
"Ekonomi
Economics",80.6,,82.7
"Tarım makineleri
Agricultural machinery",80.6,,82.6
"Ergoterapi
Occupational therapy",79.8,,82.5
"İstatistik
Statistics",81.4,,82.4
"Harita mühendisliği
Geomatics engineering",80.3,,82.3
"İlköğretim matematik öğretmenliği
Elementary mathematics education",83.7,,82.2
"Tekstil mühendisliği
Textile engineering",83.7,,81.8
"Çevre mühendisliği
Environmental engineering",79.2,,81.6
"Bilişim sistemleri ve teknolojileri
Information systems and technologies",81.7,,81.6
"Sermaye piyasası
Capital market",79.0,,81.2
"Bilgisayar ve öğretim teknolojileri öğretmenliği
Computer education and instructional technology",81.2,,81.2
"Enerji sistemleri mühendisliği
Energy systems engineering",78.7,,81.2
"Orman endüstrisi mühendisliği
Forest industry engineering",80.4,,81.1
"Uluslararası finans ve bankacılık
International finance and banking",79.4,,80.6
"Okul öncesi öğretmenliği
Early childhood education - preschool teaching",81.3,,80.5
"Uluslararası ticaret ve işletmecilik
International trade and business management",80.3,,80.5
"Jeofizik mühendisliği
Geophysics engineering",79.4,,80.5
"Jeoloji mühendisliği
Geological engineering",79.5,,80.2
"Gemi inşaatı ve gemi makineleri mühendisliği
Naval architecture and marine engineering",79.7,,80.2
"Orman mühendisliği
Forest engineering",83.9,,80.1
"Acil yardım ve afet yönetimi
Emergency aid and disaster management",82.7,,79.6
"Fizik mühendisliği
Physics engineering",79.2,,79.2
"Matematik ve bilgisayar bilimleri
Mathematics and computer sciences",80.2,,79.2
"Hukuk
Law",77.9,,79.2
"Veteriner
Veterinary medicine",81.1,,79.2
"Mimarlık
Architecture",76.9,,79.2
"Coğrafya öğretmenliği
Geography teaching",80.5,,79.1
"Yapı öğretmenliği
Construction teaching",79.8,,79.0
"Uluslararası ticaret ve finansman
International trade and finance",77.8,,78.9
"Müzik öğretmenliği
Music teaching",79.0,,78.8
"Fizyoterapi ve rehabilitasyon
Physiotherapy and rehabilitation",75.3,,78.6
"Rehberlik ve psikolojik danışmanlık
Guidance and psychological counseling",75.9,,78.4
"Uluslararası işletme yönetimi
International business management",78.6,,77.9
"Türk dili ve edebiyatı öğretmenliği
Turkish language and literature teaching",77.5,,77.8
"Tarımsal yapılar ve sulama
Agricultural structures and irrigation",77.4,,77.5
"Su ürünleri mühendisliği
Aquacultural engineering",78.2,,77.4
"Yönetim bilişim sistemleri
Management information systems",76.5,,77.4
"Beden eğitimi ve spor öğretmenliği
Physical education and sports teaching",77.5,,76.9
"Endüstriyel tasarım mühendisliği
Industrial design engineering",.,,76.7
"Odyoloji
Audiology",73.9,,76.5
"Türk müziği
Turkish music",77.3,,76.5
"Ekonometri
Econometrics",75.1,,76.4
"Kimya
Chemistry",76.8,,76.4
"Havacılık yönetimi
Aviation management",74.5,,76.4
"Fizik öğretmenliği
Physics teaching",76.5,,76.3
"Uluslararası ticaret ve lojistik
International trade and logistics",73.7,,76.1
"Kimya öğretmenliği
Chemistry teaching",75.9,,76.1
"İş sağlığı ve güvenliği
Occupational health and safety",73.3,,76.0
"Ses eğitimi
Vocal training",76.3,,75.8
"Reklamcılık
Advertising",75.9,,75.8
"Egzersiz ve spor bilimleri
Exercise and sports sciences",75.7,,75.8
"Ekonomi ve finans
Economics and finance",75.3,,75.7
"Biyomedikal mühendisliği
Biomedical engineering",73.1,,75.4
"Muhasebe ve finans yönetimi
Accounting and finance management",74.7,,75.4
"İngiliz dilbilimi
English linguistics",74.8,,75.0
"Bilgi ve belge yönetimi
Information and records management",75.2,,74.9
"Sigortacılık
Insurance",73.9,,74.7
"Yiyecek ve içecek işletmeciliği
Catering management",73.2,,74.6
"Endüstriyel tasarım
Industrial design",73.8,,74.6
"Antrenörlük eğitimi
Coach training",74.6,,74.5
"Televizyon haberciliği ve programcılığı
Television reporting and programming",72.9,,74.4
"Gıda mühendisliği
Food engineering",73.0,,74.1
"İşletme
Business administration",74.4,,74.0
"Bitki koruma
Plant protection",72.6,,73.8
"Biyomühendislik
Bioengineering",71.2,,73.6
"İnsan kaynakları yönetimi
Human resource management",72.8,,73.3
"Türkçe öğretmenliği
Turkish language teaching",72.9,,73.3
"Turizm işletmeciliği
Tourism management - tourism administration",72.5,,73.1
"Şehir ve bölge planlama
Urban and regional planning",71.8,,73.0
"Çalışma ekonomisi ve endüstri ilişkileri
Labor economics and industrial relations",73.1,,73.0
