Program,2022,2023
Dil ve konuşma terapisi,2.4,2.3
Tıp,4.3,4.2
Özel eğitim öğretmenliği,4.1,4.2
Eczacılık,6.0,5.5
Ebelik,7.1,7.3
İngilizce öğretmenliği,7.8,7.7
Ergoterapi,9.2,8.1
Kontrol ve otomasyon mühendisliği,8.9,8.6
Din kültürü ve ahlak bilgisi öğretmenliği,8.6,8.8
Hemşirelik,8.7,8.8
Arapça öğretmenliği,9.0,8.8
Havacılık ve uzay mühendisliği,9.6,9.0
Maden mühendisliği,9.5,9.1
Çocuk gelişimi,9.9,9.2
Diş hekimliği,9.7,9.2
Elektrik mühendisliği,9.1,9.2
Fizyoterapi ve rehabilitasyon,9.7,9.4
Tekstil mühendisliği,9.8,9.5
Sınıf öğretmenliği,9.8,9.7
Almanca öğretmenliği,10.0,9.8
Odyoloji,10.7,9.9
İlköğretim matematik öğretmenliği,9.6,9.9
Türk halk oyunları,10.4,10.0
Havacılık elektrik ve elektroniği,10.4,10.1
Yazılım mühendisliği,10.8,10.2
Gastronomi ve mutfak sanatları,11.3,10.2
İnşaat mühendisliği,10.4,10.3
Okul öncesi öğretmenliği,10.2,10.4
Pilotaj,.,10.4
İngiliz dili ve edebiyatı,10.8,10.5
Bilişim sistemleri mühendisliği,11.7,10.6
Uçak mühendisliği,11.1,10.7
İngiliz dilbilimi,11.1,10.7
Gemi inşaatı ve gemi makineleri mühendisliği,11.8,10.7
Matematik mühendisliği,11.2,10.8
Endüstriyel tasarım mühendisliği,.,10.8
Makine mühendisliği,11.2,10.9
Uçak bakım ve onarım,11.3,11.0
Alman dili ve edebiyatı,11.6,11.0
Fransızca öğretmenliği,11.3,11.1
Endüstri mühendisliği,11.7,11.2
Denizcilik işletmeleri yönetimi,12.0,11.2
Matematik öğretmenliği,11.3,11.3
Elektrik-elektronik mühendisliği,11.6,11.3
İmalat mühendisliği,11.6,11.3
Mimarlık,11.8,11.3
İşletme mühendisliği,11.2,11.4
Elektronik ve haberleşme mühendisliği,11.7,11.4
Arap dili ve edebiyatı,11.5,11.5
Mekatronik mühendisliği,12.2,11.6
Bilgisayar mühendisliği,12.1,11.6
Oyunculuk,12.6,11.8
Elektronik mühendisliği,12.2,11.8
Geomatik mühendisliği,12.3,11.8
Müzik öğretmenliği,12.1,11.8
Bilişim sistemleri ve teknolojileri,12.6,11.8
Petrol ve doğalgaz mühendisliği,12.3,11.9
Lojistik yönetimi,12.4,11.9
Mütercim ve tercümanlık,12.5,12.0
Gıda teknolojisi,.,12.0
İş sağlığı ve güvenliği,12.9,12.0
Amerikan kültürü ve edebiyatı,12.4,12.0
Ses eğitimi,12.4,12.1
Gıda mühendisliği,12.4,12.2
Fizik öğretmenliği,12.7,12.2
Kimya mühendisliği,12.7,12.2
Tiyatro,12.5,12.2
Kimya öğretmenliği,12.9,12.3
Uluslararası ticaret ve işletmecilik,13.0,12.4
Harita mühendisliği,12.4,12.5
Endüstriyel tasarım,13.4,12.6
Türk müziği,13.1,12.6
Bankacılık ve sigortacılık,12.9,12.6
Uluslararası ticaret ve lojistik,13.7,12.7
İnsan kaynakları yönetimi,13.4,12.7
Turizm işletmeciliği,12.9,12.7
Yönetim bilişim sistemleri,13.6,12.7
Fransız dili ve edebiyatı,13.0,12.7
Rekreasyon yönetimi,13.7,12.7
Turizm rehberliği,13.6,12.7
Veteriner,12.9,12.8
İç mimarlık ve çevre tasarımı,13.6,12.9
Ekonomi,14.2,12.9
Metalurji ve malzeme mühendisliği,13.5,12.9
Reklamcılık,13.5,13.0
Yiyecek ve içecek işletmeciliği,13.3,13.0
Muhasebe ve finans yönetimi,13.3,13.0
Karşılaştırmalı edebiyat,13.8,13.0
Matematik,13.6,13.1
Acil yardım ve afet yönetimi,14.9,13.1
Ekonomi ve finans,13.7,13.1
Dilbilimi,.,13.1
Halkla ilişkiler ve reklamcılık,14.3,13.1
Rehberlik ve psikolojik danışmanlık,13.1,13.2
Kimya,14.0,13.2
Egzersiz ve spor bilimleri,14.6,13.2
Otomotiv mühendisliği,13.9,13.2
Yeni medya ve iletişim,14.5,13.3
Uluslararası işletme yönetimi,14.4,13.3
İlahiyat,13.6,13.4
Tekstil ve moda tasarımı,14.1,13.4
Uluslararası ticaret ve finansman,13.9,13.4
Grafik tasarımı,14.7,13.4
Sigortacılık,14.1,13.5
Beden eğitimi ve spor öğretmenliği,14.3,13.5
Matematik ve bilgisayar bilimleri,14.0,13.5
İç mimarlık,14.3,13.5
