Program,2022,2023
Özel eğitim öğretmenliği,96.1,96.2
Tıp,95.1,95.3
Dil ve konuşma terapisi,95.4,93.9
Elektrik öğretmenliği,92.8,93.2
Ebelik,89.7,92.4
Elektronik öğretmenliği,92.3,91.9
Otomotiv öğretmenliği,92.2,91.7
Bilgisayar sistemleri öğretmenliği,91.0,91.5
Metal öğretmenliği,91.3,91.3
Eczacılık,92.4,91.0
Sınıf öğretmenliği,88.3,90.9
Hemşirelik,89.4,90.9
Pilotaj,.,90.8
Matematik mühendisliği,90.1,90.8
Havacılık elektrik ve elektroniği,84.8,90.1
Elektrik mühendisliği,87.9,89.9
Kontrol ve otomasyon mühendisliği,87.0,89.8
Maden mühendisliği,88.9,89.5
Elektronik ve haberleşme mühendisliği,88.0,88.9
Uçak bakım ve onarım,83.5,88.6
İmalat mühendisliği,87.1,88.5
Petrol ve doğalgaz mühendisliği,85.3,88.5
Diş hekimliği,88.2,88.0
Makine mühendisliği,86.2,87.2
İşletme mühendisliği,85.5,87.2
Endüstri mühendisliği,84.9,86.4
Elektrik-elektronik mühendisliği,84.4,86.3
Otomotiv mühendisliği,83.3,86.2
Matematik öğretmenliği,84.5,86.1
Metalurji ve malzeme mühendisliği,84.8,85.7
Uçak mühendisliği,82.7,85.6
Havacılık ve uzay mühendisliği,81.3,85.5
İngilizce öğretmenliği,86.1,85.4
Bilgisayar mühendisliği,84.9,85.4
Arapça öğretmenliği,82.3,85.1
Türk halk oyunları,85.1,85.1
Elektronik mühendisliği,82.5,85.0
Din kültürü ve ahlak bilgisi öğretmenliği,84.2,84.9
Mekatronik mühendisliği,82.8,84.6
Bilişim sistemleri mühendisliği,84.3,84.4
İnşaat mühendisliği,81.0,84.2
Geomatik mühendisliği,81.3,84.1
Kimya mühendisliği,83.1,83.9
Yazılım mühendisliği,84.5,83.4
Ziraat mühendisliği,84.4,83.3
Aktüerya bilimleri,82.7,83.3
Malzeme bilimi ve mühendisliği,82.5,83.3
Denizcilik işletmeleri yönetimi,83.3,83.1
Lojistik yönetimi,82.2,83.0
Ekonomi,80.6,82.7
Tarım makineleri,80.6,82.6
Ergoterapi,79.8,82.5
İstatistik,81.4,82.4
Harita mühendisliği,80.3,82.3
İlköğretim matematik öğretmenliği,83.7,82.2
Tekstil mühendisliği,83.7,81.8
Çevre mühendisliği,79.2,81.6
Bilişim sistemleri ve teknolojileri,81.7,81.6
Sermaye piyasası,79.0,81.2
Bilgisayar ve öğretim teknolojileri öğretmenliği,81.2,81.2
Enerji sistemleri mühendisliği,78.7,81.2
Orman endüstrisi mühendisliği,80.4,81.1
Uluslararası finans ve bankacılık,79.4,80.6
Okul öncesi öğretmenliği,81.3,80.5
Uluslararası ticaret ve işletmecilik,80.3,80.5
Jeofizik mühendisliği,79.4,80.5
Jeoloji mühendisliği,79.5,80.2
Gemi inşaatı ve gemi makineleri mühendisliği,79.7,80.2
Orman mühendisliği,83.9,80.1
Acil yardım ve afet yönetimi,82.7,79.6
Fizik mühendisliği,79.2,79.2
Matematik ve bilgisayar bilimleri,80.2,79.2
Hukuk,77.9,79.2
Veteriner,81.1,79.2
Mimarlık,76.9,79.2
Coğrafya öğretmenliği,80.5,79.1
Yapı öğretmenliği,79.8,79.0
Uluslararası ticaret ve finansman,77.8,78.9
Müzik öğretmenliği,79.0,78.8
Fizyoterapi ve rehabilitasyon,75.3,78.6
Rehberlik ve psikolojik danışmanlık,75.9,78.4
Uluslararası işletme yönetimi,78.6,77.9
Türk dili ve edebiyatı öğretmenliği,77.5,77.8
Tarımsal yapılar ve sulama,77.4,77.5
Su ürünleri mühendisliği,78.2,77.4
Yönetim bilişim sistemleri,76.5,77.4
Beden eğitimi ve spor öğretmenliği,77.5,76.9
Endüstriyel tasarım mühendisliği,.,76.7
Odyoloji,73.9,76.5
Türk müziği,77.3,76.5
Ekonometri,75.1,76.4
Kimya,76.8,76.4
Havacılık yönetimi,74.5,76.4
Fizik öğretmenliği,76.5,76.3
Uluslararası ticaret ve lojistik,73.7,76.1
Kimya öğretmenliği,75.9,76.1
İş sağlığı ve güvenliği,73.3,76.0
Ses eğitimi,76.3,75.8
Reklamcılık,75.9,75.8
Egzersiz ve spor bilimleri,75.7,75.8
Ekonomi ve finans,75.3,75.7
Biyomedikal mühendisliği,73.1,75.4
Muhasebe ve finans yönetimi,74.7,75.4
İngiliz dilbilimi,74.8,75.0
Bilgi ve belge yönetimi,75.2,74.9
Sigortacılık,73.9,74.7
Yiyecek ve içecek işletmeciliği,73.2,74.6
Endüstriyel tasarım,73.8,74.6
Antrenörlük eğitimi,74.6,74.5
Televizyon haberciliği ve programcılığı,72.9,74.4
Gıda mühendisliği,73.0,74.1
İşletme,74.4,74.0
Bitki koruma,72.6,73.8
Biyomühendislik,71.2,73.6
İnsan kaynakları yönetimi,72.8,73.3
Türkçe öğretmenliği,72.9,73.3
Turizm işletmeciliği,72.5,73.1
Şehir ve bölge planlama,71.8,73.0
Çalışma ekonomisi ve endüstri ilişkileri,73.1,73.0
Müzikoloji,71.5,72.8
İktisat,72.1,72.7
Finans ve bankacılık,71.9,72.7
Siyaset bilimi ve uluslararası ilişkiler,70.1,72.6
Yeni medya ve iletişim,71.3,72.6
Fizik,73.4,72.6
İngiliz dili ve edebiyatı,74.5,72.5
Rekreasyon,72.6,72.5
Amerikan kültürü ve edebiyatı,74.8,72.5
Maliye,71.0,72.4
Halkla ilişkiler ve reklamcılık,72.3,72.4
Çocuk gelişimi,77.8,72.3
Tarih öğretmenliği,69.6,72.2
Felsefe grubu öğretmenliği,74.4,72.2
İletişim ve tasarımı,73.7,72.2
Uluslararası ilişkiler,71.6,72.1
Zootekni,70.9,72.1
Bankacılık ve sigortacılık,70.5,71.9
Arap dili ve edebiyatı,72.3,71.7
Kamu yönetimi,72.1,71.7
Spor yöneticiliği,72.1,71.6
Oyunculuk,70.3,71.6
Toprak bilimi ve bitki besleme,71.6,71.6
Sağlık yönetimi,70.9,71.1
Aile ve tüketici bilimleri,73.2,70.9
İç mimarlık,70.3,70.7
İç mimarlık ve çevre tasarımı,70.1,70.4
Görsel iletişim tasarımı,70.3,70.2
Tarla bitkileri,68.7,70.1
Sosyal hizmet,69.4,70.1
Tiyatro,66.8,70.0
Halkla ilişkiler ve tanıtım,70.2,70.0
Fen bilgisi öğretmenliği,69.6,69.8
Mütercim ve tercümanlık,70.8,69.8
Matematik,72.1,69.7
"Radyo, televizyon ve sinema",69.2,69.5
Resim-iş öğretmenliği,69.2,69.5
Bahçe bitkileri,68.6,69.4
Gazetecilik,68.3,69.2
Almanca öğretmenliği,71.5,69.1
Psikoloji,66.3,69.0
Rus dili ve edebiyatı,69.8,68.9
Peyzaj mimarlığı,68.5,68.9
Gıda teknolojisi,.,68.8
Astronomi ve uzay bilimleri,70.5,68.7
İletişim bilimleri,67.1,68.6
Biyoloji öğretmenliği,70.4,68.6
Müzik,68.0,68.5
Biyosistem mühendisliği,69.1,68.4
Grafik tasarımı,70.0,68.4
Beslenme ve diyetetik,64.9,68.3
Grafik sanatlar,69.7,68.1
Sosyal bilgiler öğretmenliği,67.1,67.7
Alman dili ve edebiyatı,71.2,67.7
Siyaset bilimi ve kamu yönetimi,65.0,67.5
Fransız dili ve edebiyatı,68.3,67.5
Genetik ve biyomühendislik,63.3,67.3
Fotoğraf,66.5,67.2
Gastronomi ve mutfak sanatları,67.1,67.1
Biyoloji,67.8,67.0
Biyokimya,65.5,66.7
Opera,.,66.4
Tarımsal biyoteknoloji,65.1,65.8
Rekreasyon yönetimi,64.3,65.7
Karşılaştırmalı edebiyat,63.2,65.7
Tekstil ve moda tasarımı,66.7,65.6
Sanat ve kültür yönetimi,65.2,64.9
Fransızca öğretmenliği,68.0,64.6
Tarım ekonomisi,62.2,63.7
Coğrafya,64.2,63.3
Arkeoloji,62.7,63.0
İlahiyat,63.8,62.8
Seramik,63.7,62.5
Dilbilimi,.,61.9
Antropoloji,61.2,61.5
Moleküler biyoloji ve genetik,58.4,60.9
Protohistorya ve ön asya arkeolojisi,60.7,60.7
Turizm rehberliği,61.0,60.5
Çizgi film ve animasyon,63.2,60.1
Tarih,59.8,60.0
Türk halkbilimi,58.9,59.9
Kore dili ve edebiyatı,.,59.9
Sanat tarihi,59.4,59.7
Sosyoloji,60.0,59.5
Geleneksel Türk sanatları,59.6,58.6
Biyoteknoloji,.,58.2
Felsefe,58.7,57.9
Seramik ve cam,60.6,57.6
Resim,56.7,56.8
Türk dili ve edebiyatı,56.8,56.1
Çağdaş Türk lehçeleri ve edebiyatları,55.9,55.0
Fars dili ve edebiyatı,57.7,54.7
Heykel,48.8,51.3
İslami ilimler,48.2,50.1
Deniz ulaştırma işletme mühendisliği,40.6,40.1
Gemi makineleri işletme mühendisliği,39.7,39.9
Bilgisayar öğretmenliği,90.3,.
Talaşlı üretim öğretmenliği,89.0,.
Moda tasarımı öğretmenliği,62.8,.

