,ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BİRİNCİ Ö.,0,0,0,1260,937,2197,73,51,124,43,53,96,1376,1041,2417,
,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,356,878,1234,689,1957,2646,62,216,278,30,114,144,1137,3165,4302,
,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,ADANA,BİRİNCİ Ö.,0,0,0,1625,1094,2719,282,247,529,50,42,92,1957,1383,3340,
,ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,BİRİNCİ Ö.,4211,2513,6724,4474,5150,9624,258,206,464,36,24,60,8979,7893,16872,
,AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,BİRİNCİ Ö.,4313,2830,7143,7316,7265,14581,1006,967,1973,277,172,449,12912,11234,24146,
,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,BİRİNCİ Ö.,526,1427,1953,1096,2121,3217,2,20,22,17,5,22,1641,3573,5214,
,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,DEVLET,AĞRI,BİRİNCİ Ö.,1522,1265,2787,3123,3464,6587,439,316,755,14,5,19,5098,5050,10148,
,AKDENİZ ÜNİVERSİTESİ,DEVLET,ANTALYA,BİRİNCİ Ö.,8548,5280,13828,17465,14818,32283,1690,2050,3740,717,742,1459,28420,22890,51310,
,AKSARAY ÜNİVERSİTESİ,DEVLET,AKSARAY,BİRİNCİ Ö.,1962,1639,3601,5557,6015,11572,753,570,1323,97,75,172,8369,8299,16668,
,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,DEVLET,ANTALYA,BİRİNCİ Ö.,2384,1547,3931,4072,3144,7216,120,141,261,26,28,54,6602,4860,11462,
,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,VAKIF,ANTALYA,BİRİNCİ Ö.,0,0,0,184,165,349,13,16,29,0,0,0,197,181,378,
,ALTINBAŞ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,410,829,1239,4149,3070,7219,1915,911,2826,153,94,247,6627,4904,11531,
,AMASYA ÜNİVERSİTESİ,DEVLET,AMASYA,BİRİNCİ Ö.,3142,2600,5742,2037,3156,5193,508,419,927,15,13,28,5702,6188,11890,
,ANADOLU ÜNİVERSİTESİ,DEVLET,ESKİŞEHİR,BİRİNCİ Ö.,903,1114,2017,8881,8841,17722,736,1128,1864,840,903,1743,11360,11986,23346,
,ANKARA BİLİM ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,0,0,0,196,197,393,0,0,0,0,0,0,196,197,393,
,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,607,1161,1768,9125,10619,19744,1295,1699,2994,1077,1107,2184,12104,14586,26690,
,ANKARA MEDİPOL ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,521,758,1279,505,958,1463,2,41,43,0,12,12,1028,1769,2797,
,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,0,0,0,168,87,255,82,42,124,18,12,30,268,141,409,
,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,3,3,6,883,1147,2030,326,284,610,119,66,185,1331,1500,2831,
,ANKARA ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,2470,3060,5530,19843,22708,42551,2406,2941,5347,3006,3201,6207,27725,31910,59635,
,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,1176,1583,2759,6645,8662,15307,1174,1291,2465,736,529,1265,9731,12065,21796,
,ANTALYA AKEV ÜNİVERSİTESİ,VAKIF,ANTALYA,BİRİNCİ Ö.,195,189,384,255,222,477,0,0,0,0,0,0,450,411,861,
,ANTALYA BİLİM ÜNİVERSİTESİ,VAKIF,ANTALYA,BİRİNCİ Ö.,339,579,918,1738,1609,3347,263,198,461,0,0,0,2340,2386,4726,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ARDAHAN ÜNİVERSİTESİ,DEVLET,ARDAHAN,BİRİNCİ Ö.,859,1050,1909,1392,1307,2699,188,153,341,20,26,46,2459,2536,4995,
,ARTVİN ÇORUH ÜNİVERSİTESİ,DEVLET,ARTVİN,BİRİNCİ Ö.,2211,2307,4518,1850,2627,4477,228,167,395,19,12,31,4308,5113,9421,
,ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,VAKIF MYO,İSTANBUL,BİRİNCİ Ö.,565,273,838,0,0,0,0,0,0,0,0,0,565,273,838,
,ATATÜRK ÜNİVERSİTESİ,DEVLET,ERZURUM,BİRİNCİ Ö.,5856,5213,11069,14727,16577,31304,2634,2422,5056,1303,1022,2325,24520,25234,49754,
,ATILIM ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,35,34,69,4787,3581,8368,410,375,785,102,87,189,5334,4077,9411,
,AVRASYA ÜNİVERSİTESİ,VAKIF,TRABZON,BİRİNCİ Ö.,829,1047,1876,1322,1616,2938,151,99,250,24,12,36,2326,2774,5100,
,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,DEVLET,AYDIN,BİRİNCİ Ö.,6508,6360,12868,11306,11915,23221,1024,1329,2353,319,420,739,19157,20024,39181,
,BAHÇEŞEHİR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,590,870,1460,10839,8991,19830,2284,2895,5179,221,275,496,13934,13031,26965,
,BALIKESİR ÜNİVERSİTESİ,DEVLET,BALIKESİR,BİRİNCİ Ö.,3894,2171,6065,7199,8007,15206,564,632,1196,162,137,299,11819,10947,22766,
,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,DEVLET,BALIKESİR,BİRİNCİ Ö.,1836,1674,3510,3448,3088,6536,649,443,1092,56,45,101,5989,5250,11239,
,BARTIN ÜNİVERSİTESİ,DEVLET,BARTIN,BİRİNCİ Ö.,2198,1930,4128,4545,4266,8811,518,447,965,43,58,101,7304,6701,14005,
,BAŞKENT ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,1286,1297,2583,5330,7127,12457,537,931,1468,233,313,546,7386,9668,17054,
,BATMAN ÜNİVERSİTESİ,DEVLET,BATMAN,BİRİNCİ Ö.,2291,1733,4024,3108,2084,5192,549,217,766,37,12,49,5985,4046,10031,
,BAYBURT ÜNİVERSİTESİ,DEVLET,BAYBURT,BİRİNCİ Ö.,1630,1801,3431,2398,2901,5299,412,218,630,31,6,37,4471,4926,9397,
,BEYKENT ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,2792,3632,6424,10547,8218,18765,620,524,1144,93,69,162,14052,12443,26495,
,BEYKOZ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1360,1141,2501,1007,894,1901,144,128,272,0,0,0,2511,2163,4674,
,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,193,576,769,672,1781,2453,30,79,109,26,54,80,921,2490,3411,
,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,DEVLET,BİLECİK,BİRİNCİ Ö.,2665,2387,5052,3867,3618,7485,610,362,972,56,55,111,7198,6422,13620,
,BİNGÖL ÜNİVERSİTESİ,DEVLET,BİNGÖL,BİRİNCİ Ö.,2608,2544,5152,3301,3035,6336,537,293,830,139,24,163,6585,5896,12481,
,BİRUNİ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,717,1692,2409,1749,4263,6012,142,343,485,37,46,83,2645,6344,8989,
,BİTLİS EREN ÜNİVERSİTESİ,DEVLET,BİTLİS,BİRİNCİ Ö.,2782,2392,5174,1674,1664,3338,296,114,410,10,5,15,4762,4175,8937,
,BOĞAZİÇİ ÜNİVERSİTESİ,DEVLET,İSTANBUL,BİRİNCİ Ö.,0,0,0,7144,5622,12766,894,718,1612,517,528,1045,8555,6868,15423,
,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,DEVLET,BOLU,BİRİNCİ Ö.,2695,2433,5128,7582,9823,17405,1612,1716,3328,507,539,1046,12396,14511,26907,
,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,DEVLET,BURDUR,BİRİNCİ Ö.,4161,3951,8112,7358,7919,15277,731,722,1453,161,130,291,12411,12722,25133,
,BURSA TEKNİK ÜNİVERSİTESİ,DEVLET,BURSA,BİRİNCİ Ö.,0,0,0,3084,2737,5821,683,471,1154,128,97,225,3895,3305,7200,
,BURSA ULUDAĞ ÜNİVERSİTESİ,DEVLET,BURSA,BİRİNCİ Ö.,7983,5768,13751,15916,16322,32238,1925,2366,4291,1198,966,2164,27022,25422,52444,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ÇAĞ ÜNİVERSİTESİ,VAKIF,MERSİN,BİRİNCİ Ö.,529,789,1318,1166,1630,2796,315,426,741,12,15,27,2022,2860,4882,
,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,DEVLET,ÇANAKKALE,BİRİNCİ Ö.,5602,4535,10137,10985,12298,23283,1645,1921,3566,357,346,703,18589,19100,37689,
,ÇANKAYA ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,127,78,205,3238,2670,5908,320,337,657,31,37,68,3716,3122,6838,
,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,DEVLET,ÇANKIRI,BİRİNCİ Ö.,1894,1239,3133,3399,4072,7471,2595,1638,4233,149,91,240,8037,7040,15077,
,ÇUKUROVA ÜNİVERSİTESİ,DEVLET,ADANA,BİRİNCİ Ö.,5044,3442,8486,13929,12854,26783,1307,1300,2607,819,796,1615,21099,18392,39491,
,DEMİROĞLU BİLİM ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,172,394,566,655,1331,1986,9,22,31,0,7,7,836,1754,2590,
,DİCLE ÜNİVERSİTESİ,DEVLET,DİYARBAKIR,BİRİNCİ Ö.,4009,3151,7160,9896,8325,18221,676,536,1212,425,213,638,15006,12225,27231,
,DOĞUŞ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1639,1597,3236,4037,2980,7017,185,131,316,31,46,77,5892,4754,10646,
,DOKUZ EYLÜL ÜNİVERSİTESİ,DEVLET,İZMİR,BİRİNCİ Ö.,4538,2742,7280,19913,17083,36996,2139,2620,4759,1120,1197,2317,27710,23642,51352,
,DÜZCE ÜNİVERSİTESİ,DEVLET,DÜZCE,BİRİNCİ Ö.,3563,2589,6152,7617,7245,14862,951,853,1804,235,152,387,12366,10839,23205,
,EGE ÜNİVERSİTESİ,DEVLET,İZMİR,BİRİNCİ Ö.,6458,4095,10553,16726,16113,32839,1893,2692,4585,1265,1738,3003,26342,24638,50980,
,ERCİYES ÜNİVERSİTESİ,DEVLET,KAYSERİ,BİRİNCİ Ö.,750,1483,2233,15004,14356,29360,3053,2886,5939,1227,991,2218,20034,19716,39750,
,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,DEVLET,ERZİNCAN,BİRİNCİ Ö.,4749,3515,8264,5026,6205,11231,472,525,997,118,82,200,10365,10327,20692,
,ERZURUM TEKNİK ÜNİVERSİTESİ,DEVLET,ERZURUM,BİRİNCİ Ö.,0,0,0,1473,1288,2761,234,211,445,63,37,100,1770,1536,3306,
,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,DEVLET,ESKİŞEHİR,BİRİNCİ Ö.,1443,1236,2679,9457,8448,17905,1199,1229,2428,470,404,874,12569,11317,23886,
,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,DEVLET,ESKİŞEHİR,BİRİNCİ Ö.,2272,673,2945,5264,3865,9129,802,647,1449,353,263,616,8691,5448,14139,
