2024,, YILI,,,,
MEVCUT ÜNİVERSİTELER,,,,,,
,,,,,,
Birim Adı,Kuruluş Yılı,,Tür,İl Adı,Bölge Adı,
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,18.05.2007,,VAKIF,İSTANBUL,MARMARA,
ALANYA ÜNİVERSİTESİ,03.03.2011,,VAKIF,ANTALYA,AKDENİZ,
ALTINBAŞ ÜNİVERSİTESİ,22.05.2008,,VAKIF,İSTANBUL,MARMARA,
ANKA TEKNOLOJİ ÜNİVERSİTESİ,18.06.2013,,VAKIF,ANKARA,İÇ ANADOLU,
ANKARA BİLİM ÜNİVERSİTESİ,17.04.2020,,VAKIF,ANKARA,İÇ ANADOLU,
ANKARA MEDİPOL ÜNİVERSİTESİ,18.05.2018,,VAKIF,ANKARA,İÇ ANADOLU,
ANTALYA BELEK ÜNİVERSİTESİ,23.04.2015,,VAKIF,ANTALYA,AKDENİZ,
ANTALYA BİLİM ÜNİVERSİTESİ,21.07.2010,,VAKIF,ANTALYA,AKDENİZ,
ATILIM ÜNİVERSİTESİ,15.07.1997,,VAKIF,ANKARA,İÇ ANADOLU,
AVRASYA ÜNİVERSİTESİ,10.12.2010,,VAKIF,TRABZON,KARADENİZ,
BAHÇEŞEHİR ÜNİVERSİTESİ,18.01.1998,,VAKIF,İSTANBUL,MARMARA,
BAŞKENT ÜNİVERSİTESİ,15.01.1994,,VAKIF,ANKARA,İÇ ANADOLU,
BEYKOZ ÜNİVERSİTESİ,07.09.2016,,VAKIF,İSTANBUL,MARMARA,
,,,,,,
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,24.04.2010,,VAKIF,İSTANBUL,MARMARA,
BİRUNİ ÜNİVERSİTESİ,27.02.2014,,VAKIF,İSTANBUL,MARMARA,
ÇAĞ ÜNİVERSİTESİ,15.07.1997,,VAKIF,MERSİN,AKDENİZ,
ÇANKAYA ÜNİVERSİTESİ,15.07.1997,,VAKIF,ANKARA,İÇ ANADOLU,
DEMİROĞLU BİLİM ÜNİVERSİTESİ,28.03.2006,,VAKIF,İSTANBUL,MARMARA,
DOĞUŞ ÜNİVERSİTESİ,15.07.1997,,VAKIF,İSTANBUL,MARMARA,
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,24.04.2010,,VAKIF,İSTANBUL,MARMARA,
FENERBAHÇE ÜNİVERSİTESİ,24.11.2016,,VAKIF,İSTANBUL,MARMARA,
HALİÇ ÜNİVERSİTESİ,18.01.1998,,VAKIF,İSTANBUL,MARMARA,
HASAN KALYONCU ÜNİVERSİTESİ,31.07.2008,,VAKIF,GAZİANTEP,GÜNEYDOĞU ANADOLU,
IŞIK ÜNİVERSİTESİ,07.06.1996,,VAKIF,İSTANBUL,MARMARA,
İBN HALDUN ÜNİVERSİTESİ,23.04.2015,,VAKIF,İSTANBUL,MARMARA,
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,22.05.1985,,VAKIF,ANKARA,İÇ ANADOLU,
İSTANBUL AREL ÜNİVERSİTESİ,18.05.2007,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL ATLAS ÜNİVERSİTESİ,18.05.2018,,VAKIF,İSTANBUL,MARMARA,
,,,,,,
İSTANBUL AYDIN ÜNİVERSİTESİ,18.05.2007,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL BEYKENT ÜNİVERSİTESİ,15.07.1997,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL BİLGİ ÜNİVERSİTESİ,07.06.1996,,VAKIF,İSTANBUL,MARMARA,
İSTANBUL ESENYURT ÜNİVERSİTESİ,18.06.2013,,VAKIF,İSTANBUL,MARMARA,
