2024,, YILI,,,
MEVCUT ÜNİVERSİTELER,,,,,
,,,,,
Birim Adı,Kuruluş Yılı,,Tür,İl Adı,Bölge Adı
ABDULLAH GÜL ÜNİVERSİTESİ,21.07.2010,,DEVLET,KAYSERİ,İÇ ANADOLU
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,18.05.2007,,VAKIF,İSTANBUL,MARMARA
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,14.04.2011,,DEVLET,ADANA,AKDENİZ
ADIYAMAN ÜNİVERSİTESİ,17.03.2006,,DEVLET,ADIYAMAN,GÜNEYDOĞU ANADOLU
AFYON KOCATEPE ÜNİVERSİTESİ,11.07.1992,,DEVLET,AFYONKARAHİSAR,EGE
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,18.05.2018,,DEVLET,AFYONKARAHİSAR,EGE
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,29.05.2007,,DEVLET,AĞRI,DOĞU ANADOLU
AKDENİZ ÜNİVERSİTESİ,20.07.1982,,DEVLET,ANTALYA,AKDENİZ
AKSARAY ÜNİVERSİTESİ,17.03.2006,,DEVLET,AKSARAY,İÇ ANADOLU
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,23.04.2015,,DEVLET,ANTALYA,AKDENİZ
ALANYA ÜNİVERSİTESİ,03.03.2011,,VAKIF,ANTALYA,AKDENİZ
ALTINBAŞ ÜNİVERSİTESİ,22.05.2008,,VAKIF,İSTANBUL,MARMARA
AMASYA ÜNİVERSİTESİ,17.03.2006,,DEVLET,AMASYA,KARADENİZ
,,,,,
ANADOLU ÜNİVERSİTESİ,30.11.1973,,DEVLET,ESKİŞEHİR,İÇ ANADOLU
ANKA TEKNOLOJİ ÜNİVERSİTESİ,18.06.2013,,VAKIF,ANKARA,İÇ ANADOLU
ANKARA BİLİM ÜNİVERSİTESİ,17.04.2020,,VAKIF,ANKARA,İÇ ANADOLU
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,18.05.2018,,DEVLET,ANKARA,İÇ ANADOLU
ANKARA MEDİPOL ÜNİVERSİTESİ,18.05.2018,,VAKIF,ANKARA,İÇ ANADOLU
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,01.07.2017,,DEVLET,ANKARA,İÇ ANADOLU
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,31.01.2013,,DEVLET,ANKARA,İÇ ANADOLU
ANKARA ÜNİVERSİTESİ,13.06.1946,,DEVLET,ANKARA,İÇ ANADOLU
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,21.07.2010,,DEVLET,ANKARA,İÇ ANADOLU
ANTALYA BELEK ÜNİVERSİTESİ,23.04.2015,,VAKIF,ANTALYA,AKDENİZ
ANTALYA BİLİM ÜNİVERSİTESİ,21.07.2010,,VAKIF,ANTALYA,AKDENİZ
ARDAHAN ÜNİVERSİTESİ,22.05.2008,,DEVLET,ARDAHAN,DOĞU ANADOLU
ARTVİN ÇORUH ÜNİVERSİTESİ,29.05.2007,,DEVLET,ARTVİN,KARADENİZ
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,16.03.2014,,VAKIF MYO,İSTANBUL,MARMARA
ATATÜRK ÜNİVERSİTESİ,31.05.1957,,DEVLET,ERZURUM,DOĞU ANADOLU
,,,,,
ATILIM ÜNİVERSİTESİ,15.07.1997,,VAKIF,ANKARA,İÇ ANADOLU
AVRASYA ÜNİVERSİTESİ,10.12.2010,,VAKIF,TRABZON,KARADENİZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ,11.07.1992,,DEVLET,AYDIN,EGE
