academicYear,universityName,universityType,totalForeignStudents,totalStudentNumber

2023,ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,251,

2023,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,313,

2023,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,39,

2023,ADIYAMAN ÜNİVERSİTESİ,DEVLET,1044,

2023,AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,1923,

2023,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,114,

2023,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,DEVLET,377,

2023,AKDENİZ ÜNİVERSİTESİ,DEVLET,1580,

2023,AKSARAY ÜNİVERSİTESİ,DEVLET,1631,

2023,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,DEVLET,959,

2023,ALANYA ÜNİVERSİTESİ,VAKIF,148,

2023,ALTINBAŞ ÜNİVERSİTESİ,VAKIF,6225,

2023,AMASYA ÜNİVERSİTESİ,DEVLET,113,

2023,ANADOLU ÜNİVERSİTESİ,DEVLET,18474,

2023,ANKARA BİLİM ÜNİVERSİTESİ,VAKIF,192,

2023,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,DEVLET,774,

2023,ANKARA MEDİPOL ÜNİVERSİTESİ,VAKIF,1326,

2023,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,DEVLET,82,

2023,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,DEVLET,413,

2023,ANKARA ÜNİVERSİTESİ,DEVLET,3263,

2023,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,DEVLET,2287,

2023,ANTALYA BELEK ÜNİVERSİTESİ,VAKIF,162,

2023,ANTALYA BİLİM ÜNİVERSİTESİ,VAKIF,1344,

2023,ARDAHAN ÜNİVERSİTESİ,DEVLET,251,

2023,ARTVİN ÇORUH ÜNİVERSİTESİ,DEVLET,343,

2023,ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,VAKIF MYO,1,

