academicYear,universityName,universityType,totalForeignStudents,totalStudentNumber
2023,ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,251,3472
2023,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,313,3336
2023,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,39,4203
2023,ADIYAMAN ÜNİVERSİTESİ,DEVLET,1044,9203
2023,AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,1923,15220
2023,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,114,3856
2023,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,DEVLET,377,7583
2023,AKDENİZ ÜNİVERSİTESİ,DEVLET,1580,32631
2023,AKSARAY ÜNİVERSİTESİ,DEVLET,1631,10966
2023,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,DEVLET,959,9222
2023,ALANYA ÜNİVERSİTESİ,VAKIF,148,465
2023,ALTINBAŞ ÜNİVERSİTESİ,VAKIF,6225,7768
2023,AMASYA ÜNİVERSİTESİ,DEVLET,113,6061
2023,ANADOLU ÜNİVERSİTESİ,DEVLET,18474,19240
2023,ANKARA BİLİM ÜNİVERSİTESİ,VAKIF,192,2003
2023,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,DEVLET,774,20097
2023,ANKARA MEDİPOL ÜNİVERSİTESİ,VAKIF,1326,6914
2023,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,DEVLET,82,696
2023,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,DEVLET,413,4270
2023,ANKARA ÜNİVERSİTESİ,DEVLET,3263,41175
2023,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,DEVLET,2287,18450
2023,ANTALYA BELEK ÜNİVERSİTESİ,VAKIF,162,959
2023,ANTALYA BİLİM ÜNİVERSİTESİ,VAKIF,1344,5216
2023,ARDAHAN ÜNİVERSİTESİ,DEVLET,251,3322
2023,ARTVİN ÇORUH ÜNİVERSİTESİ,DEVLET,343,4931
2023,ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,VAKIF MYO,1,0
2023,ATATÜRK ÜNİVERSİTESİ,DEVLET,11240,31845
2023,ATILIM ÜNİVERSİTESİ,VAKIF,1117,9097
2023,AVRASYA ÜNİVERSİTESİ,VAKIF,104,2525
2023,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,DEVLET,535,22823
2023,BAHÇEŞEHİR ÜNİVERSİTESİ,VAKIF,6464,20928
2023,BALIKESİR ÜNİVERSİTESİ,DEVLET,610,15123
2023,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,DEVLET,2411,9874
2023,BARTIN ÜNİVERSİTESİ,DEVLET,1632,9282
2023,BAŞKENT ÜNİVERSİTESİ,VAKIF,440,13456
2023,BATMAN ÜNİVERSİTESİ,DEVLET,224,5277
2023,BAYBURT ÜNİVERSİTESİ,DEVLET,462,5577
2023,BEYKOZ ÜNİVERSİTESİ,VAKIF,1054,3073
2023,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,VAKIF,85,2446
2023,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,DEVLET,2252,9369
2023,BİNGÖL ÜNİVERSİTESİ,DEVLET,904,7397
2023,BİRUNİ ÜNİVERSİTESİ,VAKIF,2439,9709
