Program,2022,2023
"Dil ve konuşma terapisi
Speech and language therapy",2.4,,2.3
"Tıp
Medicine",4.3,,4.2
"Özel eğitim öğretmenliği
Special education teaching",4.1,,4.2
"Eczacılık
Pharmacy",6.0,,5.5
"Ebelik
Midwifery",7.1,,7.3
"İngilizce öğretmenliği
English language teaching",7.8,,7.7
"Ergoterapi
Occupational therapy",9.2,,8.1
"Kontrol ve otomasyon mühendisliği
Control and automation engineering",8.9,,8.6
"Din kültürü ve ahlak bilgisi öğretmenliği
Religion and ethics teaching",8.6,,8.8
"Hemşirelik
Nursing",8.7,,8.8
"Arapça öğretmenliği
Arabic language teaching",9.0,,8.8
"Havacılık ve uzay mühendisliği
Aerospace engineering",9.6,,9.0
"Maden mühendisliği
Mining engineering",9.5,,9.1
"Çocuk gelişimi
Child development",9.9,,9.2
"Diş hekimliği
Dentistry",9.7,,9.2
"Elektrik mühendisliği
Electrical engineering",9.1,,9.2
"Fizyoterapi ve rehabilitasyon
Physiotherapy and rehabilitation",9.7,,9.4
"Tekstil mühendisliği
Textile engineering",9.8,,9.5
"Sınıf öğretmenliği
Classroom teaching",9.8,,9.7
"Almanca öğretmenliği
German language teaching",10.0,,9.8
"Odyoloji
Audiology",10.7,,9.9
"İlköğretim matematik öğretmenliği
Elementary mathematics education",9.6,,9.9
"Türk halk oyunları
Turkish folk dances",10.4,,10.0
"Havacılık elektrik ve elektroniği
Avionics",10.4,,10.1
"Yazılım mühendisliği
Software engineering",10.8,,10.2
"Gastronomi ve mutfak sanatları
Gastronomy and culinary arts",11.3,,10.2
"İnşaat mühendisliği
Civil engineering",10.4,,10.3
"Okul öncesi öğretmenliği
Early childhood education - preschool teaching",10.2,,10.4
"Pilotaj
Flight training",.,,10.4
"İngiliz dili ve edebiyatı
English language and literature",10.8,,10.5
"Bilişim sistemleri mühendisliği
Information systems engineering",11.7,,10.6
"Uçak mühendisliği
Aircraft engineering",11.1,,10.7
"İngiliz dilbilimi
English linguistics",11.1,,10.7
"Gemi inşaatı ve gemi makineleri mühendisliği
Naval architecture and marine engineering",11.8,,10.7
"Matematik mühendisliği
Mathematical engineering",11.2,,10.8
"Endüstriyel tasarım mühendisliği
Industrial design engineering",.,,10.8
"Makine mühendisliği
Mechanical engineering",11.2,,10.9
"Uçak bakım ve onarım
Aircraft maintenance and repair",11.3,,11.0
"Alman dili ve edebiyatı
German language and literature",11.6,,11.0
"Fransızca öğretmenliği
French language teaching",11.3,,11.1
"Endüstri mühendisliği
Industrial engineering",11.7,,11.2
"Denizcilik işletmeleri yönetimi
Maritime management",12.0,,11.2
"Matematik öğretmenliği
Mathematics teaching",11.3,,11.3
"Elektrik-elektronik mühendisliği
Electrical-electronics engineering",11.6,,11.3
"İmalat mühendisliği
Manufacturing engineering",11.6,,11.3
"Mimarlık
Architecture",11.8,,11.3
"İşletme mühendisliği
Management engineering",11.2,,11.4
"Elektronik ve haberleşme mühendisliği
Electronics and communication engineering",11.7,,11.4
"Arap dili ve edebiyatı
Arabic language and literature",11.5,,11.5
"Mekatronik mühendisliği
Mechatronics engineering",12.2,,11.6
"Bilgisayar mühendisliği
Computer engineering",12.1,,11.6
"Oyunculuk
Acting",12.6,,11.8
"Elektronik mühendisliği
Electronics engineering",12.2,,11.8
"Geomatik mühendisliği
Geomatics engineering",12.3,,11.8
"Müzik öğretmenliği
Music teaching",12.1,,11.8
"Bilişim sistemleri ve teknolojileri
Information systems and technologies",12.6,,11.8
"Petrol ve doğalgaz mühendisliği
Petroleum and natural gas engineering",12.3,,11.9
"Lojistik yönetimi
Logistics management",12.4,,11.9
"Mütercim ve tercümanlık
Translation and interpretation",12.5,,12.0
"Gıda teknolojisi
Food technology",.,,12.0
"İş sağlığı ve güvenliği
Occupational health and safety",12.9,,12.0
"Amerikan kültürü ve edebiyatı
American culture and literature",12.4,,12.0
"Ses eğitimi
Vocal training",12.4,,12.1
"Gıda mühendisliği
Food engineering",12.4,,12.2
"Fizik öğretmenliği
Physics teaching",12.7,,12.2
"Kimya mühendisliği
Chemical engineering",12.7,,12.2
"Tiyatro
Theatre",12.5,,12.2
"Kimya öğretmenliği
Chemistry teaching",12.9,,12.3
"Uluslararası ticaret ve işletmecilik
International trade and business management",13.0,,12.4
"Harita mühendisliği
Geomatics engineering",12.4,,12.5
"Endüstriyel tasarım
Industrial design",13.4,,12.6
"Türk müziği
Turkish music",13.1,,12.6
"Bankacılık ve sigortacılık
Banking and insurance",12.9,,12.6
"Uluslararası ticaret ve lojistik
International trade and logistics",13.7,,12.7
"İnsan kaynakları yönetimi
Human resource management",13.4,,12.7
"Turizm işletmeciliği
Tourism management - tourism administration",12.9,,12.7
"Yönetim bilişim sistemleri
Management information systems",13.6,,12.7
"Fransız dili ve edebiyatı
French language and literature",13.0,,12.7
"Rekreasyon yönetimi
Recreation management",13.7,,12.7
"Turizm rehberliği
Tour guide training",13.6,,12.7
"Veteriner
Veterinary medicine",12.9,,12.8
"İç mimarlık ve çevre tasarımı
Interior and environmental design",13.6,,12.9
"Ekonomi
Economics",14.2,,12.9
"Metalurji ve malzeme mühendisliği
Metallurgical and materials engineering",13.5,,12.9
"Reklamcılık
Advertising",13.5,,13.0
"Yiyecek ve içecek işletmeciliği
Catering management",13.3,,13.0
"Muhasebe ve finans yönetimi
Accounting and finance management",13.3,,13.0
"Karşılaştırmalı edebiyat
Comparative literature",13.8,,13.0
"Matematik
Mathematics",13.6,,13.1
"Acil yardım ve afet yönetimi
Emergency aid and disaster management",14.9,,13.1
"Ekonomi ve finans
Economics and finance",13.7,,13.1
"Dilbilimi
Linguistics",.,,13.1
"Halkla ilişkiler ve reklamcılık
Public relations and advertising",14.3,,13.1
"Rehberlik ve psikolojik danışmanlık
Guidance and psychological counseling",13.1,,13.2
"Kimya
Chemistry",14.0,,13.2
"Egzersiz ve spor bilimleri
Exercise and sports sciences",14.6,,13.2
"Otomotiv mühendisliği
Automotive engineering",13.9,,13.2
"Yeni medya ve iletişim
New media and communication",14.5,,13.3
"Uluslararası işletme yönetimi
International business management",14.4,,13.3
"İlahiyat
Theology",13.6,,13.4
"Tekstil ve moda tasarımı
Fashion and textile design",14.1,,13.4
"Uluslararası ticaret ve finansman
International trade and finance",13.9,,13.4
"Grafik tasarımı
Graphic design",14.7,,13.4
"Sigortacılık
Insurance",14.1,,13.5
"Beden eğitimi ve spor öğretmenliği
Physical education and sports teaching",14.3,,13.5
"Matematik ve bilgisayar bilimleri
Mathematics and computer sciences",14.0,,13.5
"İç mimarlık
Interior architecture",14.3,,13.5
"Rus dili ve edebiyatı
Russian language and literature",13.9,,13.6
"Görsel iletişim tasarımı
Visual communication design",14.7,,13.6
"Sermaye piyasası
Capital market",14.1,,13.6
"Antrenörlük eğitimi
Coach training",14.6,,13.6
"Orman mühendisliği
Forest engineering",14.7,,13.7
"Çizgi film ve animasyon
Cartoon and animation",14.2,,13.7
"İletişim bilimleri
Communication sciences",14.7,,13.8
"Biyomedikal mühendisliği
Biomedical engineering",14.6,,13.8
"Peyzaj mimarlığı
Landscape architecture",14.6,,13.8
"Çevre mühendisliği
Environmental engineering",14.1,,14.0
"Kore dili ve edebiyatı
Korean language and literature",.,,14.0
"Müzik
Music",14.9,,14.0
"Coğrafya öğretmenliği
Geography teaching",13.9,,14.1
"İletişim ve tasarımı
Communication and design",15.5,,14.1
"Havacılık yönetimi
Aviation management",15.4,,14.1
"Bilgisayar ve öğretim teknolojileri öğretmenliği
Computer education and instructional technology",14.2,,14.1
"Metal öğretmenliği
Metal teaching",14.4,,14.2
"Otomotiv öğretmenliği
Automotive teaching",14.2,,14.2
"Enerji sistemleri mühendisliği
Energy systems engineering",14.8,,14.2
"İslami ilimler
Islamic sciences",15.6,,14.4
"Türk dili ve edebiyatı öğretmenliği
Turkish language and literature teaching",14.4,,14.4
"Malzeme bilimi ve mühendisliği
Materials science and engineering",14.9,,14.5
"Şehir ve bölge planlama
Urban and regional planning",15.0,,14.5
"Rekreasyon
Recreation",15.1,,14.5
"Jeoloji mühendisliği
Geological engineering",14.7,,14.5
"Uluslararası finans ve bankacılık
International finance and banking",15.3,,14.6
"Biyoloji öğretmenliği
Biology teaching",15.1,,14.6
"Spor yöneticiliği
Sports management",15.6,,14.7
"Grafik sanatlar
Graphic arts",15.4,,14.7
"Sağlık yönetimi
Health administration",15.7,,14.7
"Radyo, televizyon ve sinema
Radio, television and cinema",15.7,,14.8
"Televizyon haberciliği ve programcılığı
Television reporting and programming",15.2,,14.9
"Psikoloji
Psychology",15.5,,14.9
"Sanat ve kültür yönetimi
Art and culture management",16.0,,15.0
"Gazetecilik
Journalism",15.8,,15.0
"Biyoteknoloji
Biotechnology",.,,15.0
"Halkla ilişkiler ve tanıtım
Public relations and promotion",15.9,,15.1
"Türkçe öğretmenliği
Turkish language teaching",15.1,,15.1
"Fizik mühendisliği
Physics engineering",15.7,,15.2
"Bilgisayar sistemleri öğretmenliği
Computer systems teaching",14.9,,15.2
"Protohistorya ve ön asya arkeolojisi
Protohistory and asia minor archaeology",15.8,,15.4
"Finans ve bankacılık
Finance and banking",16.7,,15.4
"Biyomühendislik
Bioengineering",16.6,,15.4
"Fen bilgisi öğretmenliği
Science teaching",15.4,,15.4
"Yapı öğretmenliği
Construction teaching",14.6,,15.5
"Elektrik öğretmenliği
Electrical teaching",15.4,,15.5
"Felsefe grubu öğretmenliği
Philosophy group teaching",15.3,,15.5
"Seramik ve cam
Ceramic and glass",16.7,,15.6
"Arkeoloji
Archaeology",16.2,,15.7
"Müzikoloji
Musicology",16.5,,15.8
"Fizik
Physics",16.3,,15.8
"Orman endüstrisi mühendisliği
Forest industry engineering",15.9,,15.8
"Zootekni
Zootechnics",16.5,,15.9
"Opera
Opera",.,,15.9
"Fars dili ve edebiyatı
Persian language and literature",16.7,,15.9
"Bilgi ve belge yönetimi
Information and records management",16.3,,16.0
"Felsefe
Philosophy",16.4,,16.0
"Jeofizik mühendisliği
Geophysics engineering",16.3,,16.1
"Elektronik öğretmenliği
Electronics teaching",16.4,,16.2
