"Lisans mezunlarının bölümlere göre aylık ortalama kazanç grupları, 2022-2023",,,
"Monthly average earning groups of bachelor's degree graduates by programmes, 2022-2023",,,
,(Kazanç grubu - Earning group),,
"Bölüm
Programme",2022 (r),,2023
"Pilotaj
Flight training",.,,"Çok yüksek
Very high"
"Matematik mühendisliği
Mathematical engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Uçak mühendisliği
Aircraft engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Kontrol ve otomasyon mühendisliği
Control and automation engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Gemi makineleri işletme mühendisliği
Marine engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Havacılık ve uzay mühendisliği
Aerospace engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Havacılık elektrik ve elektroniği
Avionics","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Uçak bakım ve onarım
Aircraft maintenance and repair","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Gemi inşaatı ve gemi makineleri mühendisliği
Naval architecture and marine engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Elektronik ve haberleşme mühendisliği
Electronics and communication engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Elektronik mühendisliği
Electronics engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Deniz ulaştırma işletme mühendisliği
Maritime transportation, management engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"İşletme mühendisliği
Management engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Bilgisayar mühendisliği
Computer engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Petrol ve doğalgaz mühendisliği
Petroleum and natural gas engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Yazılım mühendisliği
Software engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Elektrik mühendisliği
Electrical engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Bilişim sistemleri mühendisliği
Information systems engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Bilişim sistemleri ve teknolojileri
Information systems and technologies","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Endüstri mühendisliği
Industrial engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Fizik mühendisliği
Physics engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Ekonomi
Economics","Çok yüksek
Very high",,"Çok yüksek
Very high"
