Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
Bahçeşehir Üniversitesi - İstanbul,Tıp Fakültesi,5268519 TL,2020
Bahçeşehir Üniversitesi - İstanbul,"Mühendislik ve Doğa Bilimleri Fakültesi, Mimarlık ve Tasarım
Fakültesi, Hukuk Fakültesi",3601852 TL,2020
Bahçeşehir Üniversitesi - İstanbul,Tüm Programlar,3314815 TL,2020
Bahçeşehir Üniversitesi - İstanbul,Hazırlık Sınıfı,3314815 TL,2020
Bahçeşehir Üniversitesi - İstanbul,Ön Lisans Programları,1787037 TL,2020
ADA KENT ÜNİVERSİTESİ - KIBRIS,Diş Hekimliği Fakültesi,6500000 TL,2020
ADA KENT ÜNİVERSİTESİ - KIBRIS,Hukuk Fakültesi,4000000 TL,2020
ADA KENT ÜNİVERSİTESİ - KIBRIS,"Eğitim Fakültesi'nin, İngilizce Öğretmenliği",2500000 TL,2020
ADA KENT ÜNİVERSİTESİ - KIBRIS,İngilizce Hazırlık Okulu,2000000 TL,2020
ADA KENT ÜNİVERSİTESİ - KIBRIS,"Belirtilen öğrenim ücretlerine ilaveten %5 KDV, 1200 TL kayıt ve öğrenci etkinlik ücreti alınacaktır.",,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Tıp Fakültesi'nde (Hazırlık sınıfı dahil),12880000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,"Mühendislik Fakültesi'nde Tıp Mühendisliği Bölümü (Hazırlık sınıfı
dahil)",6072000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,"Sağlık Bilimleri Fakültesi?nde; Fizyoterapi ve Rehabilitasyon
Bölümü",5474000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Hemşirelik ve Sağlık Yönetimi Bölümü,4232000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Beslenme ve Diyetetik Bölümü,5474000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Beslenme ve Diyetetik (İngilizce) Bölümü,5750000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Hemşirelik (İngilizce) Bölümü,4508000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Fen Edebiyat Fakültesi'nde; Moleküler Biyoloji ve Genetik Bölümü (Hazırlık sınıfı dahil),5474000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Psikoloji Bölümü,5474000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Psikoloji (İngilizce) Bölümü,5290000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Sosyoloji Bölümü,4048000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,Eczacılık Fakültesi (Hazırlık sınıfı dahil),7268000 TL,2020
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL,İsteğe Bağlı İngilizce Hazırlık Sınıfı; lisans programları için,1840000 TL,2020
15 KASIM KIBRIS ÜNİVERSİTESİ - KIBRIS,İngilizce Hazırlık Programı,2600000 TL,2020
15 KASIM KIBRIS ÜNİVERSİTESİ - KIBRIS,Siyasal ve Sosyal Bilimler Fakültesi,2800000 TL,2020
15 KASIM KIBRIS ÜNİVERSİTESİ - KIBRIS,İletişim Fakültesi,3000000 TL,2020
15 KASIM KIBRIS ÜNİVERSİTESİ - KIBRIS,ödemelerden %5 KDV alınmaktadır. ,,2020
ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL,Hukuk Fakültesi,5290000 TL,2020
ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL,İşletme Fakültesi,4650600 TL,2020
ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL,Eczacılık Fakültesi,5290000 TL,2020
ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",4650600 TL,2020
ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL,Mühendislik ve Doğa Bilimleri Fakültesi,4650600 TL,2020
ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL,Güzel Sanatlar ve Tasarım Fakültesi,4650600 TL,2020
ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL,Uygulamalı Bilimler Fakültesi'ne Bağlı Lisans Programları,4650600 TL,2020
ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL,Tıp Fakültesi,8045400 TL,2020
ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL,Diş Hekimliği Fakültesi,7470400 TL,2020
ANKARA BİLİM ÜNİVERSİTESİ - ANKARA,Mühendislik ve Mimarlık Fakültesi,3680000 TL,2020
ANKARA BİLİM ÜNİVERSİTESİ - ANKARA,Güzel Sanatlar ve Tasarım Fakültesi,3496000 TL,2020
ANKARA BİLİM ÜNİVERSİTESİ - ANKARA,İnsan ve Toplum Bilimleri Fakültesi,3496000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Tıp Fakültesi için Türkçe ve İngilizce Programı,8600000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,"Diş Hekimliği Fakültesi Türkçe ve İngilizce Programı için 86.000 TL,",8600000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Eczacılık Fakültesi için Türkçe ve İngilizce Programı,7800000 TL,2020
ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA,Hukuk Fakültesi için zorunlu hazırlık sınıfı dahil,5650000 TL,2020
