Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
Acıbadem Üni.,Eczacılık Fakültesi (İngilizce) (Ücretli),93.000,2021
Acıbadem Üni.,Eczacılık Fakültesi (İngilizce) (%25 İndirimli),69.750,2021
Acıbadem Üni.,Fizyoterapi ve Rehabilitasyon Bölümü (%25 İndirimli),52.500,2021
Acıbadem Üni.,Hemşirelik Bölümü (%50 İndirimli),32.000,2021
Acıbadem Üni.,Hemşirelik Bölümü (İngilizce) (%50 İndirimli),33.500,2021
Acıbadem Üni.,Sağlık Yönetimi (%50 İndirimli),27.500,2021
Acıbadem Üni.,Beslenme ve Diyetetik (%25 İndirimli),52.500,2021
Acıbadem Üni.,Beslenme ve Diyetetik (Ücretli),70.000,2021
Acıbadem Üni.,Beslenme ve Diyetetik (İngilizce) (%25 İndirimli),52.500,2021
Acıbadem Üni.,Beslenme ve Diyetetik (İngilizce) (Ücretli),70.000,2021
Acıbadem Üni.,Moleküler Biyoloji ve Genetik (İngilizce) (%25 İndirimli),52.500,2021
Acıbadem Üni.,Psikoloji (%25 İndirimli),52.500,2021
Acıbadem Üni.,Psikoloji (Ücretli),70.000,2021
Acıbadem Üni.,Psikoloji (İngilizce) (%25 İndirimli),52.500,2021
Acıbadem Üni.,Psikoloji (İngilizce)(Ücretli),70.000,2021
Acıbadem Üni.,Sosyoloji (%50 İndirimli),25.000,2021
Acıbadem Üni.,Tıp Mühendisliği (İngilizce) (%50 İndirimli),37.500,2021
Acıbadem Üni.,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),40.000,2021
Ankara Medipol Üni.,Tıp Fakültesi (Türkçe),106.810,2021
Ankara Medipol Üni.,Tıp Fakültesi (İngilizce),106.810,2021
Ankara Medipol Üni.,Diş Hekimliği (Türkçe),106.810,2021
Ankara Medipol Üni.,Diş Hekimliği (İngilizce),106.810,2021
Ankara Medipol Üni.,Eczacılık (Türkçe),96.660,2021
Ankara Medipol Üni.,Eczacılık (İngilizce),96.660,2021
Ankara Medipol Üni.,Fizyoterapi ve Rehabilitasyon,52.380,2021
Ankara Medipol Üni.,Beslenme ve Diyetetik,50.760,2021
Ankara Medipol Üni.,Hemşirelik,42.120,2021
Ankara Medipol Üni.,Ebelik,38.880,2021
Ankara Medipol Üni.,Psikoloji (Türkçe),42.120,2021
Ankara Medipol Üni.,Psikoloji (İngilizce),42.120,2021
Ankara Medipol Üni.,Uluslararası Ticaret ve Finansman (Türkçe),38.880,2021
Ankara Medipol Üni.,Uluslararası Ticaret ve Finansman (İngilizce),38.880,2021
Ankara Medipol Üni.,Yönetim Bilişim Sistemleri,38.880,2021
Ankara Medipol Üni.,Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce),38.880,2021
Ankara Medipol Üni.,Gastronomi ve Mutfak Sanatları,52.165,2021
Ankara Medipol Üni.,İç Mimarlık ve Çevre Tasarımı,52.165,2021
Antalya Akev Üni.,Sosyoloji,40.000,2021
Antalya Akev Üni.,Psikoloji,50.000,2021
Antalya Akev Üni.,Yazılım Mühendisliği,45.000,2021
Antalya Akev Üni.,Gastronomi ve Mutfak Sanatları,47.500,2021
Antalya Akev Üni.,İç Mimarlık ve Çevre Tasarımı,50.000,2021
Antalya Akev Üni.,Radyo Televizyon ve Sinema,42.500,2021
Antalya Akev Üni.,Uluslararası Ticaret ve İşletmecilik,42.500,2021
Antalya Akev Üni.,Yönetim Bilişim Sistemleri,42.500,2021
Antalya Bilim Üni.,Pilotaj (%25 Burslu),47.550,2021
Antalya Bilim Üni.,Psikoloji (%25 Burslu),43.125,2021
Antalya Bilim Üni.,Hemşirelik (%50 Burslu),34.500,2021
Antalya Bilim Üni.,Beslenme ve Diyetetik (%50 Burslu),26.500,2021
Antalya Bilim Üni.,Ebelik (%50 Burslu),26.500,2021
Antalya Bilim Üni.,Gastronomi ve Mutfak Sanatları (%50 Burslu),27.000,2021
Antalya Bilim Üni.,Diş Hekimliği Fakültesi,94.000,2021
Antalya Bilim Üni.,Turizm İşletmeciliği (%50 Burslu),25.250,2021
Antalya Bilim Üni.,Siyaset Bilimi ve Uluslararası İlişkiler (%50 Burslu),25.250,2021
Antalya Bilim Üni.,İşletme (%50 Burslu),25.250,2021
Antalya Bilim Üni.,Ekonomi (%50 Burslu),25.250,2021
Antalya Bilim Üni.,Mühendislik Fakültesi (%50 Burslu),26.000,2021
Atılım Üni.,Tıp Fakültesi,88.830,2021
Atılım Üni.,Diğer Tüm Fakülteler,60.910,2021
Avrasya Üni.,Moleküler Biyoloji ve Genetik (İngilizce),40.000,2021
Avrasya Üni.,Psikoloji,40.000,2021
Avrasya Üni.,İç Mimarlık ve Çevre Tasarımı,40.000,2021
Avrasya Üni.,Hemşirelik,40.000,2021
Avrasya Üni.,Ebelik,40.000,2021
Avrasya Üni.,Mimarlık,35.000,2021
Avrasya Üni.,İnşaat Mühendisliği,35.000,2021
Avrasya Üni.,Beslenme ve Diyetetik,35.000,2021
Avrasya Üni.,Fizyoterapi ve Rehabilitasyon,35.000,2021
Avrasya Üni.,Gastronomi ve Mutfak Sanatları,35.000,2021
Avrasya Üni.,İngiliz Dili ve Edebiyatı,33.000,2021
Avrasya Üni.,Türk Dili ve Edebiyatı,30.000,2021
Avrasya Üni.,Bilgisayar Mühendisliği,30.000,2021
Avrasya Üni.,Elektrik-Elektronik Mühendisliği,30.000,2021
Avrasya Üni.,Gıda Mühendisliği,30.000,2021
Avrasya Üni.,Makine Mühendisliği,30.000,2021
Avrasya Üni.,Harita Mühendisliği,30.000,2021
Avrasya Üni.,Sağlık Yönetimi,25.000,2021
Avrasya Üni.,Uluslararası İlişkiler,25.000,2021
Avrasya Üni.,Siyaset Bilimi ve Kamu Yönetimi,25.000,2021
Avrasya Üni.,İşletme,25.000,2021
Bahçeşehir Üni.,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",81.200,2021
Bahçeşehir Üni.,İletişim Fakültesi,79.900,2021
Bahçeşehir Üni.,Mühendislik ve Doğa Bilimleri Fakültesi,84.500,2021
Bahçeşehir Üni.,Hukuk Fakültesi,88.500,2021
Bahçeşehir Üni.,Mimarlık ve Tasarım Fakültesi,84.500,2021
Bahçeşehir Üni.,Eğitim Bilimleri Fakültesi,78.500,2021
Bahçeşehir Üni.,Sağlık Bilimleri Fakültesi,78.500,2021
Bahçeşehir Üni.,Tıp Fakültesi,136.500,2021
Bahçeşehir Üni.,Diş Hekimliği Fakültesi,125.000,2021
Bahçeşehir Üni.,Konservatuar,85.500,2021
Bahçeşehir Üni.,Sağlık Hizmetleri Meslek Yüksekokulu,45.500,2021
Bahçeşehir Üni.,Uygulamalı Bilimler Yüksekokulu,79.900,2021
Bahçeşehir Üni.,Yabancı Diller Yüksekokulu (Lisans İngilizce hazırlık programı için),78.500,2021
Bahçeşehir Üni.,Yabancı Diller Yüksekokulu (Ön lisans İngilizce hazırlık programı için),45.500,2021
Başkent Üni.,Tıp Fakültesi,85.100,2021
Başkent Üni.,Diş Hekimliği Fakültesi,85.100,2021
Başkent Üni.,Eczacılık Fakültesi,73.600,2021
Başkent Üni.,Mühendislik Fakültesi,59.800,2021
Başkent Üni.,Hukuk Fakültesi,59.800,2021
Başkent Üni.,Mimarlık Bölümü,59.800,2021
Başkent Üni.,Devlet Konservatuvarı,50.600,2021
Başkent Üni.,Eğitim Fakültesi,55.200,2021
Başkent Üni.,Fen Edebiyat Fakültesi,55.200,2021
Başkent Üni.,İktisadi ve İdari Bilimler Fakültesi,55.200,2021
Başkent Üni.,İletişim Fakültesi,55.200,2021
Başkent Üni.,Sağlık Bilimleri Fakültesi,55.200,2021
Başkent Üni.,Ticari Bilimler Fakültesi,55.200,2021
Başkent Üni.,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,55.200,2021
Başkent Üni.,İngilizce Hazırlık Programı,46.000,2021
Başkent Üni.,Önlisans Programları,32.200,2021
Beykent Üni.,Diş Hekimliği Fakültesi,104.102,2021
Beykent Üni.,Diş Hekimliği Fakültesi (%25 İndirimli),78.077,2021
Beykent Üni.,Fen-Edebiyat Fakültesi (Psikoloji) (%25 İndirimli),35.490,2021
Beykent Üni.,Fen-Edebiyat Fakültesi (Diğer Bölümler),40.063,2021
Beykent Üni.,Fen-Edebiyat Fakültesi (Diğer Bölümler) (%25 İndirimli),30.047,2021
Beykent Üni.,Fen-Edebiyat Fakültesi (Diğer Bölümler) (%50 İndirimli),20.032,2021
Beykent Üni.,Güzel Sanatlar Fakültesi,40.063,2021
Beykent Üni.,Güzel Sanatlar Fakültesi (%25 İndirimli),30.047,2021
Beykent Üni.,Güzel Sanatlar Fakültesi (%50 İndirimli),20.032,2021
Beykent Üni.,Hukuk Fakültesi,53.628,2021
Beykent Üni.,Hukuk Fakültesi (%25 İndirimli),40.221,2021
Beykent Üni.,İktisadi ve İdari Bilimler Fakültesi,40.063,2021
Beykent Üni.,İktisadi ve İdari Bilimler Fakültesi (%50 İndirimli),20.032,2021
Beykent Üni.,İletişim Fakültesi,40.063,2021
Beykent Üni.,İletişim Fakültesi (%50 İndirimli),20.032,2021
Beykent Üni.,Mühendislik-Mimarlık Fakültesi,40.063,2021
Beykent Üni.,Mühendislik-Mimarlık Fakültesi (%25 İndirimli),30.047,2021
Beykent Üni.,Mühendislik-Mimarlık Fakültesi (%50 İndirimli),20.032,2021
Beykent Üni.,Sağlık Bilimleri Fakültesi,40.063,2021
Beykent Üni.,Sağlık Bilimleri Fakültesi (%25 İndirimli),30.047,2021
Beykent Üni.,Sağlık Bilimleri Fakültesi (%50 İndirimli),20.032,2021
Beykent Üni.,Tıp Fakültesi,104.102,2021
Beykent Üni.,Tıp Fakültesi (%25 İndirimli),78.077,2021
Bezmialem Vakıf Üni.,Tıp Fakültesi,62.500,2021
Bezmialem Vakıf Üni.,Hazırlık,33.500,2021
Bezmialem Vakıf Üni.,Sağlık Yönetimi Bölümü,21.000,2021
Bezmialem Vakıf Üni.,Ergoterapi Bölümü,26.500,2021
Bezmialem Vakıf Üni.,Diş Hekimliği Fakültesi,90.000,2021
Bezmialem Vakıf Üni.,Eczacılık Fakültesi,67.500,2021
Bezmialem Vakıf Üni.,Beslenme ve Diyetetik Bölümü,45.000,2021
Bezmialem Vakıf Üni.,Fizyoterapi ve Rehabilitasyon Bölümü,45.000,2021
Bezmialem Vakıf Üni.,Hemşirelik Bölümü,37.500,2021
Bezmialem Vakıf Üni.,Odyoloji Bölümü,45.000,2021
Bilgi Üni.,İngilizce Hazırlık Programı,39.750,2021
Bilgi Üni.,Hukuk Fakültesi,49.750,2021
Bilgi Üni.,İletişim Fakültesi,39.750,2021
Bilgi Üni.,İşletme Fakültesi,39.750,2021
Bilgi Üni.,Mimarlık Fakültesi (Endüstri Ürünleri Tasarımı),39.750,2021
Bilgi Üni.,Mimarlık Fakültesi (İç Mimarlık),39.750,2021
Bilgi Üni.,Mimarlık Fakültesi (Mimarlık),44.750,2021
Bilgi Üni.,Mühendislik ve Doğa Bilimleri Fakültesi,42.750,2021
Bilgi Üni.,Sağlık Bilimleri Fakültesi,34.150,2021
Bilgi Üni.,Sosyal ve Beşeri Bilimler Fakültesi,39.750,2021
Bilgi Üni.,Sosyal ve Beşeri Bilimler Fakültesi (Psikoloji),44.750,2021
Bilgi Üni.,Sivil Havacılık Yüksekokulu,30.250,2021
Bilgi Üni.,Spor Bilimleri ve Teknolojisi Yüksekokulu,30.250,2021
Bilgi Üni.,Turizm ve Otelcilik (Gastronomi ve Mutfak Sanatları),32.750,2021
Bilgi Üni.,Turizm ve Otelcilik Yüksekokulu (Turizm İşletmeciliği),30.250,2021
Bilgi Üni.,Uygulamalı Bilimler Yüksekokulu,30.250,2021
Bilgi Üni.,Adalet Meslek Yüksekokulu,28.900,2021
Bilgi Üni.,"Dış Ticaret, Halkla İlişkiler ve Tanıtım",28.900,2021
Bilgi Üni.,"Aşçılık, Bilgisayar Programcılığı, Bilişim Güvenliği Tekno.,",17.900,2021
Bilgi Üni.,"E-Ticaret ve Pazarlama, Sivil Havacılık Kabin Hiz.",17.900,2021
Bilgi Üni.,"Grafik Tasarım, İç Mekan Tasarımı, İnşaat Teknolojisi, Mimari Restorasyon, Moda Tasarımı,",16.400,2021
Bilgi Üni.,"Bankacılık ve Sigortacılık, Muhasebe ve Vergi Uygulamaları, Sivil Hava Ulaştırma İşletmeciliği",16.400,2021
Bilgi Üni.,"Anestezi, Fizyoterapi, İlk ve Acil Yardım",28.900,2021
Bilgi Üni.,"Ağız ve Diş Sağlığı, Ameliyathane Hizmetleri, Tıbbi Görüntüleme Teknikleri",17.400,2021
Bilgi Üni.,"Çocuk Gelişimi, Diş Protez Teknolojisi, Diyaliz, Elektronörofizyoloji, İş Sağlığı ve Güvenliği,",16.400,2021
Bilgi Üni.,"Odyometri, Optisyenlik, Patoloji Laboratuvar Teknikleri",16.400,2021
Bilgi Üni.,İngilizce Hazırlık Programı,79.500,2021
Bilgi Üni.,Sosyal ve Beşeri Bilimler Fakültesi (Psikoloji),89.500,2021
Bilgi Üni.,Turizm ve Otelcilik (Gastronomi ve Mutfak Sanatları),65.500,2021
Bilkent Üni.,Tüm Bölümler,57.500,2021
Biruni Üni.,Tıp Fakültesi (%25 İndirimli),81.225,2021
Biruni Üni.,Diş Hekimliği Fakültesi (%25 İndirimli),80.156,2021
Biruni Üni.,Eczacılık Fakültesi (%25 İndirimli),55.575,2021
Biruni Üni.,İngilizce Hazırlık Programı (%25 İndirimli),22.800,2021
Biruni Üni.,İlköğretim Matematik Öğretmenliği (%50 İndirimli),28.500,2021
Biruni Üni.,Okul Öncesi Öğretmenliği (%50 İndirimli),28.500,2021
Biruni Üni.,İngilizce Öğretmenliği (%50 İndirimli),29.450,2021
Biruni Üni.,Rehberlik ve Psikolojik Danışmanlık (%50 İndirimli),26.125,2021
Biruni Üni.,Bilgisayar Mühendisliği (%50 İndirimli),25.650,2021
Biruni Üni.,İç Mimarlık ve Çevre Tasarımı (%50 İndirimli),29.000,2021
Biruni Üni.,Beslenme ve Diyetetik (%50 İndirimli),28.500,2021
Biruni Üni.,Hemşirelik (%50 İndirimli),28.500,2021
Biruni Üni.,Biyomedikal Mühendisliği (İngilizce) (%50 İndirimli),16.150,2021
Biruni Üni.,Çocuk Gelişimi (%50 İndirimli),17.100,2021
Biruni Üni.,Dil ve Konuşma Terapisi (%50 İndirimli),33.250,2021
Biruni Üni.,Ebelik (%50 İndirimli),22.800,2021
Çankaya Üni.,Tüm Bölümler,59.940,2021
Doğuş Üni.,Mühendislik Fakültesi,43.832,2021
Doğuş Üni.,Hukuk Fakültesi,49.810,2021
Doğuş Üni.,Fen-Edebiyat Fakültesi (Psikoloji Bölümü Hariç),43.832,2021
Doğuş Üni.,İktisadi ve İdari Bilimler Fakültesi,43.832,2021
Doğuş Üni.,Psikoloji Bölümü (Türkçe & İngilizce),46.489,2021
Doğuş Üni.,Sanat ve Tasarım Fakültesi,43.832,2021
Doğuş Üni.,Sağlık Bilimleri Yüksekokulu,40.000,2021
Doğuş Üni.,İngilizce Lisans Programlarda İngilizce Hazırlık Sınıfı,43.832,2021
FMV Işık Üni.,"Sanat, Tasarım ve Mimarlık Fakültesi",71.388,2021
FMV Işık Üni.,Mühendislik ve Doğa Bilimleri Fakültesi,71.388,2021
FMV Işık Üni.,Psikoloji (Türkçe & İngilizce),71.388,2021
FMV Işık Üni.,Yönetim Bilişim Sistemleri (Türkçe & İngilizce),71.388,2021
FMV Işık Üni.,İktisat (İngilizce),69.120,2021
FMV Işık Üni.,İşletme (İngilizce),69.120,2021
FMV Işık Üni.,Uluslararası İlişkiler (İngilizce),69.120,2021
FMV Işık Üni.,Uluslararası Ticaret ve Finansman (İngilizce),69.120,2021
FMV Işık Üni.,Lojistik Yönetimi (İngilizce),69.120,2021
FMV Işık Üni.,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),69.120,2021
Haliç Üni.,Tıp Fakültesi,105.840,2021
Haliç Üni.,Tıp Fakültesi (İngilizce),118.800,2021
Haliç Üni.,Psikoloji,51.840,2021
Haliç Üni.,Psikoloji (İngilizce),57.240,2021
Haliç Üni.,Matematik,47.520,2021
Haliç Üni.,Türk Dili ve Edebiyatı,41.040,2021
Haliç Üni.,İşletme,32.400,2021
Haliç Üni.,İşletme (İngilizce),32.400,2021
Haliç Üni.,Uluslararası Ticaret ve İşletmecilik (İngilizce),34.560,2021
Haliç Üni.,Yönetim Bilişim Sistemleri (İngilizce),43.200,2021
Haliç Üni.,Siyaset Bilimi ve Uluslararası İlişkiler,34.560,2021
Haliç Üni.,Bilgisayar Mühendisliği (İngilizce),49.680,2021
Haliç Üni.,Elektrik-Elektronik Mühendisliği (İngilizce),36.720,2021
Haliç Üni.,Endüstri Mühendisliği (İngilizce),36.720,2021
Haliç Üni.,Makine Mühendisliği (İngilizce),34.560,2021
Haliç Üni.,Yazılım Mühendisliği (İngilizce),49.680,2021
Haliç Üni.,Mimarlık,48.600,2021
Haliç Üni.,İç Mimarlık,56.160,2021
Haliç Üni.,Endüstriyel Tasarım,41.040,2021
Haliç Üni.,Grafik Tasarım,45.360,2021
Haliç Üni.,Gastronomi ve Mutfak Sanatları,48.600,2021
Haliç Üni.,Beslenme ve Diyetetik,61.020,2021
Haliç Üni.,Beslenme ve Diyetetik (İngilizce),61.020,2021
