akademik_yil,bolum_fakulte,burs_orani,ucret,universite
2021,Eczacılık Fakültesi (İngilizce),Ücretli,93.000,Acıbadem Üni.
2021,Eczacılık Fakültesi (İngilizce),%25 İndirimli,69.750,Acıbadem Üni.
2021,Fizyoterapi ve Rehabilitasyon Bölümü,%25 İndirimli,52.500,Acıbadem Üni.
2021,Hemşirelik Bölümü,%50 İndirimli,32.000,Acıbadem Üni.
2021,Hemşirelik Bölümü (İngilizce),%50 İndirimli,33.500,Acıbadem Üni.
2021,Sağlık Yönetimi,%50 İndirimli,27.500,Acıbadem Üni.
2021,Beslenme ve Diyetetik,%25 İndirimli,52.500,Acıbadem Üni.
2021,Beslenme ve Diyetetik,Ücretli,70.000,Acıbadem Üni.
2021,Beslenme ve Diyetetik (İngilizce),%25 İndirimli,52.500,Acıbadem Üni.
2021,Beslenme ve Diyetetik (İngilizce),Ücretli,70.000,Acıbadem Üni.
2021,Moleküler Biyoloji ve Genetik (İngilizce),%25 İndirimli,52.500,Acıbadem Üni.
2021,Psikoloji,%25 İndirimli,52.500,Acıbadem Üni.
2021,Psikoloji,Ücretli,70.000,Acıbadem Üni.
2021,Psikoloji (İngilizce),%25 İndirimli,52.500,Acıbadem Üni.
2021,Psikoloji (İngilizce)(Ücretli),Ücretli,70.000,Acıbadem Üni.
2021,Sosyoloji,%50 İndirimli,25.000,Acıbadem Üni.
2021,Tıp Mühendisliği (İngilizce),%50 İndirimli,37.500,Acıbadem Üni.
2021,Bilgisayar Mühendisliği (İngilizce),%50 İndirimli,40.000,Acıbadem Üni.
2021,Tıp Fakültesi (Türkçe),Ücretli,106.810,Ankara Medipol Üni.
2021,Tıp Fakültesi (İngilizce),Ücretli,106.810,Ankara Medipol Üni.
2021,Diş Hekimliği (Türkçe),Ücretli,106.810,Ankara Medipol Üni.
2021,Diş Hekimliği (İngilizce),Ücretli,106.810,Ankara Medipol Üni.
2021,Eczacılık (Türkçe),Ücretli,96.660,Ankara Medipol Üni.
2021,Eczacılık (İngilizce),Ücretli,96.660,Ankara Medipol Üni.
2021,Fizyoterapi ve Rehabilitasyon,Ücretli,52.380,Ankara Medipol Üni.
2021,Beslenme ve Diyetetik,Ücretli,50.760,Ankara Medipol Üni.
2021,Hemşirelik,Ücretli,42.120,Ankara Medipol Üni.
2021,Ebelik,Ücretli,38.880,Ankara Medipol Üni.
2021,Psikoloji (Türkçe),Ücretli,42.120,Ankara Medipol Üni.
2021,Psikoloji (İngilizce),Ücretli,42.120,Ankara Medipol Üni.
2021,Uluslararası Ticaret ve Finansman (Türkçe),Ücretli,38.880,Ankara Medipol Üni.
2021,Uluslararası Ticaret ve Finansman (İngilizce),Ücretli,38.880,Ankara Medipol Üni.
2021,Yönetim Bilişim Sistemleri,Ücretli,38.880,Ankara Medipol Üni.
2021,Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce),Ücretli,38.880,Ankara Medipol Üni.
2021,Gastronomi ve Mutfak Sanatları,Ücretli,52.165,Ankara Medipol Üni.
2021,İç Mimarlık ve Çevre Tasarımı,Ücretli,52.165,Ankara Medipol Üni.
2021,Sosyoloji,Ücretli,40.000,Antalya Akev Üni.
2021,Psikoloji,Ücretli,50.000,Antalya Akev Üni.
2021,Yazılım Mühendisliği,Ücretli,45.000,Antalya Akev Üni.
2021,Gastronomi ve Mutfak Sanatları,Ücretli,47.500,Antalya Akev Üni.
2021,İç Mimarlık ve Çevre Tasarımı,Ücretli,50.000,Antalya Akev Üni.
2021,Radyo Televizyon ve Sinema,Ücretli,42.500,Antalya Akev Üni.
2021,Uluslararası Ticaret ve İşletmecilik,Ücretli,42.500,Antalya Akev Üni.
2021,Yönetim Bilişim Sistemleri,Ücretli,42.500,Antalya Akev Üni.
2021,Pilotaj (%25 Burslu),Ücretli,47.550,Antalya Bilim Üni.
2021,Psikoloji (%25 Burslu),Ücretli,43.125,Antalya Bilim Üni.
2021,Hemşirelik (%50 Burslu),Ücretli,34.500,Antalya Bilim Üni.
2021,Beslenme ve Diyetetik (%50 Burslu),Ücretli,26.500,Antalya Bilim Üni.
2021,Ebelik (%50 Burslu),Ücretli,26.500,Antalya Bilim Üni.
2021,Gastronomi ve Mutfak Sanatları (%50 Burslu),Ücretli,27.000,Antalya Bilim Üni.
2021,Diş Hekimliği Fakültesi,Ücretli,94.000,Antalya Bilim Üni.
2021,Turizm İşletmeciliği (%50 Burslu),Ücretli,25.250,Antalya Bilim Üni.
2021,Siyaset Bilimi ve Uluslararası İlişkiler (%50 Burslu),Ücretli,25.250,Antalya Bilim Üni.
2021,İşletme (%50 Burslu),Ücretli,25.250,Antalya Bilim Üni.
2021,Ekonomi (%50 Burslu),Ücretli,25.250,Antalya Bilim Üni.
2021,Mühendislik Fakültesi (%50 Burslu),Ücretli,26.000,Antalya Bilim Üni.
2021,Tıp Fakültesi,Ücretli,88.830,Atılım Üni.
2021,Diğer Tüm Fakülteler,Ücretli,60.910,Atılım Üni.
2021,Moleküler Biyoloji ve Genetik (İngilizce),Ücretli,40.000,Avrasya Üni.
2021,Psikoloji,Ücretli,40.000,Avrasya Üni.
2021,İç Mimarlık ve Çevre Tasarımı,Ücretli,40.000,Avrasya Üni.
2021,Hemşirelik,Ücretli,40.000,Avrasya Üni.
2021,Ebelik,Ücretli,40.000,Avrasya Üni.
2021,Mimarlık,Ücretli,35.000,Avrasya Üni.
2021,İnşaat Mühendisliği,Ücretli,35.000,Avrasya Üni.
2021,Beslenme ve Diyetetik,Ücretli,35.000,Avrasya Üni.
2021,Fizyoterapi ve Rehabilitasyon,Ücretli,35.000,Avrasya Üni.
2021,Gastronomi ve Mutfak Sanatları,Ücretli,35.000,Avrasya Üni.
2021,İngiliz Dili ve Edebiyatı,Ücretli,33.000,Avrasya Üni.
2021,Türk Dili ve Edebiyatı,Ücretli,30.000,Avrasya Üni.
2021,Bilgisayar Mühendisliği,Ücretli,30.000,Avrasya Üni.
2021,Elektrik-Elektronik Mühendisliği,Ücretli,30.000,Avrasya Üni.
2021,Gıda Mühendisliği,Ücretli,30.000,Avrasya Üni.
2021,Makine Mühendisliği,Ücretli,30.000,Avrasya Üni.
2021,Harita Mühendisliği,Ücretli,30.000,Avrasya Üni.
2021,Sağlık Yönetimi,Ücretli,25.000,Avrasya Üni.
2021,Uluslararası İlişkiler,Ücretli,25.000,Avrasya Üni.
2021,Siyaset Bilimi ve Kamu Yönetimi,Ücretli,25.000,Avrasya Üni.
2021,İşletme,Ücretli,25.000,Avrasya Üni.
2021,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",Ücretli,81.200,Bahçeşehir Üni.
2021,İletişim Fakültesi,Ücretli,79.900,Bahçeşehir Üni.
2021,Mühendislik ve Doğa Bilimleri Fakültesi,Ücretli,84.500,Bahçeşehir Üni.
2021,Hukuk Fakültesi,Ücretli,88.500,Bahçeşehir Üni.
