academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2023,KOÇ ÜNİVERSİTESİ,İnsani Bilimler ve Edebiyat Fakültesi,Tarih,203910187,SÖZ,English,100,2,2.0,,,,İSTANBUL,Marmara,1,2,1,39,27,39.581,55.588,,,"%66,7","%33,3",295.0,,"%34,2","%61,0","%79,3","5,3",,"1,0","%100,0","%100,0","%100,0",,8,2.0,10.0,10.0,32.0
2022,KOÇ ÜNİVERSİTESİ,İnsani Bilimler ve Edebiyat Fakültesi,Tarih,203910187,SÖZ,English,100,4,4.0,,,,İSTANBUL,Marmara,1,3,1,169,26,40.566,64.002,,,"%75,0","%100,0",256.0,,"%43,4","%67,2",220,"4,0",,"1,0","%100,0","%100,0","%100,0",,9,10.0,19.0,9.0,41.0
2021,KOÇ ÜNİVERSİTESİ,İnsani Bilimler ve Edebiyat Fakültesi,Tarih,203910187,SÖZ,English,100,6,6.0,,,,İSTANBUL,Marmara,1,3,1,180,36,27.596,38.484,,,"%50,0","%66,7",276.0,,"%34,1","%69,2","%89,5","3,6",,"1,2","%83,3","%100,0","%100,0",,6,18.0,24.0,12.0,49.0
2023,KOÇ ÜNİVERSİTESİ,İnsani Bilimler ve Edebiyat Fakültesi,Medya ve Görsel Sanatlar,203910724,SÖZ,English,100,10,10.0,,,,İSTANBUL,Marmara,1,7,2,138,50,38.978,118.604,,,"%69,2","%46,2",242.0,,"%37,2","%61,6","%82,2","4,5",,"1,8","%76,9","%84,6","%100,0",,32,67.0,99.0,10.0,104.0
2022,KOÇ ÜNİVERSİTESİ,İnsani Bilimler ve Edebiyat Fakültesi,Medya ve Görsel Sanatlar,203910724,SÖZ,English,100,11,11.0,,,,İSTANBUL,Marmara,1,4,4,259,16,49.171,106.340,,,"%81,8","%54,6",305.0,,"%45,2","%70,5",272,"3,1",,"1,2","%90,9","%100,0","%100,0",,37,46.0,83.0,11.0,165.0
2021,KOÇ ÜNİVERSİTESİ,İnsani Bilimler ve Edebiyat Fakültesi,Medya ve Görsel Sanatlar,203910724,SÖZ,English,100,9,9.0,,,,İSTANBUL,Marmara,1,4,4,342,39,45.358,77.552,,,"%66,7","%33,3",294.0,,"%54,1","%75,9","%91,5","3,0",,"1,0","%100,0","%100,0","%100,0",,28,46.0,74.0,9.0,118.0
2023,KOÇ ÜNİVERSİTESİ,İnsani Bilimler ve Edebiyat Fakültesi,Arkeoloji ve Sanat Tarihi,203910018,SÖZ,English,100,2,2.0,,,,İSTANBUL,Marmara,5,2,1,77,71,45.195,49.900,,,"%100,0","%33,3",211.0,,"%18,0","%48,3","%78,2","6,3",,"4,3",%,"%66,7","%100,0",,9,6.0,15.0,2.0,38.0
2022,KOÇ ÜNİVERSİTESİ,İnsani Bilimler ve Edebiyat Fakültesi,Arkeoloji ve Sanat Tarihi,203910018,SÖZ,English,100,3,3.0,,,,İSTANBUL,Marmara,5,1,2,216,10,51.105,78.175,,,"%100,0","%66,7",245.0,,"%25,3","%54,7",201,"4,3",,"1,7","%33,3","%100,0","%100,0",,10,15.0,25.0,3.0,47.0
2021,KOÇ ÜNİVERSİTESİ,İnsani Bilimler ve Edebiyat Fakültesi,Arkeoloji ve Sanat Tarihi,203910018,SÖZ,English,100,7,7.0,,,,İSTANBUL,Marmara,5,1,2,451,137,73.892,126.546,,,"%57,1","%57,1",285.0,,"%23,2","%56,5","%86,0","5,0",,"2,0","%28,6","%100,0","%100,0",,23,32.0,55.0,7.0,52.0
2023,ÖZYEĞİN ÜNİVERSİTESİ,Mimarlık ve Tasarım Fakültesi,İletişim ve Tasarımı,204890044,SÖZ,English,100,5,5.0,,,,İSTANBUL,Marmara,---,1,5,405,192,97.380,150.836,,,"%66,7","%50,0",139.0,,"%19,4","%61,2","%91,4","4,0",,"1,5","%66,7","%100,0","%100,0",,11,33.0,44.0,8.0,22.0
