universityName,Bölüm/Fakülte,Ücret,burs_oranı,Akademik yıl
ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,Mühendislik,24460.0,0,2019
ANTALYA BİLİM ÜNİVERSİTESİ,Diş Hekimliği,58000.0,0,2019
ANTALYA BİLİM ÜNİVERSİTESİ,Lisans Programları,44000.0,0,2019
ANTALYA BİLİM ÜNİVERSİTESİ,Ön Lisans Programları,30000.0,0,2019
ANTALYA BİLİM ÜNİVERSİTESİ,İngilizce Hazırlık,36000.0,0,2019
ANTALYA BİLİM ÜNİVERSİTESİ,Pilotaj,51000.0,0,2019
AVRASYA ÜNİVERSİTESİ,Lisans Programları,25000.0,0,2019
AVRASYA ÜNİVERSİTESİ,Ön Lisans Programları,14500.0,0,2019
ANTALYA AKEV ÜNİVERSİTESİ,Lisans Programları,40000.0,0,2019
ANTALYA AKEV ÜNİVERSİTESİ,Ön Lisans Programları,20000.0,0,2019
ANKARA MEDİPOL ÜNİVERSİTESİ,Lisans Programları,33250.0,0,2019
ANKARA MEDİPOL ÜNİVERSİTESİ,Ön Lisans Programları,23250.0,0,2019
ALTINBAŞ ÜNİVERSİTESİ,Tıp Fakültesi,87450.0,0,2019
ALTINBAŞ ÜNİVERSİTESİ,Diş Hekimliği,57550.0,0,2019
ALTINBAŞ ÜNİVERSİTESİ,Diğer Lisans Programları,54050.0,0,2019
ALTINBAŞ ÜNİVERSİTESİ,Ön Lisans Programları,23000.0,0,2019
ATILIM ÜNİVERSİTESİ,Tıp Fakültesi,65000.0,0,2019
ATILIM ÜNİVERSİTESİ,Lisans Programları,43600.0,0,2019
ATILIM ÜNİVERSİTESİ,Meslek Yüksekokulu,38400.0,0,2019
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Tıp Fakültesi,120000.0,0,2019
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Lisans Programları,52400.0,0,2019
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Yüksekokul Programları,33800.0,0,2019
BEYKENT ÜNİVERSİTESİ,Tıp Fakültesi ve Diş Hekimliği,90750.0,0,2019
BEYKENT ÜNİVERSİTESİ,Lisans Programları,44000.0,0,2019
BEYKENT ÜNİVERSİTESİ,Ön Lisans Programları,22400.0,0,2019
BEYKENT ÜNİVERSİTESİ,Hazırlık Sınıfı,34925.0,0,2019
BEYKOZ ÜNİVERSİTESİ,Lisans Programları,40000.0,0,2019
BEYKOZ ÜNİVERSİTESİ,Ön Lisans Programları,24000.0,0,2019
BEZMİALEM VAKIF ÜNİVERSİTESİ,Tıp Fakültesi,80000.0,0,2019
BEZMİALEM VAKIF ÜNİVERSİTESİ,Diş Hekimliği Fakültesi,75000.0,0,2019
BEZMİALEM VAKIF ÜNİVERSİTESİ,Lisans Programları,49000.0,0,2019
BEZMİALEM VAKIF ÜNİVERSİTESİ,Ön Lisans Programları,25000.0,0,2019
BEZMİALEM VAKIF ÜNİVERSİTESİ,Hazırlık Sınıfı,48000.0,0,2019
BAHÇEŞEHİR ÜNİVERSİTESİ,Diş Hekimliği ve Tıp Fakültesi,91500.0,0,2019
BAHÇEŞEHİR ÜNİVERSİTESİ,Lisans Programları,58650.0,0,2019
BAHÇEŞEHİR ÜNİVERSİTESİ,Ön Lisans Programları,33000.0,0,2019
BAHÇEŞEHİR ÜNİVERSİTESİ,Hazırlık Sınıfı,57950.0,0,2019
BAŞKENT ÜNİVERSİTESİ,Tıp ve Diş Hekimliği,64000.0,0,2019
BAŞKENT ÜNİVERSİTESİ,Lisans Programları,45000.0,0,2019
BAŞKENT ÜNİVERSİTESİ,Ön Lisans Programları,24000.0,0,2019
BAŞKENT ÜNİVERSİTESİ,Hazırlık Sınıfı,35000.0,0,2019
BİLKENT ÜNİVERSİTESİ,Tüm Programlar,45000.0,0,2019
BİRÜNİ ÜNİVERSİTESİ,Tıp Fakültesi ve Diş Hekimliği,86111.0,0,2019
BİRÜNİ ÜNİVERSİTESİ,Lisans Programları,43426.0,0,2019
BİRÜNİ ÜNİVERSİTESİ,Ön Lisans Programları,27777.5,0,2019
BİRÜNİ ÜNİVERSİTESİ,Hazırlık Sınıfı,50926.0,0,2019
ÇAĞ ÜNİVERSİTESİ,Lisans Programları,14349.0,0,2019
ÇAĞ ÜNİVERSİTESİ,Ön Lisans Programları,7199.5,0,2019
ÇAĞ ÜNİVERSİTESİ,Hazırlık Sınıfı,14349.0,0,2019
ÇANKAYA ÜNİVERSİTESİ,Tüm Programlar,43900.0,0,2019
DEMİROĞLU BİLİM ÜNİVERSİTESİ,Tıp Fakültesi,49541.5,0,2019
