"2020 - 2021 ÖĞRETİM YILINDA VAKIF ÜNİVERSİTELERİNDE UYGULANAN ÜCRETLER VE ÖDEME KOŞULLARI","",""
"ÜNİVERSİTE VE ŞEHRİ","FAKÜLTE YA DA BÖLÜM","YILLIK (2 DÖNEMLİK) ÜCRET (KDV'siz)"
"Bahçeşehir Üniversitesi - İstanbul","Tıp Fakültesi","52.685,19 TL"
"","Mühendislik ve Doğa Bilimleri Fakültesi, Mimarlık ve Tasarım
Fakültesi, Hukuk Fakültesi","36.018,52 TL"
"","Kalan diğer lisans programları için","33.148,15 TL"
"","Hazırlık Sınıfı","33.148,15 TL"
"","Ön Lisans Programları","17.870,37 TL"
"ADA KENT ÜNİVERSİTESİ - KIBRIS","Diş Hekimliği Fakültesi","65.000.00 TL"
"","Hukuk Fakültesi","40.000.00 TL"
"","Eğitim Fakültesi'nin, İngilizce Öğretmenliği","25.000.00 TL"
"","İngilizce Hazırlık Okulu","20.000.00 TL"
"","Belirtilen öğrenim ücretlerine ilaveten %5 KDV, 1200 TL kayıt ve öğrenci etkinlik ücreti alınacaktır.",""
"ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL","Tıp Fakültesi'nde (Hazırlık sınıfı dahil)","128.800.00 TL"
"","Mühendislik Fakültesi'nde Tıp Mühendisliği Bölümü (Hazırlık sınıfı
dahil)","60.720.00 TL"
"","Sağlık Bilimleri Fakültesi?nde; Fizyoterapi ve Rehabilitasyon
Bölümü","54.740.00 TL"
"","Hemşirelik ve Sağlık Yönetimi Bölümü","42.320.00 TL"
"","Beslenme ve Diyetetik Bölümü","54.740.00 TL"
"","Beslenme ve Diyetetik (İngilizce) Bölümü","57.500.00 TL"
"","Hemşirelik (İngilizce) Bölümü","45.080.00 TL"
"","Fen Edebiyat Fakültesi'nde; Moleküler Biyoloji ve Genetik Bölümü (Hazırlık sınıfı dahil)","54.740.00 TL"
"","Psikoloji Bölümü","54.740.00 TL"
"","Psikoloji (İngilizce) Bölümü","52.900.00 TL"
"","Sosyoloji Bölümü","40.480.00 TL"
"","Eczacılık Fakültesi (Hazırlık sınıfı dahil)","72.680.00 TL"
"","İsteğe Bağlı İngilizce Hazırlık Sınıfı; lisans programları için","18.400.00 TL"
"15 KASIM KIBRIS ÜNİVERSİTESİ - KIBRIS","İngilizce Hazırlık Programı","26.000,00 TL"
"","Siyasal ve Sosyal Bilimler Fakültesi","28.000,00 TL"
"","İletişim Fakültesi","30.000,00 TL"
"","ödemelerden %5 KDV alınmaktadır. Öğretim ücretine ek olarak üniversiteye kayıt sırasında 1800 TL kayıt ücreti öde",""
"ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL","Hukuk Fakültesi","52.900.00 TL"
"","İşletme Fakültesi","46.506.00 TL"
"","Eczacılık Fakültesi","52.900.00 TL"
"","İktisadi, İdari ve Sosyal Bilimler Fakültesi","46.506.00 TL"
"","Mühendislik ve Doğa Bilimleri Fakültesi","46.506.00 TL"
"","Güzel Sanatlar ve Tasarım Fakültesi","46.506.00 TL"
"","Uygulamalı Bilimler Fakültesi'ne Bağlı Lisans Programları","46.506.00 TL"
"","Tıp Fakültesi","80.454.00 TL"
"","Diş Hekimliği Fakültesi","74.704.00 TL"
"ANKARA BİLİM ÜNİVERSİTESİ - ANKARA","Mühendislik ve Mimarlık Fakültesi","36.800.00 TL"
"","Güzel Sanatlar ve Tasarım Fakültesi","34.960.00 TL"
"","İnsan ve Toplum Bilimleri Fakültesi","34.960.00 TL"
"ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA","Tıp Fakültesi için Türkçe ve İngilizce Programı","86.000,00 TL"
"","Diş Hekimliği Fakültesi Türkçe ve İngilizce Programı için 86.000 TL,","86.000,00 TL"
"","Eczacılık Fakültesi için Türkçe ve İngilizce Programı","78.000,00 TL"
"","Hukuk Fakültesi için zorunlu hazırlık sınıfı dahil","56.500,00 TL"
"","Sağlık Bilimleri Fakültesinin Fizyoterapi ve Rehabilitasyon Bölümü için zorunlu hazırlık sınıfı dahil","42.500,00 TL"
"","Beslenme ve Diyetetik Bölümü için zorunlu hazırlık sınıfı dahil","41.000,00 TL"
"","Ergoterapi Bölümü Zorunlu Hazırlık Sınıfı Dahil","34.000,00 TL"
"","Dil ve Konuşma Terapisi Bölümü Zorunlu Hazırlık Sınıfı Dahil","34.000,00 TL"
"","Hemşirelik Bölümü Zorunlu Hazırlık Sınıfı Dahil","34.000,00 TL"
"","Ebelik Bölümü Zorunlu Hazırlık Sınıfı Dahil","31.500,00 TL"
"","İktisadi İdari ve Sosyal Bilimler Fakültesinin Psikoloji Bölümü Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı Dahil","34.000,00 TL"
"","Uluslararası Ticaret ve Finansman Bölümü Türkçe ve İngilizce
Programı Zorunlu Hazırlık Sınıfı Dahil","31.500,00 TL"
"","Yönetim Bilişim Sistemleri Bölümü Zorunlu Hazırlık Sınıfı Dahil","31.500,00 TL"
"","Siyasal Bilgiler Fakültesinin Siyaset Bilimi ve Uluslararası İlişkiler Bölümü İngilizce Programı Zorunlu Hazırlık Sınıfı Dahil","31.500,00 TL"
"","Güzel Sanatlar Tasarım ve Mimarlık Fakültesinin Gastronomi ve Mutfak Sanatları Bölümü Zorunlu Hazırlık Sınıfı Dahil","42.000,00 TL"
"","Güzel Sanatlar Tasarım ve Mimarlık Fakültesinin İç Mimarlık ve
Çevre Tasarımı Bölümü Zorunlu Hazırlık Sınıfı Dahil","42.000,00 TL"
"","İletişim Fakültesinin Tüm Bölümleri Zorunlu Hazırlık Sınıfı Dahil","32.200,00 TL"
"","Tıp Fakültesi Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı
için","56.500,00 TL"
"","Diş Hekimliği Fakültesi Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı için","56.500,00 TL"
"","Eczacılık Fakültesi Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı için","56.500,00 TL"
"","Bu ücretlere KDV ayrıca ilave edilecektir. İsteğe bağlı hazırlık sınıfı okuyacak öğrenciler yerleştikleri programın ücreti üzerinden %25 indirimli program ücreti ile hazırlık sınıfına kabul edilirler.",""
"ATILIM ÜNİVERSİTESİ - ANKARA","Tıp Fakültesi öğretim ücreti","69.736.00 TL"
"","Diğer Tüm Bölümlerimiz için Öğretim Ücreti","47.840.00 TL"
"","Pilotaj Bölümü için uçuş eğitimi ücreti bu ücrete dahil değildir. Pilotaj Bölümünün burslu programındaki öğrenciler için, uçuş eğitimi ücretinin burs oranı kadarı üniversite tarafından karşılanacaktır",""
"AVRASYA ÜNİVERSİTESİ - TRABZON","Psikoloji Bölümü","36.800.00 TL"
"","İç Mimarlık ve Çevre Tasarımı Bölümü","36.800.00 TL"
