İD,SEHİRAD,BOLGEAD
1,ADANA,Akdeniz
2,ADIYAMAN,Güneydoğu Anadolu
3,AFYONKARAHİSAR,Ege
4,AĞRI,Doğu Anadolu
5,AMASYA,Karadeniz
6,ANKARA,İç Anadolu
7,ANTALYA,Akdeniz
8,ARTVİN,Karadeniz
9,AYDİN,Ege
10,BALİKESİR,Marmara
11,BİLECİK,Marmara
12,BİNGÖL,Doğu Anadolu
13,BİTLİS,Doğu Anadolu
14,BOLU,Karadeniz
15,BURDUR,Akdeniz
16,BURSA,Marmara
17,ÇANAKKALE,Marmara
18,ÇANKIRI,İç Anadolu
19,ÇORUM,Karadeniz
20,DENİZLİ,Ege
21,DİYARBAKIR,Güneydoğu Anadolu
22,EDİRNE,Marmara
23,ELAZIĞ,Doğu Anadolu
24,ERZİNCAN,Doğu Anadolu
25,ERZURUM,Doğu Anadolu
26,ESKİŞEHİR,İç Anadolu
27,GAZİANTEP,Güneydoğu Anadolu
28,GİRESUN,Karadeniz
29,GÜMÜŞHANE,Karadeniz
30,HAKKARİ,Doğu Anadolu
31,HATAY,Akdeniz
32,ISPARTA,Akdeniz
33,MERSİN,Akdeniz
34,İSTANBUL,Marmara
35,İZMİR,Ege
36,KARS,Doğu Anadolu
37,KASTAMONU,Karadeniz
38,KAYSERİ,İç Anadolu
39,KIRKLARELİ,Marmara
40,KIRŞEHİR,İç Anadolu
41,KOCAELİ,Marmara
42,KONYA,İç Anadolu
43,KÜTAHYA,Ege
44,MALATYA,Doğu Anadolu
45,MANİSA,Ege
46,KAHRAMANMARAŞ,Akdeniz
47,MARDİN,Güneydoğu Anadolu
48,MUĞLA,Ege
49,MUŞ,Doğu Anadolu
50,NEVŞEHİR,İç Anadolu
51,NİĞDE,İç Anadolu
52,ORDU,Karadeniz
53,RİZE,Karadeniz
54,SAKARYA,Marmara
55,SAMSUN,Karadeniz
56,SİİRT,Güneydoğu Anadolu
57,SİNOP,Karadeniz
58,SİVAS,İç Anadolu
59,TEKİRDAĞ,Marmara
60,TOKAT,Karadeniz
61,TRABZON,Karadeniz
62,TUNCELİ,Doğu Anadolu
63,ŞANLIURFA,Güneydoğu Anadolu
64,UŞAK,Ege
65,VAN,Doğu Anadolu
66,YOZGAT,İç Anadolu
67,ZONGULDAK,Karadeniz
68,AKSARAY,İç Anadolu
69,BAYBURT,Karadeniz
70,KARAMAN,İç Anadolu
71,KIRIKKALE,İç Anadolu
72,BATMAN,Güneydoğu Anadolu
73,ŞIRNAK,Güneydoğu Anadolu
74,BARTIN,Karadeniz
75,ARDAHAN,Doğu Anadolu
76,IĞDIR,Doğu Anadolu
77,YALOVA,Marmara
78,KARABÜK,Karadeniz
79,KİLİS,Güneydoğu Anadolu
80,OSMANİYE,Akdeniz
81,DÜZCE,Karadeniz
