academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2023,KOÇ ÜNÝVERSÝTESÝ,Týp Fakültesi,Týp,203910699,SAY,English,100,7,7,,,,ÝSTANBUL,Marmara,139,32,39,43,5,126,275,,,"%100,0","%22,2",523,,"%50,5","%72,5","%85,3","4,2",,"1,0","%100,0","%100,0","%100,0",,16,14,30,21,83
2022,KOÇ ÜNÝVERSÝTESÝ,Týp Fakültesi,Týp,203910699,SAY,English,100,8,8,,,,ÝSTANBUL,Marmara,124,31,33,75,16,325,846,,,"%87,5","%50,0",453,,"%47,5","%69,1",373,"4,8",,"1,0","%100,0","%100,0","%100,0",,47,31,78,63,91
2021,KOÇ ÜNÝVERSÝTESÝ,Týp Fakültesi,Týp,203910699,SAY,English,100,8,8,,,,ÝSTANBUL,Marmara,110,24,28,92,12,350,877,,,"%62,5","%62,5",399,,"%49,1","%69,9","%84,0","4,4",,"1,0","%100,0","%100,0","%100,0",,41,25,66,49,107
2023,ÝSTANBUL MEDÝPOL ÜNÝVERSÝTESÝ,Uluslararasý Týp Fakültesi,Týp,203110477,SAY,English,100,10,10,,,,ÝSTANBUL,Marmara,40,25,26,30,1,109,242,,,"%100,0",,269,,"%47,6","%68,4","%84,8","4,7",,"1,0","%100,0","%100,0","%100,0",,44,26,70,69,88
2022,ÝSTANBUL MEDÝPOL ÜNÝVERSÝTESÝ,Uluslararasý Týp Fakültesi,Týp,203110477,SAY,English,100,10,10,,,,ÝSTANBUL,Marmara,30,15,30,70,20,315,683,,,"%100,0","%20,0",253,,"%53,8","%66,4",211,"5,2",,"1,0","%100,0","%100,0","%100,0",,35,29,64,53,84
2021,ÝSTANBUL MEDÝPOL ÜNÝVERSÝTESÝ,Uluslararasý Týp Fakültesi,Týp,203110477,SAY,English,100,10,10,,,,ÝSTANBUL,Marmara,28,12,30,51,02,241,1.141,,,"%90,0","%30,0",254,,"%51,6","%65,4","%81,1","5,0",,"1,0","%100,0","%100,0","%100,0",,28,31,59,53,71
2023,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði,203910363,SAY,English,100,16,16,,,,ÝSTANBUL,Marmara,7,3,4,98,14,308,678,,,"%89,5","%42,1",1300,,"%53,8","%74,2","%89,2","3,6",,"1,2","%89,5","%100,0","%100,0",,43,62,105,55,230
2022,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði,203910363,SAY,English,100,16,16,,,,ÝSTANBUL,Marmara,6,3,5,156,3,358,1.259,,,"%75,0","%43,8",1.359,,"%50,8","%74,7",1217,"3,5",,"1,0","%100,0","%100,0","%100,0",,33,61,94,57,309
2021,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði,203910363,SAY,English,100,15,15,,,,ÝSTANBUL,Marmara,5,4,4,221,24,467,1.428,,,"%93,3","%20,0",1.152,,"%23,6","%75,3","%93,9","3,2",,"1,1","%93,3","%100,0","%100,0",,43,53,96,50,201
2023,ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ,Týp Fakültesi,Týp,200110071,SAY,English,100,6,6,,,,ÝSTANBUL,Marmara,130,54,31,71,36,201,366,,,"%85,7","%42,9",316,,"%21,8","%67,1","%88,9","4,2",,"1,4","%57,1","%100,0","%100,0",,47,26,73,67,176
