academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2023,KOÇ ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,Tarih,203910187,SÖZ,English,100,2,2,,,,ÝSTANBUL,Marmara,1,2,1,39,27,39.581,55.588,,,"%66,7","%33,3",295,,"%34,2","%61,0","%79,3","5,3",,"1,0","%100,0","%100,0","%100,0",,8,2,10,10,32
2022,KOÇ ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,Tarih,203910187,SÖZ,English,100,4,4,,,,ÝSTANBUL,Marmara,1,3,1,169,26,40.566,64.002,,,"%75,0","%100,0",256,,"%43,4","%67,2",220,"4,0",,"1,0","%100,0","%100,0","%100,0",,9,10,19,9,41
2021,KOÇ ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,Tarih,203910187,SÖZ,English,100,6,6,,,,ÝSTANBUL,Marmara,1,3,1,180,36,27.596,38.484,,,"%50,0","%66,7",276,,"%34,1","%69,2","%89,5","3,6",,"1,2","%83,3","%100,0","%100,0",,6,18,24,12,49
2023,KOÇ ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,Medya ve Görsel Sanatlar,203910724,SÖZ,English,100,10,10,,,,ÝSTANBUL,Marmara,1,7,2,138,50,38.978,118.604,,,"%69,2","%46,2",242,,"%37,2","%61,6","%82,2","4,5",,"1,8","%76,9","%84,6","%100,0",,32,67,99,10,104
2022,KOÇ ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,Medya ve Görsel Sanatlar,203910724,SÖZ,English,100,11,11,,,,ÝSTANBUL,Marmara,1,4,4,259,16,49.171,106.340,,,"%81,8","%54,6",305,,"%45,2","%70,5",272,"3,1",,"1,2","%90,9","%100,0","%100,0",,37,46,83,11,165
2021,KOÇ ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,Medya ve Görsel Sanatlar,203910724,SÖZ,English,100,9,9,,,,ÝSTANBUL,Marmara,1,4,4,342,39,45.358,77.552,,,"%66,7","%33,3",294,,"%54,1","%75,9","%91,5","3,0",,"1,0","%100,0","%100,0","%100,0",,28,46,74,9,118
2023,KOÇ ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,Arkeoloji ve Sanat Tarihi,203910018,SÖZ,English,100,2,2,,,,ÝSTANBUL,Marmara,5,2,1,77,71,45.195,49.900,,,"%100,0","%33,3",211,,"%18,0","%48,3","%78,2","6,3",,"4,3",%,"%66,7","%100,0",,9,6,15,2,38
2022,KOÇ ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,Arkeoloji ve Sanat Tarihi,203910018,SÖZ,English,100,3,3,,,,ÝSTANBUL,Marmara,5,1,2,216,10,51.105,78.175,,,"%100,0","%66,7",245,,"%25,3","%54,7",201,"4,3",,"1,7","%33,3","%100,0","%100,0",,10,15,25,3,47
2021,KOÇ ÜNÝVERSÝTESÝ,Ýnsani Bilimler ve Edebiyat Fakültesi,Arkeoloji ve Sanat Tarihi,203910018,SÖZ,English,100,7,7,,,,ÝSTANBUL,Marmara,5,1,2,451,137,73.892,126.546,,,"%57,1","%57,1",285,,"%23,2","%56,5","%86,0","5,0",,"2,0","%28,6","%100,0","%100,0",,23,32,55,7,52
2023,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Mimarlýk ve Tasarým Fakültesi,Ýletiþim ve Tasarýmý,204890044,SÖZ,English,100,5,5,,,,ÝSTANBUL,Marmara,---,1,5,405,192,97.380,150.836,,,"%66,7","%50,0",139,,"%19,4","%61,2","%91,4","4,0",,"1,5","%66,7","%100,0","%100,0",,11,33,44,8,22
2022,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Mimarlýk ve Tasarým Fakültesi,Ýletiþim ve Tasarýmý,204890044,SÖZ,English,100,5,5,,,,ÝSTANBUL,Marmara,---,---,5,323,104,88.164,146.035,,,"%80,0","%20,0",161,,"%21,7","%52,2",140,"4,3",,"1,6","%80,0","%80,0","%100,0",,11,33,44,10,15
2021,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Mimarlýk ve Tasarým Fakültesi,Ýletiþim ve Tasarýmý,204890044,SÖZ,English,100,5,5,,,,ÝSTANBUL,Marmara,---,---,5,619,240,101.954,146.698,,,"%40,0","%60,0",165,,"%18,8","%52,1","%90,9","4,1",,"1,0","%100,0","%100,0","%100,0",,12,28,40,9,5
2023,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Ýlahiyat Fakültesi,Ýlahiyat ,202210329,SÖZ,Turkish,100,14,14,,,,ÝSTANBUL,Marmara,7,2,8,371,3,68.300,217.438,,,"%87,5","%25,0",286,,"%39,5","%56,6","%81,8","4,6",,"1,1","%93,8","%100,0","%100,0",,42,36,78,51,116
2022,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Ýlahiyat Fakültesi,Ýlahiyat ,202210329,SÖZ,Turkish,100,8,8,,,,ÝSTANBUL,Marmara,6,2,4,251,4,35.591,78.699,,,"%75,0","%37,5",249,,"%39,0","%55,0",194,"5,0",,"1,0","%100,0","%100,0","%100,0",,30,22,52,37,82
2021,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Ýlahiyat Fakültesi,Ýlahiyat ,202210329,SÖZ,Turkish,100,6,6,,,,ÝSTANBUL,Marmara,6,2,4,18,09,8.474,11.642,,,"%50,0","%83,3",215,,"%50,7","%62,8","%87,0","3,9",,"1,0","%100,0","%100,0","%100,0",,14,18,32,26,47
2023,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Uygulamalý Bilimler Yüksekokulu,Gastronomi ve Mutfak Sanatlarý,204810988,SÖZ,English,100,9,9,,,,ÝSTANBUL,Marmara,,,,269,43,66.210,118.111,,,"%45,5","%63,6",267,,"%57,3","%69,7","%87,3","3,3",,"1,6","%90,9","%90,9","%100,0",,25,47,72,17,33
2022,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Uygulamalý Bilimler Yüksekokulu,Gastronomi ve Mutfak Sanatlarý,204810988,SÖZ,English,100,9,9,,,,ÝSTANBUL,Marmara,---,---,---,446,36,76.063,193.647,,,"%66,7","%33,3",396,,"%58,1","%71,2",340,"3,1",,"1,0","%100,0","%100,0","%100,0",,13,34,47,21,36
2021,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Uygulamalý Bilimler Yüksekokulu,Gastronomi ve Mutfak Sanatlarý,204810988,SÖZ,English,100,9,9,,,,ÝSTANBUL,Marmara,---,---,---,770,258,94.113,191.426,,,"%88,9","%22,2",348,,"%56,6","%72,7","%88,8","3,4",,"1,0","%100,0","%100,0","%100,0",,11,33,44,17,27
2023,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Tarih ,205410026,SÖZ,Turkish,100,3,3,,,,ANKARA,Ýç Anadolu,3,1,2,364,113,110.833,157.079,,,"%75,0","%25,0",89,,"%15,7","%41,6","%85,4","5,3",,"1,3","%75,0","%100,0","%100,0",,6,7,13,11,12
2022,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Tarih ,205410026,SÖZ,Turkish,100,3,3,,,,ANKARA,Ýç Anadolu,2,---,3,980,519,97.776,147.819,,,"%66,7","%66,7",91,,"%13,2","%33,0",79,"5,4",,"1,0","%100,0","%100,0","%100,0",,11,6,17,3,10
2021,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Tarih ,205410026,SÖZ,Turkish,100,3,3,,,,ANKARA,Ýç Anadolu,2,---,2,771,489,127.784,164.202,,,"%66,7","%33,3",86,,"%12,8","%44,2","%81,4","6,1",,"1,7","%33,3","%100,0","%100,0",,9,8,17,11,18
2023,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Güzel Sanatlar Tasarým ve Mimarlýk Fakültesi,Ýletiþim ve Tasarýmý,202190187,SÖZ,English,100,9,9,,,,ANKARA,Ýç Anadolu,1,1,1,464,86,97.165,151.713,,,"%81,8","%18,2",294,,"%39,5","%71,4","%92,9","3,2",,"2,3","%45,5","%90,9","%100,0",,42,38,80,13,48
2022,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Güzel Sanatlar Tasarým ve Mimarlýk Fakültesi,Ýletiþim ve Tasarýmý,202190187,SÖZ,English,100,11,11,,,,ANKARA,Ýç Anadolu,1,1,2,859,340,86.934,191.774,,,"%54,6","%45,5",304,,"%33,9","%62,5",280,"3,5",,"2,4","%27,3","%81,8","%100,0",,27,50,77,18,
2021,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Güzel Sanatlar Tasarým ve Mimarlýk Fakültesi,Ýletiþim ve Tasarýmý,202190187,SÖZ,English,100,11,11,,,,ANKARA,Ýç Anadolu,1,---,2,806,254,131.983,279.237,,,"%63,6","%36,4",361,,"%33,5","%61,5","%95,0","3,8",,"1,5","%90,9","%90,9","%100,0",,26,40,66,21,
2023,YEDÝTEPE ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Tarih,206110283,SÖZ,English,100,3,3,,,,ÝSTANBUL,Marmara,2,1,2,604,431,143.510,171.881,,,"%100,0",,116,,"%5,2","%40,5","%80,2","5,8",,"2,5","%25,0","%75,0","%100,0",,8,9,17,13,19
2022,YEDÝTEPE ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Tarih,206110283,SÖZ,English,100,4,4,,,,ÝSTANBUL,Marmara,2,---,2,858,810,119.125,154.043,,,"%75,0","%25,0",158,,"%9,5","%46,8",131,"5,0",,"1,3","%75,0","%100,0","%100,0",,9,16,25,9,19
2021,YEDÝTEPE ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Tarih,206110283,SÖZ,English,100,4,4,,,,ÝSTANBUL,Marmara,2,---,3,733,288,119.364,193.971,,,"%100,0","%25,0",168,,"%11,9","%42,9","%83,3","5,4",,"1,8","%50,0","%100,0","%100,0",,13,21,34,22,25
2023,YEDÝTEPE ÜNÝVERSÝTESÝ,Güzel Sanatlar Fakültesi,Gastronomi ve Mutfak Sanatlarý,206111845,SÖZ,English,100,9,9,,,,ÝSTANBUL,Marmara,2,---,2,580,270,106.929,171.360,,,"%90,0","%20,0",249,,"%13,7","%66,3","%84,3","4,1",,"2,2",%,"%100,0","%100,0",,5,39,46,17,52
2022,YEDÝTEPE ÜNÝVERSÝTESÝ,Güzel Sanatlar Fakültesi,Gastronomi ve Mutfak Sanatlarý,206111845,SÖZ,English,100,10,10,,,,ÝSTANBUL,Marmara,1,---,2,1.168,468,118.605,190.198,,,"%50,0","%50,0",431,,"%22,7","%67,1",370,"3,4",,"1,8","%20,0","%100,0","%100,0",,24,71,95,39,50
