academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Ýnsan ve Toplum Bilimleri Fakültesi,Psikoloji ,,,Ýngilizce,,62,62,,,,KAYSERÝ,,,,,86755,21866,206828,438747,,,5.32,,677,,1.85,,,8.2,,2.8,"%45,2","%80,6","%98,4",,,,669,501,
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Ýnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Uluslararasý Ýliþkiler ,,,Ýngilizce,,62,62,,,,KAYSERÝ,,,,,288398,4099,400917,848597,,,3.23,,393,,1.3,,,7.2,,3.5,"%40,3","%77,4","%91,9",,,,587,105,
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Mimarlýk Fakültesi,Mimarlýk ,,,Ýngilizce,,72,72,,,,KAYSERÝ,,,,,140075,74190,149609,374718,,,3.89,,385,,1.35,,,7.6,,3.9,"%33,3","%54,2","%95,8",,,,777,411,
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Mühendislik Fakültesi,Makine Mühendisliði ,,,Ýngilizce,,62,62,,,,KAYSERÝ,,,,,150248,52940,168909,454023,,,6.29,,319,,0.44,,,9.9,,6.7,"%9,70","%27,4","%79,0",,,,993,375,
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Mühendislik Fakültesi,Bilgisayar Mühendisliði ,,,Ýngilizce,,72,72,,,,KAYSERÝ,,,,,45263,14439,54466,112334,,,7.22,,997,,1.53,,,8.2,,7.1,"%20,8","%30,5","%75,0",,,,1044,622,
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Mühendislik Fakültesi,Endüstri Mühendisliði ,,,Ýngilizce,,72,72,,,,KAYSERÝ,,,,,88458,45849,93121,199238,,,6.81,,550,,1.22,,,8.5,,6.5,"%18,0","%40,3","%79,2",,,,954,389,
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Mühendislik Fakültesi,Ýnþaat Mühendisliði ,,,Ýngilizce,,72,59,,,,KAYSERÝ,,,,,299779,101247,369127,787169,,,5.25,,285,,0.35,,,11.4,,6.1,"%16,9","%35,6","%84,7",,,,906,362,
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliði ,,,Ýngilizce,,82,82,,,,KAYSERÝ,,,,,79152,39114,89918,183123,,,5.85,,492,,0.75,,,9.1,,8.1,"%6,1","%25,6","%68,3",,,,1251,538,
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Yaþam ve Doða Bilimleri Fakültesi,Moleküler Biyoloji ve Genetik  (KKTC Uyruklu),,,Ýngilizce,,3,0,,,,KAYSERÝ,,,,,,,,,,,10,,0,,0,,,,,,"%0,0","%0,0","%0,0",,,,0,0,
2021,ABDULLAH GÜL ÜNÝVERSÝTESÝ,,Yaþam ve Doða Bilimleri Fakültesi,Biyomühendislik ,,,Ýngilizce,,62,62,,,,KAYSERÝ,,,,,259785,27444,275467,949204,,,5.81,,219,,0.64,,,9,,6.1,"%9,70","%37,1","%82,3",,,,717,133,
