academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,65,65,,,,İSTANBUL ,,3,---,3,1.691,90,41.755,99.061,,,"% 80,6",,1.433,,"% 54,6","% 77,9","% 89,9","3,4",,"1,3","% 88,1","% 98,5","% 98,5",,442,44,486,74,274
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,60,60,,,,İSTANBUL ,,2,5,3,2.38,498,63.374,105.635,,,"% 58,1",,1.864,,"% 33,9","% 71,3","% 89,5","3,9",,"2,1","% 45,2","% 93,5","% 98,4",,481,90,571,125,365
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Dilbilimi,102270026,DİL,İngilizce,,55,55,,,,İSTANBUL ,,1,2,4,2.617,553,71.86,175.977,,,"% 50,9",,1.158,,"% 18,7","% 68,4","% 89,7","4,3",,"1,8","% 43,9","% 98,2","% 98,2",,339,34,375,62,230
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,102210056,DİL,İngilizce,,55,55,,,,İSTANBUL ,,6,2,6,3.123,1.461,92.413,147.077,,,"% 78,9",,2.248,,"% 35,6","% 64,3","% 91,5","3,8",,"2,4","% 35,1","% 84,2","% 98,2",,467,34,501,240,434
2024,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,108410054,DİL,İngilizce,,50,50,,,,ANKARA ,,8,7,1,3.376,1.224,95.609,165.76,,,"% 78,8",,2.042,,"% 30,7","% 64,4","% 92,0","3,8",,"1,9","% 63,5","% 82,7","% 100,0",,348,79,427,237,542
2024,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği (UOLP-Suny New Paltz),108410072,DİL,İngilizce,50,1,1,,,,ANKARA ,,8,7,1,3.423,3.423,77.606,77.606,,,"% 100,0",,73,,"% 28,8","% 53,4","% 83,6","5,3",,"2,0","% 0,0","% 100,0","% 100,0",,9,---,9,9,4
2024,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,104890460,DİL,,,60,60,,,,ANKARA ,,1,1,5,3.558,425,100.536,165.021,,,"% 82,3",,2.456,,"% 35,3","% 62,9","% 90,8","3,9",,"2,3","% 40,3","% 77,4","% 100,0",,366,61,427,129,374
2024,GALATASARAY ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Fransız Dili ve Edebiyatı,104010025,DİL,Fransızca,,35,35,,,,İSTANBUL ,,1,1,1,3.686,1.52,99.457,219.826,,,"% 51,4",,656,,"% 25,6","% 53,5","% 88,1","4,6",,"3,1","% 16,2","% 64,9","% 100,0",,251,62,313,42,223
2024,HACETTEPE ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,104810274,DİL,İngilizce,,40,40,,,,ANKARA ,,4,---,3,3.97,3.321,124.497,185.882,,,"% 85,4",,2.402,,"% 18,7","% 62,2","% 91,7","4,1",,"3,8","% 4,9","% 53,7","% 100,0",,357,30,387,247,425
2024,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,104810105,DİL,İngilizce,,60,60,,,,ANKARA ,,4,---,6,4.545,283,135.612,213.451,,,"% 83,9",,2.209,,"% 19,2","% 51,1","% 89,4","4,6",,"3,8","% 14,5","% 61,3","% 96,8",,468,35,503,161,478
2024,İSTANBUL ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,105690658,DİL,,,60,60,,,,İSTANBUL,Marmara,2,---,3,4.66,2.624,130.345,219.493,,,"% 56,5","% 58,1",1.802,,"% 17,3","% 44,4","% 88,0","5,0",,"4,3","% 3,2","% 38,7","% 98,4",,527,58,585,185,272
2024,YILDIZ TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,110110022,DİL,,,40,40,,,,İSTANBUL ,,1,3,3,5.585,3.219,143.478,210.321,,,"% 61,0",,1.98,,"% 17,2","% 43,3","% 85,5","5,3",,"3,8","% 2,4","% 41,5","% 100,0",,360,43,403,323,309
2024,MARMARA ÜNİVERSİTESİ,devlet,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,107290342,DİL,,,50,50,,,,İSTANBUL ,,---,---,4,5.588,3.21,152.426,255.694,,,"% 73,1",,1.826,,"% 9,4","% 37,6","% 86,1","5,6",,"4,8","% 0,0","% 30,8","% 98,1",,435,59,494,189,122
2024,EGE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,103490363,DİL,,,70,70,,,,İZMİR,Ege,---,---,1,5.791,3.05,158.705,251.674,,,"% 75,0","% 37,5",2.459,,"% 23,9","% 50,1","% 86,1","4,9",,"3,8","% 16,7","% 55,6","% 97,2",,586,41,627,234,343
2024,GAZİ ÜNİVERSİTESİ,devlet,Gazi Eğitim Fakültesi,İngilizce Öğretmenliği,104110306,DİL,,,50,50,,,,ANKARA ,,8,4,4,6.014,3.827,152.28,246.615,,,"% 94,2",,2.594,,"% 19,6","% 48,5","% 88,5","4,9",,"3,8","% 3,8","% 55,8","% 98,1",,480,18,498,425,620
2024,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngiliz Dilbilimi,104810098,DİL,İngilizce,,65,65,,,,ANKARA ,,1,---,6,6.033,3.299,168.428,283.994,,,"% 70,1",,997,,"% 10,0","% 34,5","% 87,2","5,6",,"4,3","% 13,4","% 35,8","% 100,0",,552,62,614,64,356
2024,MARMARA ÜNİVERSİTESİ,devlet,Atatürk Eğitim Fakültesi,İngilizce Öğretmenliği,107210102,DİL,İngilizce,,50,50,,,,İSTANBUL ,,---,1,5,6.594,3.191,173.561,267.232,,,"% 55,8",,2.095,,"% 10,3","% 38,9","% 83,2","5,8",,"4,2","% 5,8","% 44,2","% 100,0",,560,45,605,427,485
