academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,KOÇ ÜNİVERSİTESİ,vak�f,İnsani Bilimler ve Edebiyat Fakültesi,Karşılaştırmalı Edebiyat,203910830,DİL,İngilizce,100,3,3,,,,İSTANBUL ,,---,2,3,389,66,9.692,18.146,,,"% 75,0",,171,,"% 53,2","% 62,0","% 80,7","4,8",,"1,0","% 100,0","% 100,0","% 100,0",,34,7,41,3,19
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,İnsani Bilimler ve Edebiyat Fakültesi,"İngilizce, Fransızca Mütercim ve Tercümanlık",202190179,DİL,,100,7,7,,,,ANKARA,İç Anadolu,---,1,2,791,120,24.535,41.499,,,"% 88,9","% 22,2",361,,"% 49,3","% 69,3","% 87,5","4,1",,"1,1","% 88,9","% 100,0","% 100,0",,31,18,49,8,26
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,İnsani Bilimler ve Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,202110938,DİL,İngilizce,100,7,7,,,,ANKARA,İç Anadolu,---,---,11,1.707,179,34.305,76.357,,,"% 77,8","% 22,2",367,,"% 25,1","% 60,2","% 88,0","4,6",,"1,7","% 77,8","% 88,9","% 100,0",,21,21,42,16,30
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,İnsani Bilimler ve Edebiyat Fakültesi,Amerikan Kültürü ve Edebiyatı,202110902,DİL,İngilizce,100,5,5,,,,ANKARA,İç Anadolu,---,1,9,2.067,932,59.502,83.734,,,"% 28,6","% 71,4",203,,"% 8,9","% 52,2","% 86,2","5,3",,"2,9","% 14,3","% 85,7","% 100,0",,31,24,55,7,22
2024,YEDİTEPE ÜNİVERSİTESİ,vak�f,Fen-Edebiyat Fakültesi,Çeviribilimi,206190363,DİL,İngilizce,100,11,11,,,,İSTANBUL ,,1,---,4,2.858,1.696,71.687,131.896,,,"% 61,5",,339,,"% 10,3","% 43,1","% 89,7","5,0",,"2,9","% 23,1","% 76,9","% 100,0",,39,27,66,18,63
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,205410486,DİL,İngilizce,100,5,5,,,,ANKARA ,,---,---,4,3.304,2.919,115.436,242.507,,,"% 71,4",,198,,"% 7,1","% 29,3","% 74,7","7,0",,"4,1","% 28,6","% 57,1","% 100,0",,13,19,32,17,19
2024,İZMİR EKONOMİ ÜNİVERSİTESİ,vak�f,Fen-Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,203590168,DİL,,100,9,9,,,,İZMİR,Ege,2,---,2,3.822,1.562,88.381,136.074,,,"% 45,5","% 54,5",251,,"% 19,5","% 45,8","% 85,7","5,2",,"2,1","% 63,6","% 81,8","% 100,0",,41,24,65,22,41
2024,YEDİTEPE ÜNİVERSİTESİ,vak�f,Eğitim Fakültesi,İngilizce Öğretmenliği,206110062,DİL,İngilizce,100,7,7,,,,İSTANBUL ,,1,1,5,3.844,3.416,125.053,149.116,,,"% 44,4",,331,,"% 8,8","% 29,3","% 76,4","6,8",,"4,1","% 11,1","% 55,6","% 100,0",,41,20,61,31,37
2024,YEDİTEPE ÜNİVERSİTESİ,vak�f,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,206110202,DİL,İngilizce,100,9,9,,,,İSTANBUL ,,4,1,4,3.943,332,96.557,149.772,,,"% 54,5",,390,,"% 8,5","% 33,1","% 80,3","6,4",,"3,8","% 27,3","% 36,4","% 100,0",,30,32,62,16,45
2024,İSTANBUL BİLGİ ÜNİVERSİTESİ,vak�f,Sosyal ve Beşeri Bilimler Fakültesi,Karşılaştırmalı Edebiyat,202510061,DİL,İngilizce,100,4,4,,,,İSTANBUL,Marmara,---,2,2,4.729,3.807,146.158,181.641,,,"% 40,0","% 60,0",75,,"% 12,0","% 40,0","% 85,3","5,6",,"4,6","% 0,0","% 20,0","% 100,0",,22,13,35,5,24
