academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,GALATASARAY ÜNİVERSİTESİ,devlet,Hukuk Fakültesi,Hukuk,104010052,EA,Fransızca,,35,35,,,,İSTANBUL ,,21,6,10,425,21,13.081,57.445,,,"% 77,8",,1.092,,"% 50,5","% 73,4","% 89,0","3,8",,"1,1","% 94,4","% 100,0","% 100,0",,153,87,240,151,300
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,İktisadi ve İdari Bilimler Fakültesi,İktisat,102210214,EA,İngilizce,,90,90,,,,İSTANBUL ,,11,9,6,529,1,13.336,59.16,,,"% 79,6",,2.004,,"% 24,9","% 63,9","% 91,1","4,0",,"1,2","% 87,1","% 98,9","% 100,0",,438,243,681,204,637
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,İktisadi ve İdari Bilimler Fakültesi,İşletme,102210223,EA,İngilizce,,95,95,,,,İSTANBUL ,,9,5,6,609,2,18.426,60.713,,,"% 82,7",,2.922,,"% 40,7","% 68,5","% 90,2","3,8",,"1,2","% 80,6","% 99,0","% 100,0",,556,197,754,240,635
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Hukuk Fakültesi,Hukuk,102270035,EA,,,60,60,,,,İSTANBUL ,,---,2,11,1.24,20,30.936,82.552,,,"% 74,2",,1.53,,"% 31,2","% 63,1","% 89,7","4,1",,"2,1","% 51,6","% 83,9","% 100,0",,379,130,509,311,129
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,102210232,EA,İngilizce,,90,90,,,,İSTANBUL ,,2,4,7,1.362,12,35.184,99.828,,,"% 67,7",,1.485,,"% 18,5","% 46,2","% 86,8","5,2",,"3,0","% 35,5","% 75,3","% 96,8",,830,201,1031,110,516
2024,GALATASARAY ÜNİVERSİTESİ,devlet,İktisadi ve İdari Bilimler Fakültesi,İşletme,104010079,EA,Fransızca,,30,30,,,,İSTANBUL ,,4,5,4,1.389,426,36.862,93.054,,,"% 81,3",,1.345,,"% 12,7","% 35,4","% 83,7","6,0",,"3,9","% 18,8","% 56,3","% 93,8",,278,135,413,119,277
2024,GALATASARAY ÜNİVERSİTESİ,devlet,İktisadi ve İdari Bilimler Fakültesi,İktisat,104010061,EA,Fransızca,,30,30,,,,İSTANBUL ,,3,5,2,1.447,356,34.025,78.438,,,"% 81,3",,1.176,,"% 7,4","% 27,7","% 82,4","6,3",,"3,9","% 15,6","% 56,3","% 100,0",,252,116,368,98,252
2024,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,İktisadi ve İdari Bilimler Fakültesi,İktisat,108410203,EA,İngilizce,,90,90,,,,ANKARA ,,10,7,6,1.512,126,37.071,110.741,,,"% 75,3",,2.05,,"% 14,0","% 43,6","% 85,4","5,3",,"2,6","% 48,4","% 77,4","% 100,0",,570,303,873,261,622
2024,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,İktisadi ve İdari Bilimler Fakültesi,İşletme,108410212,EA,İngilizce,,70,70,,,,ANKARA ,,5,5,1,1.52,142,35.567,93.471,,,"% 75,0",,2.27,,"% 22,3","% 46,0","% 86,0","5,2",,"3,0","% 38,9","% 68,1","% 100,0",,538,204,743,224,577
2024,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,İktisadi ve İdari Bilimler Fakültesi,İşletme (UOLP-Suny Binghamton),108410239,EA,İngilizce,50,1,1,,,,ANKARA ,,5,5,1,1.568,1.568,40.017,40.017,,,,,69,,"% 29,0","% 55,1","% 87,0","4,8",,"8,0","% 0,0","% 0,0","% 100,0",,12,4,16,7,5
