academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,KOÇ ÜNİVERSİTESİ,vak�f,İktisadi ve İdari Bilimler Fakültesi,Ekonomi,203910275,EA,İngilizce,100,16,16,,,,İSTANBUL ,,7,2,5,94,8,5.266,24.778,,,"% 94,7",,724,,"% 37,8","% 62,0","% 84,9","4,7",,"1,0","% 100,0","% 100,0","% 100,0",,16,71,87,17,218
2024,SABANCI ÜNİVERSİTESİ,vak�f,Yönetim Bilimleri Fakültesi,Yönetim Bilimleri Programları,205110144,EA,İngilizce,100,27,27,,,,İSTANBUL ,,---,1,2,256,15,11.182,29.605,,,"% 87,1",,700,,"% 22,7","% 54,9","% 90,6","4,5",,"1,2","% 87,1","% 96,8","% 100,0",,96,126,222,28,56
2024,KOÇ ÜNİVERSİTESİ,vak�f,İktisadi ve İdari Bilimler Fakültesi,İşletme,203910309,EA,İngilizce,100,21,21,,,,İSTANBUL ,,10,4,11,277,6,12.906,36.536,,,"% 80,0",,919,,"% 28,6","% 62,5","% 85,9","4,7",,"1,9","% 32,0","% 92,0","% 100,0",,74,126,200,51,235
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Hukuk Fakültesi,Hukuk,202111106,EA,,100,21,21,,,,ANKARA,İç Anadolu,5,1,12,305,9,11.317,39.352,,,"% 48,0","% 52,0",670,,"% 38,4","% 69,7","% 87,9","3,8",,"1,0","% 96,0","% 100,0","% 100,0",,77,76,153,99,114
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",İktisat,202110205,EA,İngilizce,100,18,18,,,,ANKARA,İç Anadolu,4,7,7,311,4,11.347,26.992,,,"% 59,1","% 59,1",851,,"% 24,3","% 52,9","% 90,0","4,4",,"1,3","% 90,9","% 95,5","% 100,0",,44,78,122,43,100
2024,SABANCI ÜNİVERSİTESİ,vak�f,Sanat ve Sosyal Bilimler Fakültesi,Sanat ve Sosyal Bilimler Programları,205110074,EA,İngilizce,100,27,27,,,,İSTANBUL ,,---,---,1,403,86,17.661,40.518,,,"% 77,4",,626,,"% 12,0","% 55,9","% 88,8","4,6",,"1,8","% 41,9","% 90,3","% 100,0",,110,135,245,27,59
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",Psikoloji,202110241,EA,İngilizce,100,10,10,,,,ANKARA,İç Anadolu,2,---,5,414,5,12.174,28.259,,,"% 76,9","% 30,8",494,,"% 27,7","% 55,9","% 83,6","5,0",,"1,1","% 92,3","% 100,0","% 100,0",,25,33,58,37,54
2024,KOÇ ÜNİVERSİTESİ,vak�f,Hukuk Fakültesi,Hukuk,203910796,EA,,100,18,18,,,,İSTANBUL ,,6,1,10,473,10,11.942,52.064,,,"% 77,3",,548,,"% 47,4","% 71,7","% 89,8","3,7",,"1,1","% 90,9","% 100,0","% 100,0",,60,86,146,69,123
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,İşletme Fakültesi,İşletme,202110383,EA,İngilizce,100,23,23,,,,ANKARA,İç Anadolu,3,8,9,515,11,23.072,45.822,,,"% 46,4","% 71,4",1.003,,"% 17,7","% 50,6","% 87,8","5,0",,"1,6","% 57,1","% 92,9","% 100,0",,79,98,177,73,117
2024,KOÇ ÜNİVERSİTESİ,vak�f,İnsani Bilimler ve Edebiyat Fakültesi,Psikoloji,203910133,EA,İngilizce,100,11,11,,,,İSTANBUL ,,10,3,5,630,28,23.678,73.621,,,"% 71,4",,580,,"% 31,0","% 51,6","% 81,4","5,5",,"1,3","% 78,6","% 100,0","% 100,0",,33,49,82,36,152
