academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,KOÇ ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,203910699,SAY,İngilizce,100,6,6,,,,İSTANBUL ,,139,32,39,24,4,779,2.757,,,"% 100,0",,529,,"% 51,2","% 72,0","% 84,3","4,3",,"1,0","% 100,0","% 100,0","% 100,0",,17,21,38,34,83
2024,İSTANBUL MEDİPOL ÜNİVERSİTESİ,vak�f,Uluslararası Tıp Fakültesi,Tıp,203110477,SAY,İngilizce,100,10,10,,,,İSTANBUL,Marmara,40,25,26,31,3,482,3.29,,,"% 100,0",,254,,"% 51,6","% 68,5","% 84,3","4,5",,"1,0","% 100,0","% 100,0","% 100,0",,47,41,88,50,88
2024,KOÇ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Bilgisayar Mühendisliği,203910363,SAY,İngilizce,100,15,15,,,,İSTANBUL ,,7,3,4,122,39,329,1.041,,,"% 72,2",,1.065,,"% 46,2","% 67,8","% 85,2","4,4",,"1,1","% 94,4","% 100,0","% 100,0",,44,52,96,42,230
2024,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,200110071,SAY,İngilizce,100,5,5,,,,İSTANBUL ,,130,54,31,203,78,798,1.914,,,"% 100,0",,252,,"% 15,9","% 68,3","% 86,9","4,7",,"1,4","% 57,1","% 100,0","% 100,0",,15,21,36,28,176
2024,KOÇ ÜNİVERSİTESİ,vak�f,Fen Fakültesi,Fizik,203910054,SAY,İngilizce,100,5,5,,,,İSTANBUL ,,5,5,1,254,198,3.673,9.711,,,"% 100,0",,260,,"% 35,4","% 56,9","% 79,6","5,7",,"1,0","% 100,0","% 100,0","% 100,0",,12,26,38,13,49
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Bilgisayar Mühendisliği,202110408,SAY,İngilizce,100,42,42,,,,ANKARA,İç Anadolu,9,2,6,286,22,1.01,4.427,,,"% 67,4","% 52,2",1.418,,"% 34,8","% 68,5","% 91,5","3,7",,"1,1","% 91,3","% 100,0","% 100,0",,129,129,258,143,224
2024,İSTANBUL MEDİPOL ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,203110035,SAY,,100,23,23,,,,İSTANBUL,Marmara,113,45,90,363,33,1.147,4.74,,,"% 100,0","% 3,8",382,,"% 26,4","% 59,9","% 85,6","4,5",,"1,9","% 26,9","% 100,0","% 100,0",,116,77,193,163,96
2024,KOÇ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,203910399,SAY,İngilizce,100,13,13,,,,İSTANBUL ,,7,3,5,386,93,2.326,12.359,,,"% 75,0",,485,,"% 17,5","% 61,0","% 85,2","5,1",,"1,6","% 56,3","% 93,8","% 100,0",,47,45,92,28,105
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,202110426,SAY,İngilizce,100,42,42,,,,ANKARA,İç Anadolu,19,2,3,452,1,1.41,9.441,,,"% 67,4","% 56,5",1.098,,"% 23,8","% 59,7","% 90,5","4,2",,"1,2","% 89,1","% 97,8","% 100,0",,158,122,280,107,212
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,205411015,SAY,,100,7,7,,,,ANKARA ,,35,3,15,532,260,1.283,2.801,,,"% 100,0",,204,,"% 23,0","% 49,5","% 83,8","5,1",,"1,8","% 50,0","% 100,0","% 100,0",,56,17,73,66,52
2024,KOÇ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Endüstri Mühendisliği,203910424,SAY,İngilizce,100,15,15,,,,İSTANBUL ,,7,1,2,758,76,2.307,7.417,,,"% 88,9",,623,,"% 31,9","% 59,6","% 86,5","4,5",,"2,3","% 38,9","% 77,8","% 100,0",,84,74,158,38,89
2024,KOÇ ÜNİVERSİTESİ,vak�f,Fen Fakültesi,Matematik,203910115,SAY,İngilizce,100,4,4,,,,İSTANBUL ,,9,---,4,1.234,129,6.573,24.305,,,"% 100,0",,155,,"% 27,7","% 53,5","% 81,9","5,6",,"2,2","% 60,0","% 60,0","% 100,0",,10,19,29,6,79
2024,SABANCI ÜNİVERSİTESİ,vak�f,Mühendislik ve Doğa Bilimleri Fakültesi,Mühendislik ve Doğa Bilimleri Programları,205110117,SAY,İngilizce,100,81,81,,,,İSTANBUL ,,---,---,1,1.288,12,2.129,9.013,,,"% 81,4",,1.205,,"% 27,3","% 57,1","% 92,7","4,1",,"1,4","% 82,6","% 94,2","% 100,0",,459,271,730,81,146
2024,KOÇ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Makine Mühendisliği,203910487,SAY,İngilizce,100,9,9,,,,İSTANBUL ,,9,2,1,1.391,466,2.238,7.131,,,"% 100,0",,366,,"% 17,5","% 39,6","% 77,6","6,4",,"2,5","% 33,3","% 66,7","% 100,0",,64,72,136,20,78
2024,KOÇ ÜNİVERSİTESİ,vak�f,Fen Fakültesi,Moleküler Biyoloji ve Genetik,203910557,SAY,İngilizce,100,3,3,,,,İSTANBUL ,,2,1,5,1.419,100,1.67,4.109,,,"% 80,0",,331,,"% 29,9","% 55,3","% 79,5","5,5",,"1,8","% 40,0","% 100,0","% 100,0",,13,16,29,8,66
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Endüstri Mühendisliği,202110444,SAY,İngilizce,100,42,42,,,,ANKARA,İç Anadolu,8,5,3,1.676,317,2.899,12.883,,,"% 76,1","% 32,6",1.071,,"% 18,4","% 48,1","% 88,8","4,8",,"2,1","% 50,0","% 80,4","% 100,0",,317,205,522,169,231
2024,ÖZYEĞİN ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Bilgisayar Mühendisliği,204810176,SAY,İngilizce,100,8,8,,,,İSTANBUL,Marmara,5,---,6,1.734,1.312,3.381,7.922,,,"% 100,0","% 20,0",442,,"% 5,7","% 22,4","% 74,4","7,4",,"3,6","% 10,0","% 50,0","% 100,0",,77,34,111,50,103
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Bilgisayar Mühendisliği,205410114,SAY,,100,13,13,,,,ANKARA ,,3,---,4,1.804,1.042,3.488,15.494,,,"% 62,5",,790,,"% 7,8","% 31,8","% 83,0","6,1",,"2,8","% 18,8","% 75,0","% 100,0",,95,66,161,58,77
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Makine Mühendisliği,202110877,SAY,İngilizce,100,26,26,,,,ANKARA,İç Anadolu,1,5,2,2.086,308,4.518,21.616,,,"% 51,7","% 55,2",747,,"% 13,4","% 37,1","% 83,5","5,8",,"2,4","% 44,8","% 82,8","% 100,0",,152,103,255,78,127
