academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Tarih,102210198,SÖZ,İngilizce,,30,30,,,,İSTANBUL ,,7,5,6,259,3,72.465,183.853,,,"% 61,3",,1.217,,"% 41,2","% 66,1","% 88,4","4,2",,"1,2","% 90,3","% 100,0","% 100,0",,102,72,174,91,431
2024,GALATASARAY ÜNİVERSİTESİ,devlet,İletişim Fakültesi,İletişim,104010113,SÖZ,Fransızca,,30,30,,,,İSTANBUL ,,3,4,4,385,11,83.983,225.136,,,"% 75,0",,946,,"% 37,6","% 59,8","% 85,2","4,6",,"1,9","% 59,4","% 87,5","% 100,0",,142,108,250,30,313
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Türk Dili ve Edebiyatı,102210205,SÖZ,İngilizce,,30,30,,,,İSTANBUL ,,4,3,6,552,23,128.592,260.035,,,"% 74,2",,898,,"% 30,5","% 64,7","% 88,2","4,3",,"2,0","% 54,8","% 90,3","% 96,8",,180,48,228,61,401
2024,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Tarih,108410196,SÖZ,İngilizce,,30,30,,,,ANKARA ,,6,2,5,766,109,139.755,261.102,,,"% 80,6",,1.014,,"% 29,4","% 59,6","% 83,7","4,9",,"2,5","% 32,3","% 67,7","% 100,0",,177,54,231,123,388
2024,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,102210083,SÖZ,İngilizce,,40,40,,,,İSTANBUL ,,1,2,2,1.341,544,197.633,332.844,,,"% 63,4",,623,,"% 32,1","% 59,2","% 85,4","4,7",,"3,0","% 29,3","% 68,3","% 100,0",,281,87,368,98,268
2024,HACETTEPE ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,104811033,SÖZ,,,40,40,,,,ANKARA ,,2,1,1,1.377,194,197.41,358.628,,,"% 90,2",,1.24,,"% 44,8","% 63,5","% 87,0","4,3",,"1,1","% 90,2","% 100,0","% 100,0",,508,9,517,404,265
2024,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,108410099,SÖZ,İngilizce,,35,35,,,,ANKARA ,,2,2,1,1.878,276,202.623,323.143,,,"% 63,9",,581,,"% 27,4","% 57,8","% 82,6","5,1",,"1,8","% 55,6","% 88,9","% 100,0",,324,47,371,150,256
2024,İSTANBUL ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,Tarih,105610291,SÖZ,,,30,30,,,,İSTANBUL,Marmara,21,11,13,2.063,438,210.778,467.018,,,"% 35,5","% 74,2",1.138,,"% 20,8","% 46,8","% 81,2","5,6",,"2,6","% 12,9","% 87,1","% 100,0",,206,56,262,163,483
2024,ANKARA ÜNİVERSİTESİ,devlet,Eğitim Bilimleri Fakültesi,Özel Eğitim Öğretmenliği,101111394,SÖZ,,,45,45,,,,ANKARA,İç Anadolu,3,2,3,2.165,474,252.912,639.594,,,"% 87,2","% 29,8",1.593,,"% 15,4","% 57,1","% 84,2","5,0",,"2,0","% 21,3","% 93,6","% 100,0",,668,4,672,496,405
2024,ANKARA ÜNİVERSİTESİ,devlet,Dil ve Tarih Coğrafya Fakültesi,Tarih,101110324,SÖZ,,,30,30,,,,ANKARA,İç Anadolu,17,3,6,2.523,525,244.856,379.025,,,"% 83,9","% 29,0",1.29,,"% 19,7","% 46,9","% 77,3","6,2",,"2,4","% 16,1","% 87,1","% 100,0",,192,10,204,135,424
2024,GAZİ ÜNİVERSİTESİ,devlet,Gazi Eğitim Fakültesi,Özel Eğitim Öğretmenliği,104112153,SÖZ,,,50,50,,,,ANKARA ,,6,6,3,2.575,1.036,301.787,493.859,,,"% 96,2",,2.053,,"% 17,5","% 56,0","% 85,5","5,0",,"2,3","% 23,1","% 94,2","% 100,0",,732,1,733,591,487
2024,MARMARA ÜNİVERSİTESİ,devlet,İlahiyat Fakültesi,İlahiyat,107211181,SÖZ,Arapça,,35,35,,,,İSTANBUL ,,68,25,25,2.848,60,208.608,471.021,,,"% 66,7",,884,,"% 30,5","% 60,0","% 85,7","4,7",,"1,5","% 80,6","% 94,4","% 100,0",,223,39,262,173,156
2024,EGE ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,103410915,SÖZ,,,50,50,,,,İZMİR,Ege,---,1,2,3.23,1.525,314.224,534.234,,,"% 90,4","% 28,8",1.213,,"% 20,5","% 44,8","% 79,6","6,0",,"2,2","% 48,1","% 78,8","% 100,0",,698,5,703,608,303
2024,GALATASARAY ÜNİVERSİTESİ,devlet,İletişim Fakültesi,İletişim (KKTC Uyruklu),104070070,SÖZ,Fransızca,,1,1,,,,İSTANBUL ,,3,4,4,3.285,3.285,92.554,92.554,,,,,13,,"% 23,1","% 38,5","% 92,3","5,4",,"1,0","% 100,0","% 100,0","% 100,0",,10,3,13,1,1
2024,HACETTEPE ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,104810308,SÖZ,,,50,50,,,,ANKARA ,,3,1,3,3.506,741,272.514,440.021,,,"% 84,6",,993,,"% 20,7","% 48,2","% 78,0","5,9",,"2,7","% 25,0","% 76,9","% 100,0",,579,6,586,306,384
2024,MARMARA ÜNİVERSİTESİ,devlet,Atatürk Eğitim Fakültesi,Özel Eğitim Öğretmenliği,107211206,SÖZ,,,50,50,,,,İSTANBUL ,,2,2,2,3.588,616,315.485,668.746,,,"% 78,8",,1.201,,"% 23,4","% 47,1","% 83,4","5,5",,"2,0","% 51,9","% 80,8","% 100,0",,547,32,579,443,530
2024,ANADOLU ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,101011305,SÖZ,,,70,70,,,,ESKİŞEHİR,İç Anadolu,9,10,11,3.626,485,284.197,525.142,,,"% 97,2","% 20,8",2.265,,"% 12,8","% 36,1","% 82,2","6,0",,"3,1","% 27,8","% 51,4","% 100,0",,1061,16,1077,797,657
2024,MARMARA ÜNİVERSİTESİ,devlet,İlahiyat Fakültesi,İlahiyat (M.T.O.K.),107290436,SÖZ,Arapça,,5,5,,,,İSTANBUL ,,68,25,25,3.715,2.709,377.252,511.159,,,"% 80,0",,340,,"% 19,4","% 59,1","% 88,2","4,5",,"2,0","% 20,0","% 100,0","% 100,0",,37,2,39,18,6
2024,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,Tarih,104810177,SÖZ,,,30,30,,,,ANKARA ,,8,2,6,3.958,822,279.653,505.413,,,"% 74,2",,1.18,,"% 11,6","% 42,2","% 78,8","6,2",,"3,5","% 6,5","% 58,1","% 100,0",,196,35,231,127,408
2024,DOKUZ EYLÜL ÜNİVERSİTESİ,devlet,Buca Eğitim Fakültesi,Özel Eğitim Öğretmenliği,103111079,SÖZ,,,40,40,,,,İZMİR,Ege,3,2,1,4.392,985,347.479,803.539,,,"% 90,2","% 26,8",1.573,,"% 11,0","% 35,0","% 79,5","6,4",,"3,5","% 17,1","% 46,3","% 100,0",,638,---,638,503,392
