academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,KOÇ ÜNİVERSİTESİ,vak�f,İnsani Bilimler ve Edebiyat Fakültesi,Tarih,203910187,SÖZ,İngilizce,100,2,2,,,,İSTANBUL ,,1,2,1,43,43,34.106,55.674,,,"% 66,7",,238,,"% 32,4","% 58,8","% 85,3","5,1",,"1,7","% 66,7","% 100,0","% 100,0",,5,9,14,4,32
2024,KOÇ ÜNİVERSİTESİ,vak�f,İnsani Bilimler ve Edebiyat Fakültesi,Medya ve Görsel Sanatlar,203910724,SÖZ,İngilizce,100,9,9,,,,İSTANBUL ,,1,7,2,65,9,24.355,54.991,,,"% 81,8",,281,,"% 43,8","% 68,7","% 89,0","4,1",,"1,5","% 81,8","% 90,9","% 100,0",,11,50,61,9,104
2024,KOÇ ÜNİVERSİTESİ,vak�f,İnsani Bilimler ve Edebiyat Fakültesi,Arkeoloji ve Sanat Tarihi,203910018,SÖZ,İngilizce,100,2,2,,,,İSTANBUL ,,5,2,1,67,66,71.571,91.749,,,"% 66,7",,194,,"% 18,0","% 55,2","% 79,4","5,7",,"2,3","% 0,0","% 100,0","% 100,0",,1,6,7,2,38
2024,ÖZYEĞİN ÜNİVERSİTESİ,vak�f,Mimarlık ve Tasarım Fakültesi,İletişim ve Tasarımı,204890044,SÖZ,İngilizce,100,4,4,,,,İSTANBUL,Marmara,---,1,5,133,64,48.435,91.459,,,"% 100,0",,204,,"% 18,6","% 54,4","% 91,2","4,3",,"2,6","% 40,0","% 60,0","% 100,0",,7,27,34,5,22
2024,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,vak�f,İlahiyat Fakültesi,İlahiyat,202210329,SÖZ,,100,8,8,,,,İSTANBUL,Marmara,7,2,8,258,20,47.896,117.718,,,"% 88,9","% 22,2",388,,"% 32,2","% 56,7","% 86,1","4,7",,"1,0","% 100,0","% 100,0","% 100,0",,26,21,47,32,116
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Fen-Edebiyat Fakültesi,Tarih,205410026,SÖZ,,100,3,3,,,,ANKARA ,,3,1,2,363,78,72.009,135.014,,,"% 75,0",,97,,"% 18,6","% 47,4","% 78,4","5,9",,"2,0","% 50,0","% 75,0","% 100,0",,18,17,35,12,12
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,İletişim ve Tasarımı,202190187,SÖZ,İngilizce,100,9,9,,,,ANKARA,İç Anadolu,1,1,1,366,74,93.715,242.127,,,"% 83,3","% 16,7",276,,"% 33,3","% 64,1","% 91,3","3,9",,"2,2","% 50,0","% 83,3","% 100,0",,25,41,66,20,48
2024,YEDİTEPE ÜNİVERSİTESİ,vak�f,Fen-Edebiyat Fakültesi,Tarih,206110283,SÖZ,İngilizce,100,3,3,,,,İSTANBUL ,,2,1,2,416,279,129.681,141.101,,,"% 50,0",,126,,"% 7,9","% 36,5","% 83,3","6,1",,"2,2","% 0,0","% 100,0","% 100,0",,9,15,24,12,19
2024,YEDİTEPE ÜNİVERSİTESİ,vak�f,Güzel Sanatlar Fakültesi,Gastronomi ve Mutfak Sanatları,206111845,SÖZ,İngilizce,100,9,9,,,,İSTANBUL ,,2,---,2,450,280,114.93,191.993,,,"% 54,5",,301,,"% 18,3","% 61,8","% 85,4","4,8",,"1,8","% 27,3","% 100,0","% 100,0",,15,43,58,29,52
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Mimarlık ve Tasarım Fakültesi,Görsel İletişim Tasarımı,205410892,SÖZ,,100,5,5,,,,ANKARA ,,2,---,2,467,120,116.299,153.437,,,"% 66,7",,146,,"% 19,2","% 52,1","% 87,0","5,1",,"2,8","% 33,3","% 50,0","% 100,0",,10,23,33,9,24
