academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2023,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,60,60,,,,İSTANBUL,Marmara,3,0,3,1.874,236,35.791,69.646,,,7.03,4.53,1212,,5.47,7.67,8.99,33,,17,"%78,1","%93,8","%98,4",,477,80,560,67,274
2022,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,65,65,,,,İSTANBUL,Marmara,3,0,3,1.507,146,27.312,65.281,,,6.12,5.97,1793,,5.88,8.03,9.25,30,,17,"%74,6","%89,6","%100,0",,353,57,410,71,212
2021,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Çeviribilimi,102270025,DİL,İngilizce,,65,65,,,,İSTANBUL,Marmara,2,1,3,2.037,365,42.218,84.409,,,7.16,4.93,1319,,6.17,8.07,9.19,29,,21,"%79,1","%88,1","%94,0",,414,109,525,78,67
2023,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,60,60,,,,İSTANBUL,Marmara,2,5,3,2.943,405,62.257,109.25,,,6.25,5.31,1369,,3.16,7.25,9.12,37,,21,"%40,6","%92,2","%98,4",,464,86,552,114,364
2022,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,65,65,,,,İSTANBUL,Marmara,1,3,7,2.364,238,51.549,94.868,,,6.12,4.63,1837,,3.13,7.4,8.99,35,,24,"%37,3","%86,6","%98,5",,518,125,643,121,368
2021,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,102210135,DİL,İngilizce,,65,65,,,,İSTANBUL,Marmara,1,3,5,2.528,444,66.122,129.05,,,5.82,5.52,1359,,3.36,7.62,9.23,34,,19,"%46,3","%92,5","%100,0",,429,157,586,167,330
2023,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Dilbilimi,102270026,DİL,İngilizce,,50,50,,,,İSTANBUL,Marmara,1,2,4,3.112,728,58.761,111.878,,,5,6.11,918,,1.83,6.66,8.91,44,,24,"%50,0","%87,0","%98,1",,407,68,475,53,232
2022,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Dilbilimi,102270026,DİL,İngilizce,,55,55,,,,İSTANBUL,Marmara,1,2,4,2.513,43,51.577,100.02,,,6.32,5.61,1175,,1.63,6.71,9.15,40,,23,"%28,1","%89,5","%100,0",,358,44,402,60,173
2021,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Dilbilimi,102270026,DİL,İngilizce,,55,55,,,,İSTANBUL,Marmara,1,2,4,2.745,470,83.901,258.793,,,6.14,4.91,933,,2.27,7.11,9.19,39,,19,"%64,9","%94,7","%98,2",,324,83,407,62,56
2023,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,102210056,DİL,İngilizce,,70,70,,,,İSTANBUL,Marmara,6,2,6,3.939,1.107,89.536,183.024,,,5.69,6.67,1578,,3.61,6.42,8.99,38,,25,"%40,3","%75,0","%98,6",,578,105,686,280,434
2022,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,102210056,DİL,İngilizce,,80,80,,,,İSTANBUL,Marmara,6,1,5,3.142,268,73.355,118.678,,,7.32,4.15,2212,,3.87,6.65,9.21,36,,28,"%24,4","%73,2","%98,8",,585,72,657,254,480
2021,BOĞAZİÇİ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,102210056,DİL,İngilizce,,90,90,,,,İSTANBUL,Marmara,6,0,7,3.542,821,99.432,194.32,,,6.77,4.62,1848,,4.11,6.76,9.15,36,,24,"%36,6","%76,3","%100,0",,745,113,858,378,454
2023,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,108410054,DİL,İngilizce,,70,70,,,,ANKARA,İç Anadolu,8,7,1,4.347,708,97.73,172.858,,,8.06,3.06,1697,,3.19,6.41,8.98,38,,22,"%61,1","%83,3","%97,2",,511,57,568,305,542
2022,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,108410054,DİL,İngilizce,,90,90,,,,ANKARA,İç Anadolu,6,6,4,4.71,1.347,105.521,188.279,,,8.71,2.8,1750,,2.71,6.3,9.09,38,,31,"%29,0","%64,5","%97,8",,728,69,797,395,553
2021,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,108410054,DİL,İngilizce,,100,100,,,,ANKARA,İç Anadolu,7,5,6,4.599,1.358,137.069,231.428,,,8.64,2.91,1367,,2.68,6.56,9.16,37,,23,"%28,2","%80,6","%100,0",,874,67,941,671,508
2023,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği (UOLP-Suny New Paltz),108410072,DİL,İngilizce,50,1,1,,,,ANKARA,İç Anadolu,8,7,1,6.641,6.641,196.677,196.677,,,10,0,34,,2.35,4.12,6.76,70,,40,"%0,0","%0,0","%100,0",,5,0,5,4,4
2022,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği (UOLP-SUNY New Paltz),108410072,DİL,İngilizce,50,1,1,,,,ANKARA,İç Anadolu,0,0,0,4.763,4.763,131.068,131.068,,,10,0,31,,3.55,6.13,8.39,50,,120,"%0,0","%0,0","%0,0",,18,6,24,3,
2021,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği (UOLP-SUNY New Paltz),108410072,DİL,İngilizce,50,1,1,,,,ANKARA,İç Anadolu,0,0,0,2.732,2.732,119.934,119.934,,,10,0,22,,5,6.36,9.55,34,,10,"%100,0","%100,0","%100,0",,6,1,7,2,
2023,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,104890460,DİL,Türkçe,,60,60,,,,ANKARA,İç Anadolu,1,1,5,4.025,1.429,92.349,162.294,,,7.66,3.44,1962,,3.48,5.94,8.84,41,,24,"%45,3","%82,8","%98,4",,352,95,447,165,374
2022,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,104890460,DİL,Türkçe,,70,70,,,,ANKARA,İç Anadolu,1,2,5,4.605,1.452,95.176,168.911,,,8.47,3.06,2168,,3.13,5.93,8.92,42,,30,"%25,0","%70,8","%98,6",,488,114,602,202,392
2021,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,104890460,DİL,Türkçe,,70,70,,,,ANKARA,İç Anadolu,2,2,10,4.23,1.656,111.989,191.068,,,8.19,3.33,1404,,3.01,6.08,9.12,41,,30,"%29,2","%73,6","%97,2",,529,114,644,214,373
2023,GALATASARAY ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Fransız Dili ve Edebiyatı,104010025,DİL,Fransızca,,30,30,,,,İSTANBUL,Marmara,1,1,1,3.682,1.349,87.348,137.751,,,4.69,7.19,624,,3.03,5.75,8.99,41,,24,"%56,3","%81,3","%96,9",,291,91,383,38,223
2022,GALATASARAY ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Fransız Dili ve Edebiyatı,104010025,DİL,Fransızca,,30,30,,,,İSTANBUL,Marmara,0,1,2,3.656,235,83.526,171.409,,,6.13,5.48,672,,2.99,5.39,8.9,43,,40,"%32,3","%54,8","%90,3",,233,44,277,37,199
2021,GALATASARAY ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Fransız Dili ve Edebiyatı,104010025,DİL,Fransızca,,30,30,,,,İSTANBUL,Marmara,0,2,1,3.247,494,88.385,264.328,,,5.81,5.81,605,,2.88,5.65,9.27,40,,21,"%51,6","%87,1","%100,0",,182,70,252,36,163
2023,HACETTEPE ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,104810274,DİL,İngilizce,,70,70,,,,ANKARA,İç Anadolu,4,0,3,5.492,792,137.524,223.694,,,9.03,2.78,1874,,1.88,6.1,8.91,41,,36,"%9,7","%65,3","%97,2",,668,51,720,432,425
2022,HACETTEPE ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,104810274,DİL,İngilizce,,90,90,,,,ANKARA,İç Anadolu,3,0,4,5.971,4.713,151.831,233.12,,,8.93,1.83,2081,,1.86,6.07,9.05,41,,38,"%3,2","%57,0","%98,9",,815,95,910,576,464
2021,HACETTEPE ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,İngilizce Öğretmenliği,104810274,DİL,İngilizce,,90,90,,,,ANKARA,İç Anadolu,3,0,4,5.68,4.142,168.719,318.63,,,9.14,2.58,1592,,1.81,6.19,9.06,41,,32,"%7,5","%75,3","%98,9",,836,50,887,662,485
2023,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,104810105,DİL,İngilizce,,60,60,,,,ANKARA,İç Anadolu,4,0,6,6.002,2.432,146.527,236.933,,,8.57,3.49,1831,,1.78,4.65,8.74,49,,35,"%14,3","%57,1","%98,4",,426,71,497,163,476
2022,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,104810105,DİL,İngilizce,,90,90,,,,ANKARA,İç Anadolu,3,1,5,7.071,2.872,168.707,320.299,,,7.63,3.76,1886,,1.46,4.16,8.49,53,,44,"%11,8","%48,4","%94,6",,742,142,884,336,521
2021,HACETTEPE ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı,104810105,DİL,İngilizce,,90,90,,,,ANKARA,İç Anadolu,5,1,4,6.991,2.912,198.355,345.433,,,7.2,4.09,1304,,1.68,4.59,8.69,50,,34,"%21,5","%60,2","%97,8",,731,101,832,324,516
2023,İSTANBUL ÜNİVERSİTESİ,devlet,Edebiyat Fakültesi,İngilizce Mütercim ve Tercümanlık,105690658,DİL,Türkçe,,60,60,,,,İSTANBUL,Marmara,2,0,3,5.936,1.588,134.58,217.214,,,5.47,6.56,1465,,1.77,4.35,8.84,49,,44,"%6,3","%37,5","%98,4",,616,53,669,199,272
