bolum,fakulte,universite,burs,sehir,dil,score_last,range_last,score_first,range_first,faculty_member_count,year,enrollment,capacity,Oran,demand,ratio_same_city,number_same_city,average_range,min_range,average_score,min_score,range_average_demand,range_first_demand,number_first_preference_enrollment,number_three_preference_enrollment,number_ten_preference_enrollment,enroll_average_range,number_preference_same_city,number_preference_same_department,total_preference,average_enrollment_rate_same_faculty_university,average_enrollment_rate_same_university,average_enrollment_rate_same_department_private_universities,average_enrollment_rate_same_department_state_universities,demand_capacity_same_department_private_universities,demand_capacity_same_department_state_universities,demand_capacity_same_faculty_university,average_demand_change_percentage_years_same_department,faculty_student_ratio_in_university
Psikoloji (İngilizce),İnsan ve Toplum Bilimleri Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"326,61222",86755,"374,74734",21866,3,2021,62,62,1,677,"46,8",29,206828,438747,"289,642","241,788","8,2",125,28,50,61,"2,8",116,501,669,1,"0,98",0,1,0,1.33,8.63,-14282476,60.08
Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce),İnsan ve Toplum Bilimleri Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"265,5697",288398,"417,86749",4099,3,2021,62,62,1,393,"67,7",42,400917,848597,"252,869","203,272","7,2",51,25,48,57,"3,5",232,105,587,1,"0,98",0,1,0,0,8.63,-4181868,60.08
Mimarlık (İngilizce),Mimarlık Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"313,71951",140075,"366,49548",74190,5,2021,72,72,1,385,"61,1",44,149609,374718,"309,271","250,826","7,6",52,24,39,69,"3,9",263,411,777,1,"0,98",0,1,0,2.38,5.35,-7859717,60.08
Makine Mühendisliği (İngilizce),Mühendislik Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"307,5328",150248,"388,79917",52940,5,2021,62,62,1,319,"37,1",23,168909,454023,"302,562","239,808","9,9",14,6,17,49,"6,7",240,375,993,"0,96","0,98",0,1,0,5.18,7.34,-11053585,60.08
Bilgisayar Mühendisliği (İngilizce),Mühendislik Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"397,93665",45263,"444,40481",14439,6,2021,72,72,1,997,"27,8",20,54466,112334,"357,313","321,344","8,2",153,15,22,54,"7,1",110,622,1044,"0,96","0,98",0,1,0,0.93,7.34,-62656365,60.08
Endüstri Mühendisliği (İngilizce),Mühendislik Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"353,09513",88458,"397,24826",45849,6,2021,72,72,1,550,"31,9",23,93121,199238,"334,095","288,248","8,5",67,13,29,57,"6,5",191,389,954,"0,96","0,98",0,1,0,0,7.34,-16546347,60.08
İnşaat Mühendisliği (İngilizce),Mühendislik Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"247,9035",299779,"342,16949",101247,8,2021,59,72,"0,8194444444",285,"47,5",28,369127,787169,"256,833","207,829","11,4",10,10,21,50,"6,1",296,362,906,"0,96","0,98",0,"0,92",0,7.74,7.34,-5805599,60.08
Elektrik-Elektronik Mühendisliği (İngilizce),Mühendislik Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"361,66609",79152,"405,42869",39114,10,2021,82,82,1,492,"41,5",34,89918,183123,"335,323","293,347","9,1",37,5,21,56,"8,1",215,538,1251,"0,96","0,98",0,1,0,2.58,7.34,-29650833,60.08
Moleküler Biyoloji ve Genetik (İngilizce) (KKTC Uyruklu),Yaşam ve Doğa Bilimleri Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,0,0,0,0,0,2021,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,98","0,98",0,0,0,0.0,0,0,60.08
Biyomühendislik (İngilizce),Yaşam ve Doğa Bilimleri Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"259,67264",259785,"421,48992",27444,5,2021,62,62,1,219,"41,9",26,275467,949204,"275,672","194,727",9,14,6,23,51,"6,1",272,133,717,"0,98","0,98",0,"0,96",0,0,0,-355611,60.08
Moleküler Biyoloji ve Genetik (İngilizce),Yaşam ve Doğa Bilimleri Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"318,23908",133155,"402,008",41836,5,2021,62,62,1,467,"33,9",21,126468,311459,"318,897","261,726","7,3",73,20,39,58,"3,9",137,256,682,"0,98","0,98",0,1,0,1.75,0,-10746946,60.08
Ekonomi (İngilizce),Yönetim Bilimleri Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"256,7576",338007,"381,18943",17335,3,2021,52,52,1,292,"76,9",40,401783,871457,"252,343","201,625","6,2",33,14,36,50,"3,5",234,63,512,1,"0,98",0,1,0,10.19,0,-8.24,60.08
İşletme (İngilizce),Yönetim Bilimleri Fakültesi,ABDULLAH GÜL ÜNİVERSİTESİ,Ücretsiz,KAYSERİ,İngilizce,"273,70601",248276,"346,00722",53681,4,2021,62,62,1,404,"72,6",45,359014,808901,"257,623","206,178","6,9",98,37,49,59,"2,7",212,187,485,1,"0,98",0,"0,95",0,3.79,0,-25115719,60.08
Eczacılık (İngilizce) (25 İndirimli),Eczacılık Fakültesi (İngilizce) (25 İndirimli),ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,25 İndirimli,İSTANBUL,İngilizce,"373,87838",66776,"409,72322",35698,0,2021,12,12,1,362,"33,3",4,80348,138455,"340,849","309,636","9,6",13,2,5,10,"5,8",125,107,149,1,"0,88",1,0,10.94,0,30.17,9.65,0
Eczacılık (İngilizce) (Burslu),Eczacılık Fakültesi (İngilizce) (Burslu),ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Burslu,İSTANBUL,İngilizce,"423,60121",26069,"441,91548",15617,14,2021,8,8,1,399,"12,5",1,35456,84000,"375,021","336,281","8,2",89,4,6,8,3,63,49,82,1,"0,88",1,0,55.41,0,49.88,19.96,0
Eczacılık (İngilizce) (Ücretli),Eczacılık Fakültesi (İngilizce) (Ücretli),ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Ücretli,İSTANBUL,İngilizce,"353,15503",88397,"367,17216",73498,0,2021,33,33,1,256,"30,3",10,108839,246110,"325,457","275,643","10,7",1,0,6,27,"6,9",438,432,569,1,"0,88",1,0,8.65,0,7.76,4.79,0
Psikoloji (İngilizce) (25 İndirimli),Fen-Edebiyat Fakültesi,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,25 İndirimli,İSTANBUL,İngilizce,"294,06493",169774,"316,17979",109132,0,2021,10,10,1,207,90,9,325742,552421,"264,794","228,577","6,8",8,0,4,9,"5,4",99,86,109,"0,96","0,88","0,89",0,6.66,0,9.49,0,0
Sosyoloji (50 İndirimli),Fen-Edebiyat Fakültesi,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,50 İndirimli,İSTANBUL,Türkçe,"229,46343",534480,"278,86383",226022,0,2021,11,16,"0,6875",56,"81,8",9,727264,988491,"213,639","191,205","8,2",2,2,8,10,"3,9",77,39,87,"0,96","0,88","0,17",0,0.8,0,9.49,-6.46,0
