academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount,baseScore,topScore
2023.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,70,72,,,,KAYSERİ,İç Anadolu,1.0,0.0,8.0,167478,64698.0,177027.0,501130.0,,,4.17,7.08,426.0,,1.22,2.86,6.53,8.0,,5.0,"%22,2","%50,0","%88,9",,762.0,34.0,796,344,342.0,361.32470,442.96066
2022.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,70,72,,,,KAYSERİ,İç Anadolu,1.0,0.0,5.0,162040,92887.0,178282.0,446246.0,,,4.58,6.39,429.0,,1.35,2.89,6.29,8.3,,4.2,"%38,9","%65,3","%87,5",,806.0,58.0,864,379,305.0,358.17297,412.18169
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,70,70,,,,KAYSERİ,İç Anadolu,1.0,0.0,4.0,140075,74190.0,149609.0,374718.0,,,3.89,7.22,385.0,,1.35,2.96,6.7,7.6,,3.9,"%33,3","%54,2","%95,8",,686.0,91.0,777,411,224.0,397.93665,444.40481
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,60,62,,,,KAYSERİ,İç Anadolu,1.0,0.0,8.0,178370,87.866,180.768,421.906,,,4.84,6.94,416.0,,0.96,2.48,6.25,8.3,,4.9,"% 21,0","% 45,2","% 88,7",,700.0,24.0,724,322,342.0,333.46626,395.06894
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,72,72,,,,KAYSERİ,İç Anadolu,,,,140075,74190,149609,374718,,,3.89,,385.0,,1.35,,,7.6,,3.9,"%33,3","%54,2","%95,8",,,,777,411,,397.93665,444.40481
2020.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,107507,51223,116497,312200,,,5.81,,499.0,,1.14,,,8,,5.1,"%25,8","%48,4","%90,3",,,,835,416,,0.00000,226.07479
2019.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,86951,31553.0,80885.0,220279.0,,,4.84,,254.0,,1.06,,,8.1,,5.2,"%16,1","%40,3","%88,7",,,,858,418,,,
2023.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,75,75,,,,KAYSERİ,İç Anadolu,0.0,1.0,5.0,39283,13882.0,44487.0,158876.0,,,6.75,5.2,1099.0,,2.04,3.54,6.5,8.1,,6.5,"%20,8","%32,5","%79,2",,1090.0,66.0,1156,602,383.0,471.55314,507.97368
2022.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,75,75,,,,KAYSERİ,İç Anadolu,1.0,1.0,6.0,40125,9658.0,41365.0,114126.0,,,6.49,5.2,1534.0,,1.51,2.95,6.59,8.1,,7.2,"%15,6","%27,3","%74,0",,913.0,104.0,1017,696,362.0,469.42657,513.57950
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,70,70,,,,KAYSERİ,İç Anadolu,1.0,1.0,4.0,45263,14439.0,54466.0,112334.0,,,7.22,5.83,997.0,,1.53,3.1,6.57,8.2,,7.1,"%20,8","%30,6","%75,0",,946.0,93.0,1044,622,243.0,0.00000,0.00000
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,80,80,,,,KAYSERİ,İç Anadolu,0.0,1.0,5.0,46890,9.37,47.687,127.49,,,6.1,6.1,873.0,,1.78,3.47,6.9,7.5,,4.8,"% 28,0","% 47,6","% 91,5",,1008.0,48.0,1056,424,383.0,439.02957,503.07244
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,72,72,,,,KAYSERİ,İç Anadolu,,,,45263,14439,54466,112334,,,7.22,,997.0,,1.53,,,8.2,,7.1,"%20,8","%30,5","%75,0",,,,1044,622,,0.00000,0.00000
2020.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,72,72,,,,KAYSERİ,İç Anadolu,,,,44794,11960,51772,125931,,,7.5,,959.0,,1.77,,,7.8,,7,"%15,2","%26,4","%80,6",,,,1005,536,,462.23341,511.01145
2019.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,40724,16869.0,47950.0,95062.0,,,4.19,,471.0,,1.3,,,8.2,,6.2,"%16,1","%35,5","%79,0",,,,888,393,,,
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği(KKTCUyruklu),106510098.0,SAY,İngilizce,,1,0,,,,KAYSERİ,İç Anadolu,0.0,1.0,5.0,Dolmadı,,,,,,,,6.0,,0.0,0.0,3.3299999999999996,10.3,,,,,,,0.0,0.0,0,0,,Do.lmadı,---
2023.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,85,85,,,,KAYSERİ,İç Anadolu,2.0,0.0,7.0,74294,42391.0,80687.0,217521.0,,,6.25,5.8,987.0,,0.65,2.29,5.59,9.6,,7.9,"%9,1","%27,3","%69,3",,1182.0,93.0,1278,488,381.0,432.84083,467.83609
2022.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,85,85,,,,KAYSERİ,İç Anadolu,3.0,3.0,6.0,78121,36721.0,87815.0,214122.0,,,5.68,6.93,755.0,,0.62,2.3,5.81,9.2,,8.3,"%9,1","%23,9","%70,5",,1103.0,68.0,1172,351,349.0,426.59799,473.66943
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,80,80,,,,KAYSERİ,İç Anadolu,2.0,4.0,4.0,79152,39114.0,89918.0,183123.0,,,5.85,6.1,492.0,,0.75,2.48,5.73,9.1,,8.1,"%6,1","%25,6","%68,3",,1143.0,106.0,1251,538,240.0,423.60121,441.91548
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,85,85,,,,KAYSERİ,İç Anadolu,2.0,0.0,7.0,76264,23.225,79.903,181.703,,,6.0200000000000005,6.14,1.182,,0.67,2.05,5.58,9.7,,6.8,"% 15,9","% 40,9","% 77,3",,1072.0,71.0,1145,378,381.0,406.17442,473.57885
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,82,82,,,,KAYSERİ,İç Anadolu,,,,79152,39114,89918,183123,,,5.85,,492.0,,0.75,,,9.1,,8.1,"%6,1","%25,6","%68,3",,,,1251,538,,423.60121,441.91548
2020.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,72,72,,,,KAYSERİ,İç Anadolu,,,,64159,32065,69179,145967,,,6.39,,590.0,,0.63,,,8.9,,9,"%11,1","%26,4","%61,1",,,,1060,356,,327.44617,346.18416
2019.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,52177,21514.0,69206.0,169567.0,,,2.1,,338.0,,0.71,,,8.6,,7.1,"%6,5","%24,2","%77,4",,,,1030,421,,,
2023.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,EndüstriMühendisliği,106510023.0,SAY,İngilizce,,70,70,,,,KAYSERİ,İç Anadolu,0.0,2.0,4.0,77203,44511.0,85842.0,206470.0,,,7.22,5.14,850.0,,0.95,2.56,5.88,9.2,,7.2,"%13,9","%26,4","%75,0",,886.0,109.0,998,418,359.0,429.99227,465.40819
2022.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,EndüstriMühendisliği,106510023.0,SAY,İngilizce,,70,70,,,,KAYSERİ,İç Anadolu,1.0,2.0,4.0,81355,42509.0,92440.0,227472.0,,,7.08,4.58,739.0,,0.81,2.57,6.01,9.0,,7.2,"%11,1","%31,9","%75,0",,861.0,80.0,942,356,347.0,423.42621,466.58148
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,EndüstriMühendisliği,106510023.0,SAY,İngilizce,,70,70,,,,KAYSERİ,İç Anadolu,2.0,1.0,3.0,88458,45849.0,93121.0,199238.0,,,6.81,4.44,550.0,,1.22,2.69,6.36,8.5,,6.5,"%18,1","%40,3","%79,2",,886.0,68.0,954,389,241.0,318.23908,402.00800
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,EndüstriMühendisliği,106510023.0,SAY,İngilizce,,75,75,,,,KAYSERİ,İç Anadolu,0.0,2.0,4.0,85623,43.917,85.742,189.932,,,7.140000000000001,5.84,849.0,,0.61,2.04,5.49,9.7,,6.6,"% 15,6","% 29,9","% 79,2",,1093.0,82.0,1175,375,359.0,397.13988,442.80691
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,EndüstriMühendisliği,106510023.0,SAY,İngilizce,,72,72,,,,KAYSERİ,İç Anadolu,,,,88458,45849,93121,199238,,,6.81,,550.0,,1.22,,,8.5,,6.5,"%18,0","%40,3","%79,2",,,,954,389,,318.23908,402.00800
2020.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,EndüstriMühendisliği,106510023.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,86991,46263,100705,287610,,,7.1,,555.0,,0.59,,,9.5,,7.8,"%8,1","%25,8","%72,6",,,,870,345,,380.22762,467.68543
2019.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,EndüstriMühendisliği,106510023.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,79454,34162.0,80302.0,164103.0,,,2.42,,327.0,,0.31,,,9.7,,6.3,"%4,8","%37,1","%80,6",,,,881,356,,,
2023.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,MakineMühendisliği,106510041.0,SAY,İngilizce,,60,62,,,,KAYSERİ,İç Anadolu,0.0,1.0,4.0,126983,78202.0,149380.0,309752.0,,,4.03,7.9,746.0,,0.79,2.16,5.75,9.5,,6.7,"%9,7","%32,3","%80,6",,776.0,22.0,798,231,281.0,387.46548,429.01494
2022.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,MakineMühendisliği,106510041.0,SAY,İngilizce,,60,62,,,,KAYSERİ,İç Anadolu,0.0,1.0,2.0,143349,78827.0,136894.0,250682.0,,,5.81,6.77,599.0,,0.68,1.92,5.56,9.7,,7.9,"%8,1","%27,4","%71,0",,822.0,33.0,855,257,270.0,370.55295,425.93218
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,MakineMühendisliği,106510041.0,SAY,İngilizce,,60,61,,,,KAYSERİ,İç Anadolu,1.0,1.0,3.0,150248,52940.0,168909.0,454023.0,,,6.29,6.45,319.0,,0.44,1.82,5.3,9.9,,6.7,"%9,7","%27,4","%79,0",,947.0,45.0,993,375,204.0,247.90350,342.16949
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,MakineMühendisliği,106510041.0,SAY,İngilizce,,65,66,,,,KAYSERİ,İç Anadolu,0.0,1.0,4.0,122318,72.447,131.754,309.491,,,5.970000000000001,6.57,930.0,,0.48,1.61,5.39,9.9,,4.7,"% 11,9","% 43,3","% 95,5",,712.0,27.0,739,216,281.0,366.79266,409.96831
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,MakineMühendisliği,106510041.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,150248,52940,168909,454023,,,6.29,,319.0,,0.44,,,9.9,,6.7,"%9,70","%27,4","%79,0",,,,993,375,,247.90350,342.16949
2020.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,MakineMühendisliği,106510041.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,98670,59737,121830,289699,,,5.97,,353.0,,0.82,,,9,,7.8,"%6,5","%25,8","%74,2",,,,921,317,,368.80607,487.94135
2019.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,MakineMühendisliği,106510041.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,77021,32041.0,87967.0,201966.0,,,2.9,,278.0,,0.83,,,9.4,,6.8,"%14,4","%32,3","%79,0",,,,874,336,,,
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,MalzemeBilimiveNanoteknolojiMühendisliği,106510105.0,SAY,İngilizce,,20,20,,,,KAYSERİ,İç Anadolu,3.0,1.0,4.0,146879,54.452,124.438,372.343,,,3.81,7.140000000000001,310.0,,0.97,2.13,5.9,9.2,,3.8,"% 38,1","% 57,1","% 95,2",,256.0,5.0,261,19,,350.74195,429.83666
2023.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,İnşaatMühendisliği,106510032.0,SAY,İngilizce,,70,72,,,,KAYSERİ,İç Anadolu,3.0,2.0,3.0,299665,104095.0,339085.0,659108.0,,,1.67,8.89,225.0,,0.98,2.22,6.04,9.2,,5.0,"%30,6","%44,4","%88,9",,756.0,104.0,869,259,257.0,307.75636,405.36731
2022.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,İnşaatMühendisliği,106510032.0,SAY,İngilizce,,70,48,,,,KAYSERİ,İç Anadolu,3.0,1.0,4.0,297945,100867.0,322605.0,737608.0,,,2.29,8.33,185.0,,0.38,1.41,5.24,10.6,,5.9,"%14,6","%37,5","%81,3",,546.0,61.0,607,243,242.0,298.58385,404.71507
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,İnşaatMühendisliği,106510032.0,SAY,İngilizce,,70,59,,,,KAYSERİ,İç Anadolu,1.0,3.0,4.0,299779,101247.0,369127.0,787169.0,,,5.25,6.78,285.0,,0.35,1.19,4.28,11.4,,6.1,"%16,9","%35,6","%84,7",,846.0,60.0,906,362,198.0,273.70601,346.00722
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,İnşaatMühendisliği,106510032.0,SAY,İngilizce,,40,41,,,,KAYSERİ,İç Anadolu,3.0,2.0,3.0,265278,114.61,280.086,539.627,,,2.93,8.290000000000001,416.0,,0.6,1.51,4.16,11.6,,5.1,"% 24,4","% 51,2","% 87,8",,485.0,35.0,523,138,257.0,299.90795,372.58306
