academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount,baseScore,topScore
2023.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,70,72,,,,KAYSERİ,İç Anadolu,1.0,0.0,8.0,167478,64698,177027,501130,,,4.17,7.08,426,,1.22,2.86,6.53,8.0,,5.0,"%22,2","%50,0","%88,9",,762,34,796,344,342,361.32470,442.96066
2022.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,70,72,,,,KAYSERİ,İç Anadolu,1.0,0.0,5.0,162040,92887,178282,446246,,,4.58,6.39,429,,1.35,2.89,6.29,8.3,,4.2,"%38,9","%65,3","%87,5",,806,58,864,379,305,358.17297,412.18169
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,70,70,,,,KAYSERİ,İç Anadolu,1.0,0.0,4.0,140075,74190,149609,374718,,,3.89,7.22,385,,1.35,2.96,6.7,7.6,,3.9,"%33,3","%54,2","%95,8",,686,91,777,411,224,397.93665,444.40481
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,60,62,,,,KAYSERİ,İç Anadolu,1.0,0.0,8.0,178370,87866,180768,421906,,,4.84,6.94,416,,0.96,2.48,6.25,8.3,,4.9,"% 21,0","% 45,2","% 88,7",,700,24,724,322,342,333.46626,395.06894
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,72,72,,,,KAYSERİ,İç Anadolu,,,,140075,74190,149609,374718,,,3.89,,385,,1.35,,,7.6,,3.9,"%33,3","%54,2","%95,8",,,,777,411,,397.93665,444.40481
2020.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,107507,51223,116497,312200,,,5.81,,499,,1.14,,,8.0,,5.1,"%25,8","%48,4","%90,3",,,,835,416,,0.00000,226.07479
2019.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mimarlık Fakültesi,Mimarlık,106510014.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,86951,31553,80885,220279,,,4.84,,254,,1.06,,,8.1,,5.2,"%16,1","%40,3","%88,7",,,,858,418,,,
2023.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,75,75,,,,KAYSERİ,İç Anadolu,0.0,1.0,5.0,39283,13882,44487,158876,,,6.75,5.2,1099,,2.04,3.54,6.5,8.1,,6.5,"%20,8","%32,5","%79,2",,1090,66,1156,602,383,471.55314,507.97368
2022.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,75,75,,,,KAYSERİ,İç Anadolu,1.0,1.0,6.0,40125,9658,41365,114126,,,6.49,5.2,1534,,1.51,2.95,6.59,8.1,,7.2,"%15,6","%27,3","%74,0",,913,104,1017,696,362,469.42657,513.57950
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,70,70,,,,KAYSERİ,İç Anadolu,1.0,1.0,4.0,45263,14439,54466,112334,,,7.22,5.83,997,,1.53,3.1,6.57,8.2,,7.1,"%20,8","%30,6","%75,0",,946,93,1044,622,243,0.00000,0.00000
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,80,80,,,,KAYSERİ,İç Anadolu,0.0,1.0,5.0,46890,9370,47687,127490,,,6.1,6.1,873,,1.78,3.47,6.9,7.5,,4.8,"% 28,0","% 47,6","% 91,5",,1008,48,1056,424,383,439.02957,503.07244
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,72,72,,,,KAYSERİ,İç Anadolu,,,,45263,14439,54466,112334,,,7.22,,997,,1.53,,,8.2,,7.1,"%20,8","%30,5","%75,0",,,,1044,622,,0.00000,0.00000
2020.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,72,72,,,,KAYSERİ,İç Anadolu,,,,44794,11960,51772,125931,,,7.5,,959,,1.77,,,7.8,,7.0,"%15,2","%26,4","%80,6",,,,1005,536,,462.23341,511.01145
2019.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği,106510077.0,SAY,İngilizce,,62,62,,,,KAYSERİ,İç Anadolu,,,,40724,16869,47950,95062,,,4.19,,471,,1.3,,,8.2,,6.2,"%16,1","%35,5","%79,0",,,,888,393,,,
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,BilgisayarMühendisliği(KKTCUyruklu),106510098.0,SAY,İngilizce,,1,0,,,,KAYSERİ,İç Anadolu,0.0,1.0,5.0,Dolmadı,,,,,,,,6,,0.0,0.0,3.33,10.3,,,,,,,0,0,0,0,,Do.lmadı,---
2023.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,85,85,,,,KAYSERİ,İç Anadolu,2.0,0.0,7.0,74294,42391,80687,217521,,,6.25,5.8,987,,0.65,2.29,5.59,9.6,,7.9,"%9,1","%27,3","%69,3",,1182,93,1278,488,381,432.84083,467.83609
2022.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,85,85,,,,KAYSERİ,İç Anadolu,3.0,3.0,6.0,78121,36721,87815,214122,,,5.68,6.93,755,,0.62,2.3,5.81,9.2,,8.3,"%9,1","%23,9","%70,5",,1103,68,1172,351,349,426.59799,473.66943
2021.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,80,80,,,,KAYSERİ,İç Anadolu,2.0,4.0,4.0,79152,39114,89918,183123,,,5.85,6.1,492,,0.75,2.48,5.73,9.1,,8.1,"%6,1","%25,6","%68,3",,1143,106,1251,538,240,423.60121,441.91548
2024.0,ABDULLAH GÜL ÜNİVERSİTESİ,devlet,Mühendislik Fakültesi,Elektrik-ElektronikMühendisliği,106510068.0,SAY,İngilizce,,85,85,,,,KAYSERİ,İç Anadolu,2.0,0.0,7.0,76264,23225,79903,181703,,,6.0200000000000005,6.14,1182,,0.67,2.05,5.58,9.7,,6.8,"% 15,9","% 40,9","% 77,3",,1072,71,1145,378,381,406.17442,473.57885
