academicYear,idOSYM,baseScore,topScore
2023,102270025,"50,865,150","53,822,539"
2022,102270025,"50,966,723","53,999,854"
2023,102210135,"49,709,830","53,364,926"
2022,102210135,"49,963,599","53,532,775"
2023,102270026,"49,528,200","52,591,945"
2022,102270026,"49,793,825","54,856,596"
2023,102210056,"48,814,090","51,866,089"
2022,102210056,"49,166,148","53,434,648"
2023,108410054,"48,504,593","52,625,149"
2022,108410054,"47,798,369","51,214,759"
2023,108410072,"47,001,713","47,001,713"
2022,108410072,"47,751,039","47,751,039"
2023,104890460,"48,744,458","51,412,998"
2022,104890460,"47,872,382","51,039,697"
2023,104010025,"49,021,389","51,510,395"
2022,104010025,"48,692,975","53,539,535"
2023,104810274,"47,693,341","52,479,241"
2022,104810274,"46,908,730","47,796,551"
2023,104810105,"47,379,271","50,255,971"
2022,104810105,"46,264,697","49,411,850"
2023,105690658,"47,416,472","51,219,887"
2022,105690658,"47,238,721","49,604,643"
2023,110110022,"45,943,422","48,308,938"
2022,110110022,"45,720,061","47,668,496"
2023,107290342,"46,825,829","48,922,049"
2022,107290342,"46,661,858","49,001,685"
2023,103490363,"46,752,156","49,405,302"
2022,103490363,"46,160,831","50,330,827"
2023,104110306,"45,672,840","49,271,047"
2022,104110306,"44,742,488","47,228,574"
2023,104810098,"46,513,275","49,962,019"
2022,104810098,"45,601,935","51,389,407"
2023,107210102,"45,647,381","48,311,457"
2022,107210102,"45,864,121","48,408,893"
2023,104810044,"45,646,931","48,642,658"
2022,104810044,"44,213,064","46,966,558"
2023,103190561,"45,995,628","47,828,378"
2022,103190561,"45,301,669","47,701,692"
2023,105610185,"45,898,774","49,159,968"
2022,105610185,"45,943,488","49,893,716"
2023,103110106,"45,096,662","50,257,483"
2022,103110106,"44,718,601","48,045,079"
2023,101010122,"44,856,134","50,033,684"
2022,101010122,"44,260,237","47,932,597"
2023,101110193,"44,966,282","47,024,758"
2022,101110193,"43,878,363","46,243,528"
2023,103410087,"45,037,996","48,391,003"
2022,103410087,"44,386,059","48,721,281"
2023,100710012,"44,511,352","47,884,372"
2022,100710012,"44,038,481","46,851,458"
2023,111610449,"44,826,592","47,606,630"
2022,111610449,"44,773,120","46,689,964"
2023,110190095,"44,815,957","48,792,717"
2022,110190095,"43,333,719","47,596,346"
2023,104890458,"45,453,247","49,588,308"
2022,104890458,"44,131,912","48,382,187"
2023,102270027,"46,091,297","47,740,691"
2022,102270027,"46,825,478","46,825,478"
2023,103810462,"44,356,943","45,561,752"
2022,103810462,"43,824,168","45,460,972"
2023,109710066,"43,785,648","48,011,775"
2022,109710066,"43,322,665","47,047,346"
2023,104890457,"45,170,012","49,336,349"
2022,104890457,"44,042,923","50,707,394"
2023,105410239,"43,623,124","45,427,931"
2022,105410239,"43,741,027","45,696,422"
2023,103410042,"44,267,586","46,155,888"
2022,103410042,"43,158,990","45,282,463"
2023,102710042,"43,380,065","46,932,691"
2022,102710042,"42,963,393","45,710,479"
2023,101110024,"43,897,300","45,416,795"
2022,101110024,"42,655,594","44,099,189"
2023,108210108,"43,399,064","47,076,274"
2022,108210108,"42,834,895","45,555,782"
2023,101110227,"44,719,347","50,391,263"
2022,101110227,"44,188,538","49,790,634"
2023,105610079,"44,255,364","48,543,377"
2022,105610079,"43,820,155","45,870,708"
2023,105690744,"43,972,910","48,407,911"
2022,105690744,"43,414,845","47,796,324"
2023,107290340,"44,009,220","47,243,013"
2022,107290340,"43,118,646","48,148,483"
2023,110090094,"43,754,748","46,530,578"
2022,110090094,"42,914,076","46,300,792"
2023,101110299,"43,358,406","48,120,927"
2022,101110299,"42,769,864","47,698,626"
2023,102910085,"42,915,887","48,615,111"
2022,102910085,"42,468,364","46,951,304"
2023,100710754,"43,352,289","49,936,140"
2022,100710754,"42,735,490","47,513,575"
2023,107290339,"44,134,578","47,205,212"
2022,107290339,"43,202,213","48,083,931"
2023,106910037,"42,960,145","46,491,607"
2022,106910037,"42,697,886","48,538,455"
2023,101110209,"43,157,252","48,412,143"
2022,101110209,"41,583,241","49,447,609"
2023,107610037,"42,672,266","45,672,016"
2022,107610037,"42,420,891","44,552,646"
2023,102410206,"42,804,752","48,861,881"
2022,102410206,"41,164,203","44,765,973"
2023,103490362,"43,488,265","49,484,138"
2022,103490362,"41,988,968","46,875,436"
2023,107410048,"42,940,170","46,355,641"
2022,107410048,"42,274,707","51,887,014"
2023,110910014,"43,147,121","46,201,394"
2022,110910014,"41,984,711","44,174,951"
2023,111110071,"42,847,868","44,855,458"
2022,111110071,"42,584,571","44,693,053"
2023,105611535,"43,656,943","50,414,077"
2022,105611535,"43,907,263","49,035,457"
2023,108610025,"42,244,112","48,799,375"
2022,108610025,"41,892,624","49,069,393"
2023,104810089,"43,200,021","48,670,515"
2022,104810089,"42,094,489","47,164,367"
2023,105611526,"43,380,823","48,166,860"
2022,105611526,"43,395,546","48,907,138"
2023,103510068,"42,567,439","46,638,486"
2022,103510068,"41,828,726","47,406,194"
2023,101510214,"42,368,403","44,415,323"
2022,101510214,"41,997,442","47,004,409"
2023,103110203,"42,981,831","45,028,710"
2022,103110203,"42,010,048","43,223,010"
2023,100390139,"42,292,174","46,250,758"
2022,100390139,"41,959,805","46,752,575"
2023,104810035,"42,987,670","48,602,036"
2022,104810035,"41,019,399","48,744,078"
2023,109210838,"41,914,910","45,633,218"
2022,109210838,"41,598,788","45,216,786"
2023,101110236,"42,411,549","45,475,682"
2022,101110236,"41,755,652","47,155,666"
2023,111790331,"42,448,486","44,626,631"
2022,111790331,"41,188,183","43,345,951"
2023,105610167,"43,335,806","48,950,509"
2022,105610167,"42,805,205","48,687,419"
2023,107690225,"42,594,696","45,942,068"
2022,107690225,"41,917,470","44,993,064"
2023,105610201,"42,683,540","49,118,075"
2022,105610201,"41,979,168","46,940,136"
2023,103010328,"42,687,448","48,160,472"
2022,103010328,"41,218,176","47,288,006"
2023,110510142,"41,882,587","46,170,019"
2022,110510142,"41,773,537","44,735,944"
2023,105610061,"43,492,633","54,817,945"
2022,105610061,"42,685,636","48,915,662"
2023,107010113,"41,733,245","47,151,936"
2022,107010113,"41,201,092","51,654,698"
2023,100110045,"41,626,341","45,893,429"
2022,100110045,"41,156,199","44,105,166"
2023,105611111,"42,828,296","48,820,247"
2022,105611111,"42,100,139","49,155,117"
2023,102710175,"41,765,709","44,641,311"
2022,102710175,"41,150,336","47,578,846"
2023,110910125,"42,438,812","45,994,051"
2022,110910125,"41,067,325","45,797,247"
2023,108810562,"41,586,584","44,195,365"
2022,108810562,"41,593,711","46,794,139"
2023,105690656,"24,253,703","42,611,065"
2022,105690656,"26,089,252","39,999,678"
2023,104210508,"41,368,736","48,422,274"
2022,104210508,"41,322,598","46,235,347"
2023,109410863,"41,409,173","47,114,302"
2022,109410863,"41,141,418","43,316,582"
2023,101110148,"41,894,921","45,068,115"
2022,101110148,"40,086,691","47,032,031"
2023,101190421,"41,557,700","45,310,008"
2022,101190421,"40,107,097","45,107,522"
2023,105610264,"42,344,786","44,875,104"
2022,105610264,"41,615,277","46,447,497"
2023,104810256,"41,855,423","46,926,270"
2022,104810256,"39,887,243","43,813,341"
2023,101190429,"42,949,299","49,376,681"
2022,101190429,"42,305,419","48,794,968"
2023,107210235,"42,382,667","46,162,547"
2022,107210235,"40,431,920","46,275,471"
2023,102590279,"41,865,319","45,050,792"
2022,102590279,"41,187,377","43,633,619"
2023,102710051,"41,973,359","47,874,379"
2022,102710051,"40,991,775","45,378,584"
2023,105490062,"42,046,596","46,197,318"
2022,105490062,"41,268,625","43,878,654"
2023,101110272,"41,687,790","47,535,487"
2022,101110272,"39,965,820","43,605,705"
2023,108890289,"41,609,625","46,283,408"
2022,108890289,"40,232,641","44,672,440"
2023,103310528,"41,017,351","43,850,928"
2022,103310528,"40,748,721","48,158,605"
2023,108010288,"40,801,915","45,876,111"
2022,108010288,"40,531,149","46,609,587"
2023,112110998,"41,298,984","46,304,436"
2022,112110998,"40,877,349","45,840,845"
2023,101110015,"41,729,874","45,684,582"
2022,101110015,"39,645,247","48,645,379"
2023,107210086,"41,836,607","47,506,371"
2022,107210086,"41,115,693","43,103,944"
2023,100490219,"40,694,681","43,241,599"
2022,100490219,"40,427,331","44,353,861"
2023,101110218,"41,308,542","47,281,457"
2022,101110218,"39,318,213","45,685,235"
2023,107610443,"40,969,383","42,907,827"
2022,107610443,"40,156,373","43,607,308"
