academicYear,idOSYM,baseScore,topScore
2023,102270025,"508,65150","538,22539"
2022,102270025,"509,66723","539,99854"
2023,102210135,"497,09830","533,64926"
2022,102210135,"499,63599","535,32775"
2023,102270026,"495,28200","525,91945"
2022,102270026,"497,93825","548,56596"
2023,102210056,"488,14090","518,66089"
2022,102210056,"491,66148","534,34648"
2023,108410054,"485,04593","526,25149"
2022,108410054,"477,98369","512,14759"
2023,108410072,"470,01713","470,01713"
2022,108410072,"477,51039","477,51039"
2023,104890460,"487,44458","514,12998"
2022,104890460,"478,72382","510,39697"
2023,104010025,"490,21389","515,10395"
2022,104010025,"486,92975","535,39535"
2023,104810274,"476,93341","524,79241"
2022,104810274,"469,08730","477,96551"
2023,104810105,"473,79271","502,55971"
2022,104810105,"462,64697","494,11850"
2023,105690658,"474,16472","512,19887"
2022,105690658,"472,38721","496,04643"
2023,110110022,"459,43422","483,08938"
2022,110110022,"457,20061","476,68496"
2023,107290342,"468,25829","489,22049"
2022,107290342,"466,61858","490,01685"
2023,103490363,"467,52156","494,05302"
2022,103490363,"461,60831","503,30827"
2023,104110306,"456,72840","492,71047"
2022,104110306,"447,42488","472,28574"
2023,104810098,"465,13275","499,62019"
2022,104810098,"456,01935","513,89407"
2023,107210102,"456,47381","483,11457"
2022,107210102,"458,64121","484,08893"
2023,104810044,"456,46931","486,42658"
2022,104810044,"442,13064","469,66558"
2023,103190561,"459,95628","478,28378"
2022,103190561,"453,01669","477,01692"
2023,105610185,"458,98774","491,59968"
2022,105610185,"459,43488","498,93716"
2023,103110106,"450,96662","502,57483"
2022,103110106,"447,18601","480,45079"
2023,101010122,"448,56134","500,33684"
2022,101010122,"442,60237","479,32597"
2023,101110193,"449,66282","470,24758"
2022,101110193,"438,78363","462,43528"
2023,103410087,"450,37996","483,91003"
2022,103410087,"443,86059","487,21281"
2023,100710012,"445,11352","478,84372"
2022,100710012,"440,38481","468,51458"
2023,111610449,"448,26592","476,06630"
2022,111610449,"447,73120","466,89964"
2023,110190095,"448,15957","487,92717"
2022,110190095,"433,33719","475,96346"
2023,104890458,"454,53247","495,88308"
2022,104890458,"441,31912","483,82187"
2023,102270027,"460,91297","477,40691"
2022,102270027,"468,25478","468,25478"
2023,103810462,"443,56943","455,61752"
2022,103810462,"438,24168","454,60972"
2023,109710066,"437,85648","480,11775"
2022,109710066,"433,22665","470,47346"
2023,104890457,"451,70012","493,36349"
2022,104890457,"440,42923","507,07394"
2023,105410239,"436,23124","454,27931"
2022,105410239,"437,41027","456,96422"
2023,103410042,"442,67586","461,55888"
2022,103410042,"431,58990","452,82463"
2023,102710042,"433,80065","469,32691"
2022,102710042,"429,63393","457,10479"
2023,101110024,"438,97300","454,16795"
2022,101110024,"426,55594","440,99189"
2023,108210108,"433,99064","470,76274"
2022,108210108,"428,34895","455,55782"
2023,101110227,"447,19347","503,91263"
2022,101110227,"441,88538","497,90634"
2023,105610079,"442,55364","485,43377"
2022,105610079,"438,20155","458,70708"
2023,105690744,"439,72910","484,07911"
2022,105690744,"434,14845","477,96324"
2023,107290340,"440,09220","472,43013"
2022,107290340,"431,18646","481,48483"
2023,110090094,"437,54748","465,30578"
2022,110090094,"429,14076","463,00792"
2023,101110299,"433,58406","481,20927"
2022,101110299,"427,69864","476,98626"
2023,102910085,"429,15887","486,15111"
2022,102910085,"424,68364","469,51304"
2023,100710754,"433,52289","499,36140"
2022,100710754,"427,35490","475,13575"
2023,107290339,"441,34578","472,05212"
2022,107290339,"432,02213","480,83931"
2023,106910037,"429,60145","464,91607"
2022,106910037,"426,97886","485,38455"
2023,101110209,"431,57252","484,12143"
2022,101110209,"415,83241","494,47609"
2023,107610037,"426,72266","456,72016"
2022,107610037,"424,20891","445,52646"
2023,102410206,"428,04752","488,61881"
2022,102410206,"411,64203","447,65973"
2023,103490362,"434,88265","494,84138"
2022,103490362,"419,88968","468,75436"
2023,107410048,"429,40170","463,55641"
2022,107410048,"422,74707","518,87014"
2023,110910014,"431,47121","462,01394"
2022,110910014,"419,84711","441,74951"
2023,111110071,"428,47868","448,55458"
2022,111110071,"425,84571","446,93053"
2023,105611535,"436,56943","504,14077"
2022,105611535,"439,07263","490,35457"
2023,108610025,"422,44112","487,99375"
2022,108610025,"418,92624","490,69393"
2023,104810089,"432,00021","486,70515"
2022,104810089,"420,94489","471,64367"
2023,105611526,"433,80823","481,66860"
2022,105611526,"433,95546","489,07138"
2023,103510068,"425,67439","466,38486"
2022,103510068,"418,28726","474,06194"
2023,101510214,"423,68403","444,15323"
2022,101510214,"419,97442","470,04409"
2023,103110203,"429,81831","450,28710"
2022,103110203,"420,10048","432,23010"
2023,100390139,"422,92174","462,50758"
2022,100390139,"419,59805","467,52575"
2023,104810035,"429,87670","486,02036"
2022,104810035,"410,19399","487,44078"
2023,109210838,"419,14910","456,33218"
2022,109210838,"415,98788","452,16786"
2023,101110236,"424,11549","454,75682"
2022,101110236,"417,55652","471,55666"
2023,111790331,"424,48486","446,26631"
2022,111790331,"411,88183","433,45951"
2023,105610167,"433,35806","489,50509"
2022,105610167,"428,05205","486,87419"
2023,107690225,"425,94696","459,42068"
2022,107690225,"419,17470","449,93064"
2023,105610201,"426,83540","491,18075"
2022,105610201,"419,79168","469,40136"
2023,103010328,"426,87448","481,60472"
2022,103010328,"412,18176","472,88006"
2023,110510142,"418,82587","461,70019"
2022,110510142,"417,73537","447,35944"
2023,105610061,"434,92633","548,17945"
2022,105610061,"426,85636","489,15662"
2023,107010113,"417,33245","471,51936"
2022,107010113,"412,01092","516,54698"
2023,100110045,"416,26341","458,93429"
2022,100110045,"411,56199","441,05166"
2023,105611111,"428,28296","488,20247"
2022,105611111,"421,00139","491,55117"
2023,102710175,"417,65709","446,41311"
2022,102710175,"411,50336","475,78846"
2023,110910125,"424,38812","459,94051"
2022,110910125,"410,67325","457,97247"
2023,108810562,"415,86584","441,95365"
2022,108810562,"415,93711","467,94139"
2023,105690656,"242,53703","426,11065"
2022,105690656,"260,89252","399,99678"
2023,104210508,"413,68736","484,22274"
2022,104210508,"413,22598","462,35347"
2023,109410863,"414,09173","471,14302"
2022,109410863,"411,41418","433,16582"
2023,101110148,"418,94921","450,68115"
2022,101110148,"400,86691","470,32031"
2023,101190421,"415,57700","453,10008"
2022,101190421,"401,07097","451,07522"
2023,105610264,"423,44786","448,75104"
2022,105610264,"416,15277","464,47497"
2023,104810256,"418,55423","469,26270"
2022,104810256,"398,87243","438,13341"
2023,101190429,"429,49299","493,76681"
2022,101190429,"423,05419","487,94968"
2023,107210235,"423,82667","461,62547"
2022,107210235,"404,31920","462,75471"
2023,102590279,"418,65319","450,50792"
2022,102590279,"411,87377","436,33619"
2023,102710051,"419,73359","478,74379"
2022,102710051,"409,91775","453,78584"
2023,105490062,"420,46596","461,97318"
2022,105490062,"412,68625","438,78654"
2023,101110272,"416,87790","475,35487"
2022,101110272,"399,65820","436,05705"
2023,108890289,"416,09625","462,83408"
2022,108890289,"402,32641","446,72440"
2023,103310528,"410,17351","438,50928"
2022,103310528,"407,48721","481,58605"
2023,108010288,"408,01915","458,76111"
2022,108010288,"405,31149","466,09587"
2023,112110998,"412,98984","463,04436"
2022,112110998,"408,77349","458,40845"
2023,101110015,"417,29874","456,84582"
2022,101110015,"396,45247","486,45379"
2023,107210086,"418,36607","475,06371"
2022,107210086,"411,15693","431,03944"
2023,100490219,"406,94681","432,41599"
2022,100490219,"404,27331","443,53861"
2023,101110218,"413,08542","472,81457"
2022,101110218,"393,18213","456,85235"
2023,107610443,"409,69383","429,07827"
2022,107610443,"401,56373","436,07308"
2023,107310049,"407,13057","420,86546"
2022,107310049,"406,36817","438,19857"
2023,111110090,"414,58929","444,04916"
2022,111110090,"407,87063","430,96541"
2023,105761193,"408,87661","439,39124"
2023,103410033,"418,36779","453,86842"
2022,103410033,"400,96445","500,53383"
2023,106910125,"413,44172","463,62951"
2022,106910125,"405,03240","448,22959"
2023,111790360,"397,66244","431,25795"
2023,100910231,"404,83823","443,12325"
2022,100910231,"401,39128","454,31385"
2023,109190032,"402,67747","447,08063"
2022,109190032,"399,19321","425,81968"
2023,108410539,"423,74506","470,24334"
2022,108410539,"412,74929","451,67047"
2023,109490283,"411,04554","467,55872"
2022,109490283,"403,47069","439,27438"
2023,108410063,"387,24721","457,32778"
2022,108410063,"354,90093","456,86453"
2023,100890090,"402,15741","418,29709"
