id,languageName
0,Abhazca
1,Abenaki
2,Afarca
3,Peştuca
4,Afrikanca
5,Akatça
6,Almanca
7,Alemanca
8,Altayca
9,Amharca
10,Eski İngilizce
11,Apaçi
12,Aragonca
13,Aramice
14,Arapça
15,Aravak
16,Arnavutça
17,Şablon:roa-rup
18,Arpitanca
19,Assam dili
20,Asturyasça
21,Asumboa
22,Aşağı Almanca
23,Aşağı Almanca
24,Aşağı Sorbça
25,Atayal
26,Avarca
27,Avarca
28,Avestçe
29,Avarca
30,Aymaraca
31,Azerice
32,Nahuatl dili
33,Balinezce
34,Bambara dili
35,Baskça
36,Başkurtça
37,Batak Toba
38,Frizce
39,Bislama dili
40,Beluçi
41,Bemba (Sambia)
42,Bengalce
43,Bengalce
44,Berberi Dili
45,Beyaz Rusça
46,Biak
47,Biharca
48,Birmanca
49,Bislama dili
50,Bobot
51,Boşnakça
52,Boşnakça
53,Portekizce (Brezilyaca)
54,Bretonca
55,Buginezce
56,Bulgarca
57,Buryatça
58,Butanca
59,Calo dili
60,Cava dili
61,Sabuan dili
62,Chamorro
63,Çantça
64,Çerokice
65,Chichewa
66,Choctaw
67,Hakasça
68,Çantça
69,Çeçence
70,Çekçe
71,Batı Çerkesçesi
72,Doğu (Kabardey) Çerkesçesi
73,Çerokice
74,Çeyence
75,Çince
76,Çince (basitleştirilmiş)
77,Çince (geleneksel)
78,Çuvaşça
79,Danca
80,Farsça
81,Dendi (Benin)
82,Divehi dili
83,Divehi dili
84,Dogon
85,??
86,Endonezce
87,Ermenice
88,Ersya dili
89,Eski İngilizce
90,Eski Nors
91,Eski Slavca
92,Eski Türkçe
93,Eski Yunanca
94,Eski Yüksek Almanca
95,Inuktitut dili
96,Esperanto
97,Estonca
98,Ewe dili
99,Faroe dili
100,Farsça
101,Farsça
102,Fasça
103,Faroe dili
104,Hollandaca
105,Fiji dili
106,Fince
107,??
108,Arpitanca
109,Fransızca
110,Friuli dili
111,Frizce
112,Friuli dili
113,Gagavuzca
114,Galce
115,İrlandaca
116,Galiçyaca
117,Gayo
118,Glosa
119,Gotça
120,Grönlandca
121,Guarani dili
122,Gucaratça
123,Gucaratça
124,Azerice
125,Gürcüce
126,Haitice
127,Hausaca
128,Hawaii dili
129,Herero
130,Hırvatça
131,Hintçe
132,Hiri Motu
133,İdo
134,Ilokano
135,İnguşça
136,İnterlingua
137,Interlingua
138,Inuktitut dili
139,Inupiak
140,İban
141,İgbo
142,İbranice
143,İgbo
144,??
145,İngilizce
146,İrlandaca
147,İskoçça
148,İskoçça
149,İskoç İngilizcesi
150,İspanyolca
151,İsveççe
152,İtalyanca
153,İbranice
154,İzlandaca
155,Japonca
156,Grönlandca
157,Kalmukça
158,Kmer dili
159,Kannada dili
160,Kannada dili
161,Kannada dili
162,Kantonezce
163,Kapampangan
164,Karaçay Balkarca
165,Karadağca
166,Karakalpakça
167,Karelce
168,Keşmirce
169,Keşmirce
170,Kaşupça
171,Katalanca
172,Kawi
173,Kazakça
174,Keçuva dili
175,Kernevekçe
176,Kırgızca
177,Kırım Tatarca
178,Karayca
179,Kikuyu
180,Kiribati dili
181,Klingonca
182,Kmer dili
183,Komi dili
184,Komi Permyakça
185,Komi Süryanice
186,Konkani dili
187,Korece
188,Korsikaca
189,Kosrae
190,Kri
191,Kuanyama
192,Kumukça
193,Kürtçe
194,Azerice
195,Frizce
196,Kürtçe
197,Kürtçe (Kurmançi)
198,Kürtçe (Sorani)
199,Ladince
200,Ladino
201,Lao dili
202,Latince
203,Lazca
204,Lehçe
205,Letonca
206,Limburgca
207,Lingala
208,Litvanca
209,Livice
210,Lojban dili
211,Luganda dili
212,Lüksemburgca
213,Maasai dili
214,Macarca
215,Madurezce
216,Makassar
217,Makedonca
218,Malayalam dili
219,Malgaşça
220,Malayalam dili
221,Malayca
222,Divehi dili
223,Maltaca
224,Manksça
225,Mansice
226,Maorice
227,Maorice
228,Mapudungun dili
229,Marathi dili
230,Marathi dili
231,Marathi dili
232,Marathi dili
233,Mari dili
234,Mari dili
235,Marşalca
236,Maasai dili
237,Mısırca
238,Min Nan dili
239,Minangkabau
240,Min Nan dili
241,Moğolca
242,Mohawk
243,Mokşa dili
244,Moldovaca
245,Mokşa dili
246,Muskogee
247,Nahuatl dili
248,Nama
249,Nauruca
250,Navahoca
251,Ndebele
252,Ndonga
253,Nepalce
254,Normanca
255,Norveççe
256,Novial
257,Ojibwe dili
258,Oksitanca
259,Oriya dili
260,Oromo dili
261,Almanca (OYA)
262,Osetçe
263,Osmanlıca
264,Pali
265,Papiamentu dili
266,Pedi
267,Pencapça
268,Peştuca
269,Peştuca
270,Peştuca
271,Piemontça
272,Pijin
273,Portekizce
274,Prusça
275,Keçuva dili
276,Rapanui dili
277,Reto Romanca
278,Şablon:romanica
279,Rumence
280,Rusça
281,Sami (Kuzey)
282,Samice
283,Samoaca
284,Sarduca
285,Sarduca
286,Savahili dili
287,Ladino
288,Sotho dili
289,Sırpça
290,Sindarin
291,Singalezce
292,Slovakça
293,Slovence
294,??
295,Kürtçe
296,Sunda dili
297,Sümerce
298,Şona dili
299,Tacikçe
300,Tagalogca
301,Tahitice
302,Berberi Dili
303,Berberi Dili
304,Tamilce
305,Tatarca
306,Tayca
307,Min Nan dili
308,Telugu dili
309,Tetum dili
310,Tigrinya dili
311,Tok Pisin
312,Toki Pona
313,Tongaca
314,Karayca
315,Tupí (Paulista)
316,Tupi Dili
317,Tupinambá
318,Tuvaca
319,Türkçe
320,Udmurtça
321,Ukraynaca
322,Urduca
323,Uygurca
324,Valonca
325,Vepsice
326,Vietnamca
327,Volapük
328,Võro dili
329,Votça
330,Wolof dili
331,Yakutça
332,Moğolca
333,Yeni Norveççe
334,Modern Yunanca
335,Modern Yunanca
336,Modern Yunanca
337,Yahudi Almancası
338,Yorubaca
339,Yukarı Sorbca
340,Modern Yunanca
341,Eski Yunanca
342,Zazaca
343,Zhuang dili
