universityName,faculty,facultyFoundingYear,Üniversite Türü,Birim İli,Birim Durum
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,BİYOMALZEME UYGULAMA VE ARAŞTIRMA MERKEZİ,09.04.2020,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,DENEY HAYVANLARI UYGULAMA VE ARAŞTIRMA MERKEZİ,12.02.2014,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,DİŞ HEKİMLİĞİ FAKÜLTESİ,23.03.2015,VAKIF,İSTANBUL,PASİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,DİYABET UYGULAMA VE ARAŞTIRMA MERKEZİ,05.06.2024,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,ECZACILIK FAKÜLTESİ,23.03.2015,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,FEN BİLİMLERİ ENSTİTÜSÜ,18.05.2007,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,GÜZEL SANATLAR FAKÜLTESİ,08.04.2016,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ,18.05.2007,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İLERİ DÜZEY SİMÜLASYON VE ENDOSKOPİK CERRAHİ EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,21.08.2013,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İNSAN VE TOPLUM BİLİMLERİ FAKÜLTESİ,26.07.2022,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,MESLEK YÜKSEKOKULU,07.10.2009,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,MÜHENDİSLİK VE DOĞA BİLİMLERİ FAKÜLTESİ,04.03.2022,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,NADİR HASTALIKLAR VE YETİM İLAÇLAR UYGULAMA VE ARAŞTIRMA MERKEZİ,18.05.2017,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,NÖRORADYOLOJİ UYGULAMA VE ARAŞTIRMA MERKEZİ,21.07.2011,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,ORGAN NAKLİ UYGULAMA VE ARAŞTIRMA MERKEZİ,24.08.2011,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SAĞLIK BİLİMLERİ ENSTİTÜSÜ,18.05.2007,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SAĞLIK BİLİMLERİ FAKÜLTESİ,18.05.2007,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SAĞLIK HİZMETLERİ EĞİTİM UYGULAMA VE ARAŞTIRMA MERKEZİ,17.04.2013,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU,18.05.2007,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SAĞLIK POLİTİKALARI UYGULAMA VE ARAŞTIRMA MERKEZİ,31.12.2014,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SENOLOJİ ARAŞTIRMA ENSTİTÜSÜ,11.03.2017,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SOSYAL BİLİMLER ENSTİTÜSÜ,18.05.2007,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SPOR BİLİMLERİ FAKÜLTESİ,23.03.2015,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SPOR BİLİMLERİ VE SPORCU SAĞLIĞI UYGULAMA VE ARAŞTIRMA MERKEZİ,25.11.2014,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SUÇ VE ŞİDDETLE MÜCADELE UYGULAMA VE ARAŞTIRMA MERKEZİ,16.12.2015,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,SÜREKLİ EĞİTİM VE GELİŞİM UYGULAMA VE ARAŞTIRMA MERKEZİ,22.07.2008,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,TIP FAKÜLTESİ,18.05.2007,VAKIF,İSTANBUL,AKTİF
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,ULUSLARARASI EKLEM SAĞLIĞI UYGULAMA VE ARAŞTIRMA MERKEZİ,07.02.2024,VAKIF,İSTANBUL,AKTİF
