,ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BİRİNCİ Ö.,0,0,0,1432,1238,2670,79,53,132,47,56,103,1558,1347,2905,
,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,371,986,1357,756,2086,2842,51,197,248,32,130,162,1210,3399,4609,
,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,ADANA,BİRİNCİ Ö.,0,0,0,1881,1295,3176,263,219,482,65,52,117,2209,1566,3775,
,ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,BİRİNCİ Ö.,4582,2579,7161,4473,5092,9565,197,194,391,36,25,61,9288,7890,17178,
,AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,BİRİNCİ Ö.,4344,2789,7133,6669,6794,13463,1026,1018,2044,283,184,467,12322,10785,23107,
,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,BİRİNCİ Ö.,514,1577,2091,1187,2263,3450,6,34,40,15,6,21,1722,3880,5602,
,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,DEVLET,AĞRI,BİRİNCİ Ö.,1903,1616,3519,3168,3732,6900,413,334,747,23,13,36,5507,5695,11202,
,AKDENİZ ÜNİVERSİTESİ,DEVLET,ANTALYA,BİRİNCİ Ö.,8850,5560,14410,16901,14803,31704,1630,2031,3661,737,803,1540,28118,23197,51315,
,AKSARAY ÜNİVERSİTESİ,DEVLET,AKSARAY,BİRİNCİ Ö.,2229,1760,3989,4872,5722,10594,918,760,1678,99,86,185,8118,8328,16446,
,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,DEVLET,ANTALYA,BİRİNCİ Ö.,2455,1612,4067,4408,3531,7939,165,203,368,35,36,71,7063,5382,12445,
,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,VAKIF,ANTALYA,BİRİNCİ Ö.,12,8,20,201,162,363,18,22,40,0,0,0,231,192,423,
,ALTINBAŞ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,400,991,1391,4178,3196,7374,2071,1135,3206,206,132,338,6855,5454,12309,
